name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Willian Borges da Silva,MID,Fulham,Everton,45,0,0,0,0,0,1,0,0,0,0,0,1.6,3.0,13.2,0.0,False,0,3.0,3.0,0.0
Willian Borges da Silva,MID,Fulham,Brentford,22,0,0,1,0,1,0,0,0,0,0,0,0.1,0.0,0.7,1.0,True,1,3.0,3.0,0.0
Willian Borges da Silva,MID,Fulham,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Willian Borges da Silva,MID,Fulham,Man City,17,0,0,1,0,2,0,0,0,0,0,0,0.0,0.0,0.5,0.0,False,1,3.0,5.0,-2.0
Willian Borges da Silva,MID,Fulham,Luton,90,0,1,0,1,22,0,0,0,0,0,0,6.5,15.6,38.5,11.0,True,6,3.0,2.0,1.0
Willian Borges da Silva,MID,Fulham,Crystal Palace,90,0,0,0,1,15,0,0,0,0,0,0,4.1,12.0,4.7,24.0,False,3,3.0,3.0,0.0
Willian Borges da Silva,MID,Fulham,Chelsea,90,0,0,2,0,9,0,0,0,0,0,0,4.3,8.4,23.6,11.0,True,2,3.0,3.0,0.0
Willian Borges da Silva,MID,Fulham,Sheffield Utd,90,1,0,1,0,28,0,0,0,0,0,0,15.2,50.8,41.3,60.0,True,10,3.0,2.0,1.0
Willian Borges da Silva,MID,Fulham,Spurs,90,0,0,2,0,10,0,0,0,0,0,0,5.9,11.6,43.4,4.0,False,2,3.0,4.0,-1.0
Willian Borges da Silva,MID,Fulham,Brighton,85,0,0,1,0,8,0,0,0,0,0,0,3.0,6.6,12.3,11.0,False,2,3.0,3.0,0.0
Willian Borges da Silva,MID,Fulham,Man Utd,75,0,0,0,1,10,0,0,0,0,0,0,4.1,0.4,16.0,25.0,True,3,3.0,3.0,0.0
Willian Borges da Silva,MID,Fulham,Aston Villa,81,0,0,3,0,5,0,0,0,0,0,0,3.2,3.8,12.8,15.0,False,2,3.0,4.0,-1.0
