name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Adam Smith,DEF,Bournemouth,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Adam Smith,DEF,Bournemouth,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Adam Smith,DEF,Bournemouth,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Arsenal,7,0,0,1,0,2,0,0,0,0,0,0,0.2,0.6,1.2,0.0,True,1,3.0,5.0,-2.0
Adam Smith,DEF,Bournemouth,Everton,85,0,0,3,0,13,0,0,0,0,0,0,4.1,15.4,23.3,2.0,False,1,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Burnley,5,0,0,0,0,3,0,0,0,0,0,0,0.2,2.0,0.0,0.0,True,1,3.0,2.0,1.0
Adam Smith,DEF,Bournemouth,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Adam Smith,DEF,Bournemouth,Newcastle,22,0,0,0,0,3,0,0,0,0,0,0,0.3,3.2,0.1,0.0,True,1,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Sheffield Utd,90,0,1,1,0,21,0,0,0,0,0,0,4.9,27.2,22.1,0.0,False,5,3.0,2.0,1.0
Adam Smith,DEF,Bournemouth,Aston Villa,90,0,0,2,0,10,0,0,0,0,0,0,1.6,11.2,4.5,0.0,True,1,3.0,4.0,-1.0
Adam Smith,DEF,Bournemouth,Crystal Palace,90,0,0,0,1,21,0,0,0,0,0,0,5.6,32.8,23.0,0.0,False,6,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Man Utd,90,0,0,0,1,22,0,0,0,0,0,0,1.6,14.8,0.8,0.0,False,6,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Nott'm Forest,90,0,1,2,0,30,0,0,0,0,0,0,7.8,41.8,36.0,0.0,False,4,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Fulham,90,0,0,0,1,24,0,0,0,0,0,0,1.1,9.8,0.9,0.0,True,6,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Spurs,81,0,0,3,0,10,0,0,0,0,0,0,2.4,8.2,15.3,0.0,False,1,3.0,4.0,-1.0
Adam Smith,DEF,Bournemouth,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Adam Smith,DEF,Bournemouth,West Ham,90,0,0,1,0,10,0,0,0,0,0,0,1.6,11.6,2.7,2.0,False,2,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Nott'm Forest,90,0,0,1,0,13,0,0,0,0,0,0,1.4,9.0,4.7,0.0,True,2,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Fulham,84,0,0,3,0,3,1,0,0,0,0,0,0.2,0.8,1.1,0.0,False,0,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Newcastle,90,0,0,2,0,3,0,0,0,0,0,0,0.4,1.2,0.5,2.0,False,1,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Man City,90,0,0,1,0,10,0,0,0,0,0,0,1.9,13.4,1.7,4.0,True,2,3.0,5.0,-2.0
Adam Smith,DEF,Bournemouth,Burnley,90,0,0,0,1,19,1,0,0,0,0,0,1.3,11.0,0.3,2.0,False,5,3.0,2.0,1.0
Adam Smith,DEF,Bournemouth,Sheffield Utd,73,0,0,2,0,9,1,0,0,0,0,0,3.8,9.6,22.8,6.0,True,0,3.0,2.0,1.0
Adam Smith,DEF,Bournemouth,Luton,70,0,0,3,0,8,1,0,0,0,0,0,4.1,14.8,26.6,0.0,True,0,3.0,2.0,1.0
Adam Smith,DEF,Bournemouth,Everton,90,0,1,1,0,15,0,0,0,0,0,0,0.8,4.0,1.6,2.0,True,5,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Crystal Palace,89,0,0,0,1,29,0,0,0,0,0,0,3.3,12.8,20.3,0.0,True,9,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Luton,90,0,0,2,0,8,0,0,0,0,0,0,5.0,27.4,18.8,4.0,False,1,3.0,2.0,1.0
Adam Smith,DEF,Bournemouth,Man Utd,69,0,0,2,0,17,0,0,0,0,0,0,4.2,12.8,29.1,0.0,True,1,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Aston Villa,45,0,0,1,0,0,1,0,0,0,0,0,1.1,0.2,11.1,0.0,False,0,3.0,4.0,-1.0
Adam Smith,DEF,Bournemouth,Wolves,90,0,0,0,1,25,0,0,0,0,0,0,4.0,14.2,23.7,2.0,False,6,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Brighton,90,0,0,0,1,23,0,0,0,0,0,0,1.4,12.2,0.3,1.0,True,7,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Arsenal,88,0,0,2,0,7,1,0,0,0,0,0,0.9,7.6,1.7,0.0,False,0,3.0,5.0,-2.0
Adam Smith,DEF,Bournemouth,Brentford,80,0,0,0,1,20,0,0,0,0,0,0,0.9,6.8,2.3,0.0,True,6,3.0,3.0,0.0
Adam Smith,DEF,Bournemouth,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
