name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Ben Mee,DEF,Brentford,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Ben Mee,DEF,Brentford,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Ben Mee,DEF,Brentford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Ben Mee,DEF,Brentford,Bournemouth,80,0,0,2,0,16,0,0,0,0,0,0,3.2,17.8,10.4,4.0,True,1,3.0,3.0,0.0
Ben Mee,DEF,Brentford,Newcastle,71,0,0,1,0,12,0,0,0,0,0,0,0.9,8.8,0.5,0.0,False,2,3.0,3.0,0.0
Ben Mee,DEF,Brentford,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Ben Mee,DEF,Brentford,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Ben Mee,DEF,Brentford,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Ben Mee,DEF,Brentford,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Ben Mee,DEF,Brentford,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Ben Mee,DEF,Brentford,West Ham,1,0,0,0,0,4,0,0,0,0,0,0,0.5,5.0,0.0,0.0,True,1,3.0,3.0,0.0
Ben Mee,DEF,Brentford,Liverpool,90,0,0,3,0,11,0,0,0,0,0,0,3.7,13.2,14.7,9.0,False,1,3.0,4.0,-1.0
Ben Mee,DEF,Brentford,Arsenal,90,0,0,1,0,16,0,0,0,0,0,0,4.0,23.4,12.1,4.0,True,2,3.0,5.0,-2.0
Ben Mee,DEF,Brentford,Luton,90,1,1,1,0,38,0,0,0,0,0,0,11.0,57.0,23.6,29.0,True,14,3.0,2.0,1.0
Ben Mee,DEF,Brentford,Brighton,90,0,0,2,0,11,0,0,0,0,0,0,1.9,14.2,1.2,4.0,False,1,3.0,3.0,0.0
Ben Mee,DEF,Brentford,Sheffield Utd,90,0,0,1,0,11,0,0,0,0,0,0,2.9,12.4,5.6,11.0,False,2,3.0,2.0,1.0
Ben Mee,DEF,Brentford,Aston Villa,70,0,0,2,0,-3,0,1,0,0,0,0,0.7,4.6,0.5,2.0,True,-2,3.0,4.0,-1.0
Ben Mee,DEF,Brentford,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Ben Mee,DEF,Brentford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Ben Mee,DEF,Brentford,Nott'm Forest,90,1,0,2,0,26,0,0,0,0,0,0,10.9,62.4,11.6,35.0,True,7,3.0,3.0,0.0
Ben Mee,DEF,Brentford,Spurs,90,0,0,3,0,9,0,0,0,0,0,0,4.3,29.2,5.0,9.0,False,1,3.0,4.0,-1.0
Ben Mee,DEF,Brentford,Man City,90,0,0,3,0,12,0,0,0,0,0,0,2.8,27.4,0.9,0.0,True,1,3.0,5.0,-2.0
Ben Mee,DEF,Brentford,Wolves,90,0,0,0,1,23,0,0,0,0,0,0,2.1,20.0,0.6,0.0,False,6,3.0,3.0,0.0
Ben Mee,DEF,Brentford,Liverpool,90,0,0,4,0,5,0,0,0,0,0,0,2.5,15.0,0.5,9.0,True,0,3.0,4.0,-1.0
Ben Mee,DEF,Brentford,Man City,90,0,0,1,0,10,1,0,0,0,0,0,2.2,19.2,0.5,2.0,False,1,3.0,5.0,-2.0
Ben Mee,DEF,Brentford,West Ham,60,0,0,2,0,9,0,0,0,0,0,0,0.6,5.2,0.5,0.0,False,1,3.0,3.0,0.0
Ben Mee,DEF,Brentford,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Ben Mee,DEF,Brentford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Ben Mee,DEF,Brentford,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Ben Mee,DEF,Brentford,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Ben Mee,DEF,Brentford,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
