name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Benjamin White,DEF,Arsenal,Nott'm Forest,90,0,0,1,0,8,1,0,0,0,0,0,2.0,10.8,7.3,2.0,True,1,5.0,3.0,2.0
Benjamin White,DEF,Arsenal,Crystal Palace,90,0,0,0,1,26,0,0,0,0,0,0,2.6,21.6,4.2,0.0,False,7,5.0,3.0,2.0
Benjamin White,DEF,Arsenal,Fulham,90,0,0,2,0,18,0,0,0,0,0,0,5.7,20.6,32.4,4.0,True,1,5.0,3.0,2.0
Benjamin White,DEF,Arsenal,Man Utd,90,0,0,1,0,19,0,0,0,0,0,0,5.5,26.6,26.5,2.0,True,2,5.0,3.0,2.0
Benjamin White,DEF,Arsenal,Everton,90,0,0,0,1,28,0,0,0,0,0,0,6.5,20.2,27.9,17.0,False,7,5.0,3.0,2.0
Benjamin White,DEF,Arsenal,Spurs,90,0,1,2,0,19,0,0,0,0,0,0,2.9,15.4,5.8,8.0,True,4,5.0,4.0,1.0
Benjamin White,DEF,Arsenal,Bournemouth,90,1,0,0,1,40,0,0,0,0,0,0,7.9,56.2,1.8,21.0,False,14,5.0,3.0,2.0
Benjamin White,DEF,Arsenal,Man City,90,0,0,0,1,31,0,0,0,0,0,0,4.6,16.0,23.6,6.0,True,9,5.0,5.0,0.0
Benjamin White,DEF,Arsenal,Chelsea,90,0,0,2,0,8,1,0,0,0,0,0,4.1,13.6,27.2,0.0,False,0,5.0,3.0,2.0
Benjamin White,DEF,Arsenal,Sheffield Utd,65,0,0,0,1,24,0,0,0,0,0,0,3.1,11.6,2.6,17.0,True,6,5.0,2.0,3.0
Benjamin White,DEF,Arsenal,Newcastle,72,0,0,1,0,15,0,0,0,0,0,0,3.3,16.4,16.9,0.0,False,2,5.0,3.0,2.0
Benjamin White,DEF,Arsenal,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,2.0,3.0
Benjamin White,DEF,Arsenal,Brentford,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,5.0,3.0,2.0
Benjamin White,DEF,Arsenal,Wolves,11,0,0,1,0,3,0,0,0,0,0,0,0.2,2.0,0.3,0.0,True,1,5.0,3.0,2.0
Benjamin White,DEF,Arsenal,Luton,90,0,1,3,0,29,0,0,0,0,0,0,7.8,38.4,33.5,6.0,False,4,5.0,2.0,3.0
Benjamin White,DEF,Arsenal,Aston Villa,90,0,0,1,0,10,0,0,0,0,0,0,2.2,19.2,2.8,0.0,False,2,5.0,4.0,1.0
Benjamin White,DEF,Arsenal,Brighton,90,0,0,0,1,21,1,0,0,0,0,0,3.7,11.8,15.6,10.0,True,5,5.0,3.0,2.0
Benjamin White,DEF,Arsenal,Liverpool,90,0,0,1,0,12,1,0,0,0,0,0,3.8,16.6,21.8,0.0,False,1,5.0,4.0,1.0
Benjamin White,DEF,Arsenal,West Ham,90,0,0,2,0,16,0,0,0,0,0,0,4.9,18.4,20.5,10.0,True,1,5.0,3.0,2.0
Benjamin White,DEF,Arsenal,Fulham,66,0,0,2,0,13,0,0,0,0,0,0,0.7,4.4,2.1,0.0,False,1,5.0,3.0,2.0
Benjamin White,DEF,Arsenal,Crystal Palace,90,0,0,0,1,26,0,0,0,0,0,0,4.1,21.4,15.5,4.0,True,6,5.0,3.0,2.0
Benjamin White,DEF,Arsenal,Nott'm Forest,90,0,0,1,0,12,0,0,0,0,0,0,4.8,15.6,19.9,12.0,False,2,5.0,3.0,2.0
Benjamin White,DEF,Arsenal,Liverpool,90,0,0,1,0,14,1,0,0,0,0,0,2.3,21.2,1.3,0.0,True,1,5.0,4.0,1.0
Benjamin White,DEF,Arsenal,West Ham,76,0,1,0,1,37,0,0,0,0,0,0,4.1,24.6,14.4,2.0,False,9,5.0,3.0,2.0
Benjamin White,DEF,Arsenal,Burnley,68,0,0,0,1,29,0,0,0,0,0,0,1.1,8.0,2.6,0.0,False,6,5.0,2.0,3.0
Benjamin White,DEF,Arsenal,Newcastle,90,0,0,1,0,10,0,0,0,0,0,0,1.4,4.4,3.3,6.0,True,2,5.0,3.0,2.0
Benjamin White,DEF,Arsenal,Sheffield Utd,64,1,0,0,1,35,0,0,0,0,0,0,6.5,37.2,6.5,21.0,False,13,5.0,2.0,3.0
Benjamin White,DEF,Arsenal,Brentford,90,0,2,1,0,37,0,0,0,0,0,0,9.9,48.4,47.0,4.0,True,11,5.0,3.0,2.0
Benjamin White,DEF,Arsenal,Man City,90,0,0,0,1,23,0,0,0,0,0,0,4.1,22.6,18.5,0.0,False,6,5.0,5.0,0.0
Benjamin White,DEF,Arsenal,Luton,90,0,0,0,1,24,0,0,0,0,0,0,2.0,12.8,2.7,4.0,True,6,5.0,2.0,3.0
