name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Craig Dawson,DEF,Wolves,Man Utd,90,0,0,1,0,15,0,0,0,0,0,0,5.7,27.0,11.3,19.0,False,2,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Brighton,70,0,0,4,0,11,1,0,0,0,0,0,4.5,11.0,0.3,34.0,True,-1,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Everton,90,0,0,0,1,23,1,0,0,0,0,0,1.8,17.0,0.7,0.0,False,5,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Crystal Palace,90,0,0,3,0,12,0,0,0,0,0,0,3.6,21.0,10.7,4.0,False,1,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Liverpool,90,0,0,3,0,11,0,0,0,0,0,0,2.7,17.6,0.6,9.0,True,1,3.0,4.0,-1.0
Craig Dawson,DEF,Wolves,Luton,90,0,0,1,0,12,0,0,0,0,0,0,2.3,20.4,0.2,2.0,False,2,3.0,2.0,1.0
Craig Dawson,DEF,Wolves,Man City,90,0,0,1,0,10,0,0,0,0,0,0,2.9,26.2,0.3,2.0,True,2,3.0,5.0,-2.0
Craig Dawson,DEF,Wolves,Aston Villa,90,0,0,1,0,15,1,0,0,0,0,0,4.0,30.0,10.3,0.0,True,1,3.0,4.0,-1.0
Craig Dawson,DEF,Wolves,Bournemouth,90,0,0,1,0,21,0,0,0,0,0,0,11.1,44.2,12.4,54.0,False,2,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Newcastle,90,0,0,2,0,17,0,0,0,0,0,0,2.4,23.2,0.5,0.0,True,1,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Sheffield Utd,90,0,0,2,0,10,1,0,0,0,0,0,2.5,21.6,3.2,0.0,False,0,3.0,2.0,1.0
Craig Dawson,DEF,Wolves,Spurs,90,0,0,1,0,8,1,0,0,0,0,0,1.0,9.8,0.4,0.0,True,1,3.0,4.0,-1.0
Craig Dawson,DEF,Wolves,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Arsenal,90,0,0,2,0,15,0,0,0,0,0,0,1.5,14.4,0.6,0.0,False,1,3.0,5.0,-2.0
Craig Dawson,DEF,Wolves,Burnley,90,0,0,0,1,27,0,0,0,0,0,0,2.3,18.6,0.2,4.0,True,8,3.0,2.0,1.0
Craig Dawson,DEF,Wolves,Nott'm Forest,90,0,0,1,0,15,0,0,0,0,0,0,4.3,24.6,10.8,8.0,True,2,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,West Ham,90,0,0,3,0,10,0,0,0,0,0,0,2.4,17.8,0.4,6.0,False,1,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Chelsea,69,0,0,0,1,18,0,0,0,0,0,0,2.7,16.0,0.1,11.0,True,7,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Everton,90,1,0,0,1,46,0,0,0,0,0,0,7.7,60.4,0.0,17.0,True,14,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Brighton,90,0,0,0,1,19,1,0,0,0,0,0,2.0,15.4,0.3,4.0,False,5,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Man Utd,90,0,1,4,0,21,1,0,0,0,0,0,9.2,40.2,11.3,40.0,True,2,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Chelsea,90,0,0,2,0,10,0,0,0,0,0,0,2.7,26.6,0.1,0.0,False,1,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Brentford,90,0,0,2,0,12,0,0,0,0,0,0,2.5,11.0,12.2,2.0,True,1,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Spurs,90,0,0,1,0,14,0,0,0,0,0,0,4.8,35.4,10.7,2.0,False,2,3.0,4.0,-1.0
Craig Dawson,DEF,Wolves,Sheffield Utd,90,0,0,0,1,31,0,0,0,0,0,0,4.3,42.6,0.3,0.0,True,7,3.0,2.0,1.0
Craig Dawson,DEF,Wolves,Newcastle,90,0,0,3,0,18,0,0,0,0,0,0,3.5,19.8,10.7,4.0,False,1,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Craig Dawson,DEF,Wolves,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Craig Dawson,DEF,Wolves,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
Craig Dawson,DEF,Wolves,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Luton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Craig Dawson,DEF,Wolves,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Craig Dawson,DEF,Wolves,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Craig Dawson,DEF,Wolves,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
