name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Diogo Dalot Teixeira,DEF,Man Utd,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Diogo Dalot Teixeira,DEF,Man Utd,Spurs,24,0,0,1,0,4,0,0,0,0,0,0,1.1,6.6,2.2,2.0,False,1,3.0,4.0,-1.0
Diogo Dalot Teixeira,DEF,Man Utd,Nott'm Forest,90,0,0,2,0,15,0,0,0,0,0,0,2.2,15.2,7.0,0.0,True,1,3.0,3.0,0.0
Diogo Dalot Teixeira,DEF,Man Utd,Arsenal,90,0,0,3,0,12,0,0,0,0,0,0,2.4,16.4,0.9,7.0,False,1,3.0,5.0,-2.0
Diogo Dalot Teixeira,DEF,Man Utd,Brighton,90,0,0,3,0,17,0,0,0,0,0,0,3.4,20.4,11.9,2.0,True,1,3.0,3.0,0.0
Diogo Dalot Teixeira,DEF,Man Utd,Burnley,90,0,0,0,1,29,1,0,0,0,0,0,4.9,16.8,29.8,2.0,False,6,3.0,2.0,1.0
Diogo Dalot Teixeira,DEF,Man Utd,Crystal Palace,90,0,0,1,0,16,0,0,0,0,0,0,6.1,19.4,32.1,9.0,True,2,3.0,3.0,0.0
Diogo Dalot Teixeira,DEF,Man Utd,Brentford,90,0,0,1,0,19,0,0,0,0,0,0,11.7,25.0,62.9,29.0,True,2,3.0,3.0,0.0
Diogo Dalot Teixeira,DEF,Man Utd,Sheffield Utd,90,1,0,1,0,30,0,0,0,0,0,0,6.2,44.4,10.7,7.0,False,11,3.0,2.0,1.0
Diogo Dalot Teixeira,DEF,Man Utd,Man City,90,0,0,3,0,13,0,0,0,0,0,0,2.0,13.0,6.6,0.0,True,1,3.0,5.0,-2.0
Diogo Dalot Teixeira,DEF,Man Utd,Fulham,90,0,0,0,1,26,1,0,0,0,0,0,5.5,20.2,29.7,5.0,False,6,3.0,3.0,0.0
Diogo Dalot Teixeira,DEF,Man Utd,Luton,90,0,0,0,1,25,0,0,0,0,0,0,3.1,12.0,18.3,1.0,True,6,3.0,2.0,1.0
Diogo Dalot Teixeira,DEF,Man Utd,Everton,90,0,1,0,1,38,0,0,0,0,0,0,8.6,44.6,39.5,2.0,False,12,3.0,3.0,0.0
Diogo Dalot Teixeira,DEF,Man Utd,Newcastle,90,0,0,1,0,11,0,0,0,0,0,0,1.6,14.8,1.2,0.0,False,2,3.0,3.0,0.0
Diogo Dalot Teixeira,DEF,Man Utd,Chelsea,90,0,0,1,0,14,1,0,0,0,0,0,5.2,13.2,36.4,2.0,True,1,3.0,3.0,0.0
