name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Elliot Anderson,MID,Newcastle,Aston Villa,1,0,0,0,0,3,0,0,0,0,0,0,0.1,1.0,0.1,0.0,True,1,3.0,4.0,-1.0
Elliot Anderson,MID,Newcastle,Man City,23,0,0,0,0,7,0,0,0,0,0,0,3.3,13.6,14.9,4.0,False,1,3.0,5.0,-2.0
Elliot Anderson,MID,Newcastle,Liverpool,8,0,0,1,0,4,0,0,0,0,0,0,0.5,2.4,1.0,2.0,True,1,3.0,4.0,-1.0
Elliot Anderson,MID,Newcastle,Brighton,32,0,0,2,0,3,0,0,0,0,0,0,1.6,2.4,11.3,2.0,False,1,3.0,3.0,0.0
Elliot Anderson,MID,Newcastle,Brentford,90,0,0,0,1,10,0,0,0,0,0,0,1.7,9.8,3.5,4.0,True,3,3.0,3.0,0.0
Elliot Anderson,MID,Newcastle,Sheffield Utd,90,0,1,0,1,27,0,0,0,0,0,0,10.0,43.6,35.8,21.0,False,6,3.0,2.0,1.0
Elliot Anderson,MID,Newcastle,Burnley,63,0,0,0,1,2,0,0,0,0,0,0,4.6,9.0,5.6,31.0,True,3,3.0,2.0,1.0
Elliot Anderson,MID,Newcastle,West Ham,90,0,0,2,0,9,0,0,0,0,0,0,3.6,0.0,14.9,21.0,False,2,3.0,3.0,0.0
Elliot Anderson,MID,Newcastle,Crystal Palace,10,0,0,0,0,0,0,0,0,0,0,0,0.3,1.4,1.7,0.0,True,1,3.0,3.0,0.0
Elliot Anderson,MID,Newcastle,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Elliot Anderson,MID,Newcastle,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
Elliot Anderson,MID,Newcastle,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Elliot Anderson,MID,Newcastle,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Elliot Anderson,MID,Newcastle,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Elliot Anderson,MID,Newcastle,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Elliot Anderson,MID,Newcastle,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Elliot Anderson,MID,Newcastle,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Elliot Anderson,MID,Newcastle,Luton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Elliot Anderson,MID,Newcastle,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Elliot Anderson,MID,Newcastle,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Elliot Anderson,MID,Newcastle,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
