name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Harrison Reed,MID,Fulham,Everton,90,0,0,0,1,13,0,0,0,0,0,0,2.8,13.2,12.8,2.0,False,3,3.0,3.0,0.0
Harrison Reed,MID,Fulham,Brentford,66,0,0,2,0,9,1,0,0,0,0,0,4.9,13.0,33.8,2.0,True,1,3.0,3.0,0.0
Harrison Reed,MID,Fulham,Arsenal,20,0,1,1,0,13,0,0,0,0,0,0,3.1,17.0,14.0,0.0,False,4,3.0,5.0,-2.0
Harrison Reed,MID,Fulham,Man City,90,0,0,5,0,14,0,0,0,0,0,0,0.6,5.2,0.8,0.0,False,2,3.0,5.0,-2.0
Harrison Reed,MID,Fulham,Luton,61,0,0,0,1,13,0,0,0,0,0,0,0.9,4.2,5.0,0.0,True,3,3.0,2.0,1.0
Harrison Reed,MID,Fulham,Crystal Palace,90,0,0,0,1,11,0,0,0,0,0,0,5.3,19.0,28.6,5.0,False,3,3.0,3.0,0.0
Harrison Reed,MID,Fulham,Chelsea,64,0,0,2,0,3,0,0,0,0,0,0,1.8,2.4,15.8,0.0,True,2,3.0,3.0,0.0
Harrison Reed,MID,Fulham,Sheffield Utd,11,0,0,0,0,3,0,0,0,0,0,0,0.8,3.2,5.0,0.0,True,1,3.0,2.0,1.0
Harrison Reed,MID,Fulham,Spurs,18,0,0,0,0,2,0,0,0,0,0,0,0.2,0.8,1.4,0.0,False,1,3.0,4.0,-1.0
Harrison Reed,MID,Fulham,Brighton,57,0,0,1,0,5,0,0,0,0,0,0,0.5,1.4,0.1,3.0,False,1,3.0,3.0,0.0
Harrison Reed,MID,Fulham,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Harrison Reed,MID,Fulham,Aston Villa,8,0,0,0,0,-1,1,0,0,0,0,0,0.0,0.0,0.3,0.0,False,0,3.0,4.0,-1.0
Harrison Reed,MID,Fulham,Wolves,90,0,0,2,0,15,0,0,0,0,0,0,2.9,13.4,13.4,2.0,True,2,3.0,3.0,0.0
Harrison Reed,MID,Fulham,Liverpool,89,0,0,4,0,14,0,0,0,0,0,0,2.3,19.8,1.3,2.0,False,2,3.0,4.0,-1.0
Harrison Reed,MID,Fulham,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Harrison Reed,MID,Fulham,West Ham,10,0,0,0,0,4,0,0,0,0,0,0,0.6,2.0,3.9,0.0,True,1,3.0,3.0,0.0
Harrison Reed,MID,Fulham,Newcastle,14,0,0,1,0,4,0,0,0,0,0,0,0.3,2.4,0.9,0.0,False,1,3.0,3.0,0.0
Harrison Reed,MID,Fulham,Burnley,8,0,0,0,0,7,0,0,0,0,0,0,0.3,2.6,0.6,0.0,True,1,3.0,2.0,1.0
