name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Harvey Elliott,MID,Liverpool,Chelsea,13,0,0,0,0,6,0,0,0,0,0,0,2.2,6.6,11.6,4.0,False,1,4.0,3.0,1.0
Harvey Elliott,MID,Liverpool,Bournemouth,14,0,0,0,0,2,0,0,0,0,0,0,0.2,0.4,1.1,0.0,True,1,4.0,3.0,1.0
Harvey Elliott,MID,Liverpool,Newcastle,32,0,0,0,0,3,0,0,0,0,0,0,0.4,2.2,1.7,0.0,False,1,4.0,3.0,1.0
Harvey Elliott,MID,Liverpool,Aston Villa,26,0,0,0,0,4,0,0,0,0,0,0,0.7,3.0,1.9,2.0,True,1,4.0,4.0,0.0
Harvey Elliott,MID,Liverpool,Wolves,34,0,1,0,0,13,1,0,0,0,0,0,2.5,0.4,13.4,11.0,False,3,4.0,3.0,1.0
Harvey Elliott,MID,Liverpool,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Harvey Elliott,MID,Liverpool,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Harvey Elliott,MID,Liverpool,Brighton,45,0,0,1,0,2,0,0,0,0,0,0,1.6,1.8,11.9,2.0,False,1,4.0,3.0,1.0
Harvey Elliott,MID,Liverpool,Everton,28,0,0,0,0,10,0,0,0,0,0,0,2.0,6.2,5.1,9.0,True,1,4.0,3.0,1.0
Harvey Elliott,MID,Liverpool,Nott'm Forest,31,0,0,0,0,3,0,0,0,0,0,0,0.9,0.0,1.2,9.0,True,1,4.0,3.0,1.0
Harvey Elliott,MID,Liverpool,Luton,24,0,1,1,0,17,0,0,0,0,0,0,5.7,23.4,29.9,4.0,False,4,4.0,2.0,2.0
Harvey Elliott,MID,Liverpool,Brentford,7,0,0,0,0,2,0,0,0,0,0,0,1.0,2.6,0.4,7.0,True,1,4.0,3.0,1.0
Harvey Elliott,MID,Liverpool,Man City,5,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,4.0,5.0,-1.0
Harvey Elliott,MID,Liverpool,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Harvey Elliott,MID,Liverpool,Sheffield Utd,23,0,0,0,0,5,0,0,0,0,0,0,2.4,4.8,15.6,4.0,False,1,4.0,2.0,2.0
Harvey Elliott,MID,Liverpool,Crystal Palace,16,1,0,0,0,23,0,0,0,0,0,0,4.8,33.2,3.8,11.0,False,6,4.0,3.0,1.0
Harvey Elliott,MID,Liverpool,Man Utd,12,0,0,0,0,3,0,0,0,0,0,0,1.5,7.4,1.0,7.0,True,1,4.0,3.0,1.0
Harvey Elliott,MID,Liverpool,Arsenal,22,0,0,0,0,8,0,0,0,0,0,0,2.0,7.0,11.3,2.0,True,1,4.0,5.0,-1.0
Harvey Elliott,MID,Liverpool,Burnley,66,0,0,0,1,17,0,0,0,0,0,0,5.8,12.6,28.0,17.0,False,3,4.0,2.0,2.0
Harvey Elliott,MID,Liverpool,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Harvey Elliott,MID,Liverpool,Bournemouth,63,0,0,0,1,17,0,0,0,0,0,0,2.4,9.0,7.7,7.0,False,3,4.0,3.0,1.0
