name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
James Ward-Prowse,MID,West Ham,Chelsea,80,0,2,1,0,30,0,0,0,0,0,0,7.5,47.6,25.1,2.0,True,9,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Brighton,90,1,0,1,0,24,1,0,0,0,0,0,9.6,46.2,1.2,49.0,False,6,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Luton,90,0,1,1,0,33,0,0,0,0,0,0,5.4,29.8,22.3,2.0,False,7,3.0,2.0,1.0
James Ward-Prowse,MID,West Ham,Man City,90,1,0,3,0,26,0,0,0,0,0,0,10.6,52.4,29.1,24.0,True,7,3.0,5.0,-2.0
James Ward-Prowse,MID,West Ham,Liverpool,90,0,0,3,0,23,0,0,0,0,0,0,6.0,16.8,43.3,0.0,False,2,3.0,4.0,-1.0
James Ward-Prowse,MID,West Ham,Sheffield Utd,90,0,0,0,1,29,0,0,0,0,0,0,15.5,36.2,88.9,30.0,True,4,3.0,2.0,1.0
James Ward-Prowse,MID,West Ham,Newcastle,90,0,0,2,0,12,0,0,0,0,0,0,3.0,8.6,16.5,5.0,True,2,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Aston Villa,90,0,0,4,0,19,0,0,0,0,0,0,8.0,18.4,55.5,6.0,False,2,3.0,4.0,-1.0
James Ward-Prowse,MID,West Ham,Everton,72,0,0,1,0,15,0,0,0,0,0,0,5.2,10.8,40.8,0.0,True,2,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Brentford,90,0,0,3,0,17,0,0,0,0,0,0,3.0,12.6,12.5,5.0,False,2,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Nott'm Forest,90,0,2,2,0,45,0,0,0,0,0,0,12.2,45.8,71.4,5.0,True,11,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Burnley,90,0,0,1,0,11,0,0,0,0,0,0,5.8,13.4,39.6,5.0,False,2,3.0,2.0,1.0
James Ward-Prowse,MID,West Ham,Crystal Palace,90,0,0,1,0,13,1,0,0,0,0,0,3.4,20.0,11.7,2.0,True,1,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Spurs,90,1,0,1,0,24,1,0,0,0,0,0,7.4,40.6,15.8,18.0,False,8,3.0,4.0,-1.0
James Ward-Prowse,MID,West Ham,Fulham,90,0,0,5,0,14,0,0,0,0,0,0,2.9,14.2,2.0,13.0,False,2,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Wolves,90,0,0,0,1,13,0,0,0,0,0,0,3.8,10.0,18.4,10.0,True,3,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Man Utd,90,0,0,0,1,12,0,0,0,0,0,0,5.8,11.8,41.6,5.0,True,3,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Arsenal,90,0,1,0,1,18,0,0,0,0,0,0,5.3,33.2,18.9,1.0,False,6,3.0,5.0,-2.0
James Ward-Prowse,MID,West Ham,Brighton,90,0,0,0,1,18,0,0,0,0,0,0,4.2,14.2,10.6,17.0,True,3,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Sheffield Utd,90,1,0,2,0,35,1,0,0,0,0,0,12.4,50.0,54.6,19.0,False,9,3.0,2.0,1.0
James Ward-Prowse,MID,West Ham,Bournemouth,90,1,0,1,0,40,0,0,0,0,0,0,13.3,50.2,65.7,17.0,True,10,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Man Utd,90,0,0,3,0,15,0,0,0,0,0,0,7.4,14.6,54.8,5.0,False,2,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Arsenal,90,0,0,6,0,7,0,0,0,0,0,0,0.9,6.6,2.6,0.0,True,2,3.0,5.0,-2.0
James Ward-Prowse,MID,West Ham,Nott'm Forest,90,0,0,2,0,19,0,0,0,0,0,0,4.5,15.2,27.2,3.0,False,2,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Brentford,90,0,0,2,0,17,0,0,0,0,0,0,5.4,16.0,26.9,11.0,True,2,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Everton,65,0,1,1,0,27,0,0,0,0,0,0,6.7,27.2,40.0,0.0,False,5,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Burnley,45,0,0,2,0,3,0,0,0,0,0,0,0.3,0.0,2.1,2.0,True,1,3.0,2.0,1.0
James Ward-Prowse,MID,West Ham,Aston Villa,6,0,0,0,0,4,0,0,0,0,0,0,2.2,3.0,14.0,5.0,True,1,3.0,4.0,-1.0
James Ward-Prowse,MID,West Ham,Newcastle,83,0,0,3,0,7,0,0,0,0,0,0,1.9,11.4,7.5,0.0,False,2,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Spurs,90,0,0,1,0,14,0,0,0,0,0,0,4.5,10.2,28.2,7.0,True,2,3.0,4.0,-1.0
James Ward-Prowse,MID,West Ham,Wolves,90,1,0,1,0,37,0,0,0,0,0,0,6.9,47.2,6.1,16.0,False,10,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Fulham,68,0,0,1,0,16,0,0,0,0,0,0,7.0,13.4,45.1,11.0,True,2,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Crystal Palace,90,0,0,5,0,17,0,0,0,0,0,0,3.7,16.6,20.6,0.0,False,2,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Liverpool,16,0,0,0,0,3,0,0,0,0,0,0,1.2,1.6,10.7,0.0,True,1,3.0,4.0,-1.0
James Ward-Prowse,MID,West Ham,Chelsea,45,0,0,2,0,13,0,0,0,0,0,0,5.5,16.8,30.3,8.0,False,1,3.0,3.0,0.0
James Ward-Prowse,MID,West Ham,Luton,90,1,0,1,0,30,0,0,0,0,0,0,6.4,40.0,3.3,21.0,True,8,3.0,2.0,1.0
James Ward-Prowse,MID,West Ham,Man City,90,0,0,3,0,8,0,0,0,0,0,0,2.7,8.4,18.6,0.0,False,2,3.0,5.0,-2.0
