name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Jorge Luiz Frello Filho,MID,Arsenal,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,3.0,2.0
Jorge Luiz Frello Filho,MID,Arsenal,Crystal Palace,11,0,0,0,0,5,0,0,0,0,0,0,0.4,3.6,0.6,0.0,False,1,5.0,3.0,2.0
Jorge Luiz Frello Filho,MID,Arsenal,Fulham,6,0,0,1,0,4,0,0,0,0,0,0,1.1,4.2,6.7,0.0,True,1,5.0,3.0,2.0
Jorge Luiz Frello Filho,MID,Arsenal,Man Utd,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.2,0.0,0.0,True,1,5.0,3.0,2.0
Jorge Luiz Frello Filho,MID,Arsenal,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,3.0,2.0
Jorge Luiz Frello Filho,MID,Arsenal,Spurs,45,0,0,1,0,-1,0,0,0,0,0,0,0.7,5.4,1.6,0.0,True,1,5.0,4.0,1.0
Jorge Luiz Frello Filho,MID,Arsenal,Bournemouth,9,0,0,0,0,3,0,0,0,0,0,0,0.5,4.0,1.3,0.0,False,1,5.0,3.0,2.0
Jorge Luiz Frello Filho,MID,Arsenal,Man City,74,0,0,0,1,9,1,0,0,0,0,0,1.2,4.2,8.0,0.0,True,2,5.0,5.0,0.0
Jorge Luiz Frello Filho,MID,Arsenal,Chelsea,67,0,0,2,0,11,0,0,0,0,0,0,3.3,12.2,14.9,6.0,False,2,5.0,3.0,2.0
Jorge Luiz Frello Filho,MID,Arsenal,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,2.0,3.0
Jorge Luiz Frello Filho,MID,Arsenal,Newcastle,78,0,0,1,0,13,0,0,0,0,0,0,2.5,5.8,15.8,3.0,False,2,5.0,3.0,2.0
Jorge Luiz Frello Filho,MID,Arsenal,Burnley,90,0,0,1,0,13,0,0,0,0,0,0,2.6,10.0,15.8,0.0,True,2,5.0,2.0,3.0
Jorge Luiz Frello Filho,MID,Arsenal,Brentford,1,0,0,0,0,3,0,0,0,0,0,0,0.1,1.0,0.0,0.0,False,1,5.0,3.0,2.0
Jorge Luiz Frello Filho,MID,Arsenal,Wolves,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,5.0,3.0,2.0
Jorge Luiz Frello Filho,MID,Arsenal,Luton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,2.0,3.0
Jorge Luiz Frello Filho,MID,Arsenal,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,4.0,1.0
Jorge Luiz Frello Filho,MID,Arsenal,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,3.0,2.0
Jorge Luiz Frello Filho,MID,Arsenal,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,4.0,1.0
Jorge Luiz Frello Filho,MID,Arsenal,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,3.0,2.0
Jorge Luiz Frello Filho,MID,Arsenal,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,3.0,2.0
Jorge Luiz Frello Filho,MID,Arsenal,Crystal Palace,17,0,1,0,0,16,0,0,0,0,0,0,4.0,21.2,17.5,1.0,True,4,5.0,3.0,2.0
Jorge Luiz Frello Filho,MID,Arsenal,Nott'm Forest,1,0,0,0,0,3,0,0,0,0,0,0,0.1,0.4,0.3,0.0,False,1,5.0,3.0,2.0
Jorge Luiz Frello Filho,MID,Arsenal,Liverpool,90,0,0,1,0,11,0,0,0,0,0,0,3.1,15.4,15.6,0.0,True,2,5.0,4.0,1.0
Jorge Luiz Frello Filho,MID,Arsenal,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,3.0,2.0
Jorge Luiz Frello Filho,MID,Arsenal,Burnley,11,0,0,0,0,3,0,0,0,0,0,0,0.6,4.2,1.3,0.0,False,1,5.0,2.0,3.0
Jorge Luiz Frello Filho,MID,Arsenal,Newcastle,88,0,0,1,0,12,0,0,0,0,0,0,3.2,9.8,22.2,0.0,True,2,5.0,3.0,2.0
Jorge Luiz Frello Filho,MID,Arsenal,Sheffield Utd,64,0,0,0,1,14,0,0,0,0,0,0,3.0,12.8,17.3,0.0,False,3,5.0,2.0,3.0
Jorge Luiz Frello Filho,MID,Arsenal,Brentford,69,0,0,1,0,11,0,0,0,0,0,0,2.6,6.0,20.4,0.0,True,2,5.0,3.0,2.0
Jorge Luiz Frello Filho,MID,Arsenal,Man City,65,0,0,0,1,4,0,0,0,0,0,0,0.0,0.0,0.3,0.0,False,3,5.0,5.0,0.0
Jorge Luiz Frello Filho,MID,Arsenal,Luton,5,0,0,0,0,7,0,0,0,0,0,0,1.7,7.2,10.2,0.0,True,1,5.0,2.0,3.0
