name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
José Malheiro de Sá,GK,Wolves,Man Utd,90,0,0,1,0,12,0,0,0,2,0,0,1.9,19.0,0.0,0.0,False,2,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Brighton,90,0,0,4,0,19,0,0,0,4,0,0,2.7,27.4,0.0,0.0,True,1,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Everton,90,0,0,0,1,40,0,0,0,7,0,0,6.1,60.8,0.0,0.0,False,11,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Crystal Palace,90,0,0,3,0,23,0,0,0,7,0,0,5.3,53.2,0.0,0.0,False,3,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Liverpool,90,0,0,3,0,15,0,0,0,3,0,0,2.5,24.6,0.0,0.0,True,2,3.0,4.0,-1.0
José Malheiro de Sá,GK,Wolves,Luton,90,0,0,1,0,16,0,0,0,3,0,0,2.2,21.8,0.0,0.0,False,3,3.0,2.0,1.0
José Malheiro de Sá,GK,Wolves,Man City,90,0,0,1,0,22,1,0,0,7,0,0,4.2,42.0,0.0,0.0,True,4,3.0,5.0,-2.0
José Malheiro de Sá,GK,Wolves,Aston Villa,90,0,0,1,0,14,0,0,0,3,0,0,2.6,26.0,0.0,0.0,True,3,3.0,4.0,-1.0
José Malheiro de Sá,GK,Wolves,Bournemouth,90,0,0,1,0,15,0,0,0,3,0,0,1.8,18.2,0.0,0.0,False,3,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Newcastle,90,0,0,2,0,9,0,0,0,2,0,0,1.0,10.4,0.0,0.0,True,1,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Sheffield Utd,90,0,0,2,0,10,0,0,0,0,0,0,0.4,3.8,0.0,0.0,False,1,3.0,2.0,1.0
José Malheiro de Sá,GK,Wolves,Spurs,90,0,0,1,0,10,0,0,0,1,0,0,0.8,7.6,0.0,0.0,True,2,3.0,4.0,-1.0
José Malheiro de Sá,GK,Wolves,Fulham,90,0,0,3,0,15,0,0,0,3,0,0,2.0,19.8,0.0,0.0,False,2,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Arsenal,22,0,0,2,0,5,0,0,0,1,0,0,0.8,7.6,0.0,0.0,False,0,3.0,5.0,-2.0
José Malheiro de Sá,GK,Wolves,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
José Malheiro de Sá,GK,Wolves,Nott'm Forest,90,0,0,1,0,11,0,0,0,1,0,0,0.8,8.2,0.0,0.0,True,2,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Chelsea,90,0,0,1,0,15,0,0,0,3,0,0,2.1,20.8,0.0,0.0,True,3,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Brentford,90,0,0,1,0,17,0,0,0,3,0,0,2.4,23.8,0.0,0.0,False,3,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Everton,90,0,0,0,1,20,0,0,0,0,0,0,0.3,2.8,0.0,0.0,True,6,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Brighton,90,0,0,0,1,27,0,0,0,3,0,0,2.6,25.8,0.0,0.0,False,8,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Man Utd,90,0,0,4,0,15,0,0,0,5,0,0,3.6,35.8,0.0,0.0,True,1,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Chelsea,90,0,0,2,0,12,0,0,0,2,0,0,1.5,14.8,0.0,0.0,False,1,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Brentford,90,0,0,2,0,13,0,0,0,4,0,0,2.5,24.8,0.0,0.0,True,2,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Spurs,90,0,0,1,0,17,0,0,0,4,0,0,2.2,22.0,0.0,0.0,False,3,3.0,4.0,-1.0
José Malheiro de Sá,GK,Wolves,Sheffield Utd,90,0,0,0,1,29,0,0,0,4,0,0,3.1,30.6,0.0,0.0,True,7,3.0,2.0,1.0
José Malheiro de Sá,GK,Wolves,Newcastle,45,0,0,2,0,7,0,0,0,2,0,0,0.4,3.8,0.0,0.0,False,0,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Fulham,90,0,0,1,0,18,0,0,0,5,0,0,3.2,32.2,0.0,0.0,True,3,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Aston Villa,90,0,0,2,0,15,0,0,0,3,0,0,2.7,27.4,0.0,0.0,False,2,3.0,4.0,-1.0
José Malheiro de Sá,GK,Wolves,Burnley,90,0,0,1,0,20,0,0,0,5,0,0,3.6,36.2,0.0,0.0,False,4,3.0,2.0,1.0
José Malheiro de Sá,GK,Wolves,West Ham,90,0,0,2,0,12,0,0,0,2,0,0,1.8,18.0,0.0,0.0,True,1,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Nott'm Forest,90,0,1,2,0,36,0,0,0,7,0,0,7.9,69.4,10.0,0.0,False,8,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Arsenal,90,0,0,2,0,23,0,0,0,7,0,0,5.9,59.2,0.0,0.0,True,3,3.0,5.0,-2.0
José Malheiro de Sá,GK,Wolves,Bournemouth,90,0,0,1,0,18,0,0,0,5,0,0,3.8,36.8,1.0,0.0,True,3,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Luton,90,0,0,1,0,17,0,0,0,5,0,0,4.0,39.6,0.0,0.0,True,3,3.0,2.0,1.0
José Malheiro de Sá,GK,Wolves,Man City,90,0,0,5,0,23,0,0,0,7,0,0,5.4,54.2,0.0,0.0,False,2,3.0,5.0,-2.0
José Malheiro de Sá,GK,Wolves,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Liverpool,90,0,0,2,0,32,0,0,0,11,0,0,7.5,75.0,0.0,0.0,False,4,3.0,4.0,-1.0
