name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
João Victor Gomes da Silva,MID,Wolves,Man Utd,87,0,0,1,0,20,0,0,0,0,0,0,5.3,16.6,23.1,13.0,False,2,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Brighton,54,0,0,4,0,4,0,0,0,0,0,0,1.3,4.8,5.8,2.0,True,1,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Everton,90,0,0,0,1,9,1,0,0,0,0,0,1.7,11.0,4.2,2.0,False,2,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Crystal Palace,80,0,0,2,0,9,1,0,0,0,0,0,0.7,0.6,2.4,4.0,False,1,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Liverpool,90,0,0,3,0,20,0,0,0,0,0,0,4.5,19.6,22.3,3.0,True,2,3.0,4.0,-1.0
João Victor Gomes da Silva,MID,Wolves,Luton,89,0,1,1,0,6,1,0,0,0,0,0,0.0,0.0,2.3,0.0,False,4,3.0,2.0,1.0
João Victor Gomes da Silva,MID,Wolves,Man City,66,0,0,1,0,5,0,0,0,0,0,0,0.7,5.0,2.0,0.0,True,2,3.0,5.0,-2.0
João Victor Gomes da Silva,MID,Wolves,Aston Villa,68,0,0,1,0,3,0,0,0,0,0,0,0.6,3.6,0.8,2.0,True,2,3.0,4.0,-1.0
João Victor Gomes da Silva,MID,Wolves,Bournemouth,45,0,0,1,0,2,0,0,0,0,0,0,1.1,4.8,5.8,0.0,False,1,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Newcastle,4,0,0,0,0,6,0,0,0,0,0,0,0.3,2.4,0.3,0.0,True,1,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
João Victor Gomes da Silva,MID,Wolves,Spurs,86,0,0,1,0,17,1,0,0,0,0,0,3.3,10.6,17.9,4.0,True,1,3.0,4.0,-1.0
João Victor Gomes da Silva,MID,Wolves,Fulham,90,0,0,3,0,2,1,0,0,0,0,0,3.8,3.4,32.7,2.0,False,1,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
João Victor Gomes da Silva,MID,Wolves,Burnley,90,0,0,0,1,9,0,0,0,0,0,0,0.6,3.6,2.0,0.0,True,3,3.0,2.0,1.0
João Victor Gomes da Silva,MID,Wolves,Nott'm Forest,90,0,0,1,0,11,0,0,0,0,0,0,2.2,11.4,10.3,0.0,True,2,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,West Ham,90,0,0,3,0,18,0,0,0,0,0,0,3.4,16.4,15.9,2.0,False,2,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Chelsea,90,0,0,1,0,16,0,0,0,0,0,0,5.2,27.4,15.8,9.0,True,2,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Brentford,90,0,0,1,0,10,0,0,0,0,0,0,3.8,27.0,6.6,4.0,False,2,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Everton,84,0,0,0,1,10,0,0,0,0,0,0,3.9,16.2,5.7,17.0,True,3,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Man Utd,8,0,0,1,0,3,0,0,0,0,0,0,0.6,5.0,1.0,0.0,True,1,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Chelsea,89,0,1,2,0,21,0,0,0,0,0,0,4.4,28.6,13.8,2.0,False,5,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Brentford,62,0,0,1,0,11,0,0,0,0,0,0,1.6,9.8,3.8,2.0,True,2,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Spurs,90,2,0,1,0,40,1,0,0,0,0,0,12.0,81.0,2.8,36.0,False,14,3.0,4.0,-1.0
João Victor Gomes da Silva,MID,Wolves,Sheffield Utd,90,0,0,0,1,9,0,0,0,0,0,0,5.9,17.4,24.6,17.0,True,3,3.0,2.0,1.0
João Victor Gomes da Silva,MID,Wolves,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Fulham,90,0,0,1,0,12,0,0,0,0,0,0,5.8,26.6,27.1,4.0,True,2,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Aston Villa,83,0,0,2,0,16,0,0,0,0,0,0,2.1,18.0,2.6,0.0,False,2,3.0,4.0,-1.0
João Victor Gomes da Silva,MID,Wolves,Burnley,90,0,0,1,0,13,1,0,0,0,0,0,2.4,12.0,3.4,9.0,False,1,3.0,2.0,1.0
João Victor Gomes da Silva,MID,Wolves,West Ham,90,0,0,2,0,9,1,0,0,0,0,0,5.9,25.8,20.3,13.0,True,1,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Nott'm Forest,58,0,0,2,0,1,1,0,0,0,0,0,1.2,1.4,5.5,5.0,False,0,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Arsenal,90,0,0,2,0,8,0,0,0,0,0,0,2.7,8.4,1.9,17.0,True,2,3.0,5.0,-2.0
João Victor Gomes da Silva,MID,Wolves,Bournemouth,63,0,0,1,0,12,0,0,0,0,0,0,4.8,18.0,25.8,4.0,True,2,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Luton,90,0,0,1,0,8,1,0,0,0,0,0,2.8,2.8,20.5,5.0,True,1,3.0,2.0,1.0
João Victor Gomes da Silva,MID,Wolves,Man City,90,0,0,5,0,9,1,0,0,0,0,0,1.2,10.0,2.2,0.0,False,1,3.0,5.0,-2.0
João Victor Gomes da Silva,MID,Wolves,Crystal Palace,90,0,0,3,0,7,0,0,0,0,0,0,7.1,23.4,36.9,11.0,True,2,3.0,3.0,0.0
João Victor Gomes da Silva,MID,Wolves,Liverpool,90,0,0,2,0,3,0,0,0,0,0,0,3.2,20.6,4.2,7.0,False,2,3.0,4.0,-1.0
