name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Kobbie Mainoo,MID,Man Utd,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Kobbie Mainoo,MID,Man Utd,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Kobbie Mainoo,MID,Man Utd,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Kobbie Mainoo,MID,Man Utd,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Kobbie Mainoo,MID,Man Utd,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
Kobbie Mainoo,MID,Man Utd,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,Luton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Kobbie Mainoo,MID,Man Utd,Everton,71,0,0,0,1,15,0,0,0,0,0,0,2.4,17.2,4.3,2.0,False,3,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,Newcastle,79,0,0,1,0,13,0,0,0,0,0,0,1.2,7.6,4.0,0.0,False,2,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,Liverpool,81,0,0,0,1,5,1,0,0,0,0,0,2.2,19.4,0.8,2.0,False,2,3.0,4.0,-1.0
Kobbie Mainoo,MID,Man Utd,West Ham,90,0,0,2,0,13,0,0,0,0,0,0,4.7,18.4,17.6,11.0,False,2,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,Aston Villa,80,0,0,2,0,11,0,0,0,0,0,0,1.3,10.4,2.5,0.0,True,2,3.0,4.0,-1.0
Kobbie Mainoo,MID,Man Utd,Nott'm Forest,45,0,0,0,0,0,0,0,0,0,0,0,1.2,10.8,1.6,0.0,False,1,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,Spurs,90,0,0,2,0,9,0,0,0,0,0,0,1.2,9.0,2.5,0.0,True,2,3.0,4.0,-1.0
Kobbie Mainoo,MID,Man Utd,Wolves,90,1,0,3,0,36,0,0,0,0,0,0,7.6,51.6,2.9,21.0,False,10,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,West Ham,63,0,0,0,1,9,0,0,0,0,0,0,0.7,5.6,1.4,0.0,True,3,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,Aston Villa,90,0,0,1,0,11,1,0,0,0,0,0,6.2,14.6,45.3,2.0,False,1,3.0,4.0,-1.0
Kobbie Mainoo,MID,Man Utd,Luton,90,0,0,1,0,13,1,0,0,0,0,0,3.4,10.6,23.8,0.0,False,1,3.0,2.0,1.0
Kobbie Mainoo,MID,Man Utd,Fulham,79,0,0,1,0,10,0,0,0,0,0,0,1.9,5.8,11.6,2.0,True,2,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,Man City,81,0,0,2,0,11,0,0,0,0,0,0,2.3,16.0,4.6,2.0,False,2,3.0,5.0,-2.0
Kobbie Mainoo,MID,Man Utd,Everton,78,0,0,0,1,5,0,0,0,0,0,0,1.1,3.6,3.5,4.0,True,3,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,Brentford,79,0,0,0,1,11,0,0,0,0,0,0,1.5,10.6,4.5,0.0,False,3,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,Chelsea,90,0,0,4,0,12,0,0,0,0,0,0,6.0,24.4,26.1,9.0,False,2,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,Liverpool,84,1,0,2,0,29,0,0,0,0,0,0,7.8,55.8,0.9,21.0,True,10,3.0,4.0,-1.0
Kobbie Mainoo,MID,Man Utd,Bournemouth,77,0,0,2,0,11,0,0,0,0,0,0,1.3,4.2,4.8,4.0,False,2,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,Sheffield Utd,90,0,1,2,0,28,0,0,0,0,0,0,5.7,23.8,16.0,17.0,True,5,3.0,2.0,1.0
Kobbie Mainoo,MID,Man Utd,Burnley,64,0,0,0,1,3,0,0,0,0,0,0,2.4,5.8,14.6,4.0,True,3,3.0,2.0,1.0
Kobbie Mainoo,MID,Man Utd,Crystal Palace,90,0,0,4,0,15,0,0,0,0,0,0,2.5,15.8,9.3,0.0,False,2,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,Arsenal,90,0,0,1,0,14,0,0,0,0,0,0,4.4,14.4,27.3,2.0,True,2,3.0,5.0,-2.0
Kobbie Mainoo,MID,Man Utd,Newcastle,82,1,0,1,0,30,0,0,0,0,0,0,7.9,47.4,4.1,27.0,True,9,3.0,3.0,0.0
Kobbie Mainoo,MID,Man Utd,Brighton,74,0,0,0,1,13,0,0,0,0,0,0,3.7,10.6,22.7,4.0,False,3,3.0,3.0,0.0
