name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Marcus Tavernier,MID,Bournemouth,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Marcus Tavernier,MID,Bournemouth,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Marcus Tavernier,MID,Bournemouth,Brentford,19,0,1,1,0,16,0,0,0,0,0,0,3.0,17.4,10.3,2.0,False,4,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Chelsea,72,0,0,0,1,11,0,0,0,0,0,0,4.0,7.6,12.0,20.0,True,3,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Brighton,62,0,0,2,0,11,0,0,0,0,0,0,3.3,16.6,12.8,4.0,False,2,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Arsenal,58,0,0,3,0,3,0,0,0,0,0,0,2.7,3.2,19.8,4.0,True,1,3.0,5.0,-2.0
Marcus Tavernier,MID,Bournemouth,Everton,90,0,0,3,0,9,0,0,0,0,0,0,5.3,16.4,21.8,15.0,False,2,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Wolves,74,0,0,1,0,5,0,0,0,0,0,0,2.4,10.2,14.2,0.0,True,2,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Burnley,81,0,0,1,0,5,0,0,0,0,0,0,7.1,26.0,8.1,37.0,True,2,3.0,2.0,1.0
Marcus Tavernier,MID,Bournemouth,Man City,71,0,0,4,0,6,0,0,0,0,0,0,0.4,0.0,1.8,2.0,False,2,3.0,5.0,-2.0
Marcus Tavernier,MID,Bournemouth,Newcastle,90,0,0,0,1,18,0,0,0,0,0,0,7.0,15.2,27.3,27.0,True,3,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Sheffield Utd,81,2,0,0,1,48,0,0,0,0,0,0,21.0,85.4,37.1,87.0,False,16,3.0,2.0,1.0
Marcus Tavernier,MID,Bournemouth,Aston Villa,90,0,0,2,0,11,0,0,0,0,0,0,4.8,11.0,22.6,14.0,True,2,3.0,4.0,-1.0
Marcus Tavernier,MID,Bournemouth,Crystal Palace,28,0,0,0,0,3,0,0,0,0,0,0,2.1,1.4,15.3,4.0,False,1,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Man Utd,87,0,2,0,1,28,1,0,0,0,0,0,10.7,43.2,43.3,20.0,False,9,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Nott'm Forest,90,0,0,2,0,15,0,0,0,0,0,0,5.2,9.8,34.3,8.0,False,2,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Fulham,87,0,0,0,1,2,0,0,0,0,0,0,1.8,0.0,1.9,18.0,True,3,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Spurs,90,0,1,3,0,30,0,0,0,0,0,0,12.6,38.6,67.4,20.0,False,6,3.0,4.0,-1.0
Marcus Tavernier,MID,Bournemouth,Liverpool,90,0,0,4,0,23,0,0,0,0,0,0,6.7,23.4,28.0,16.0,True,2,3.0,4.0,-1.0
Marcus Tavernier,MID,Bournemouth,West Ham,90,0,0,1,0,9,0,0,0,0,0,0,5.0,12.8,31.2,6.0,False,2,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Nott'm Forest,45,0,0,0,0,-4,0,0,0,0,0,0,0.8,0.8,1.8,5.0,True,1,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Fulham,68,0,0,3,0,9,0,0,0,0,0,0,7.6,9.0,46.9,20.0,False,2,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Newcastle,90,0,0,2,0,10,0,0,0,0,0,0,6.9,16.0,36.2,17.0,False,2,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Man City,67,0,0,1,0,1,0,0,0,0,0,0,3.3,6.6,16.5,10.0,True,2,3.0,5.0,-2.0
Marcus Tavernier,MID,Bournemouth,Burnley,90,0,0,0,1,-5,1,0,0,0,0,0,2.9,9.2,1.2,19.0,False,2,3.0,2.0,1.0
Marcus Tavernier,MID,Bournemouth,Sheffield Utd,61,0,0,1,0,18,0,0,0,0,0,0,9.2,21.4,58.4,12.0,True,2,3.0,2.0,1.0
Marcus Tavernier,MID,Bournemouth,Luton,45,0,0,0,0,8,0,0,0,0,0,0,3.3,6.2,16.0,11.0,True,1,3.0,2.0,1.0
Marcus Tavernier,MID,Bournemouth,Everton,73,0,0,0,1,7,0,0,0,0,0,0,3.4,6.2,2.4,25.0,True,3,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Crystal Palace,90,0,0,0,1,-2,1,0,0,0,0,0,1.4,4.2,5.8,4.0,True,2,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Luton,58,1,0,0,0,17,0,0,0,0,0,0,5.0,31.8,5.0,13.0,False,6,3.0,2.0,1.0
Marcus Tavernier,MID,Bournemouth,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Marcus Tavernier,MID,Bournemouth,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Marcus Tavernier,MID,Bournemouth,Brentford,23,0,0,2,0,1,0,0,0,0,0,0,0.7,1.2,1.6,4.0,True,1,3.0,3.0,0.0
Marcus Tavernier,MID,Bournemouth,Chelsea,58,0,0,2,0,11,0,0,0,0,0,0,8.2,17.6,48.4,16.0,False,1,3.0,3.0,0.0
