name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Pervis Estupiñán,DEF,Brighton,Luton,90,0,1,1,0,34,1,0,0,0,0,0,16.0,46.0,79.3,35.0,True,7,3.0,2.0,1.0
Pervis Estupiñán,DEF,Brighton,Wolves,90,1,1,1,0,33,1,0,0,0,0,0,10.8,57.0,22.4,29.0,False,11,3.0,3.0,0.0
Pervis Estupiñán,DEF,Brighton,West Ham,90,0,0,3,0,16,0,0,0,0,0,0,7.2,15.2,36.8,20.0,True,1,3.0,3.0,0.0
Pervis Estupiñán,DEF,Brighton,Newcastle,90,0,0,1,0,12,0,0,0,0,0,0,4.1,11.6,22.6,7.0,True,2,3.0,3.0,0.0
Pervis Estupiñán,DEF,Brighton,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Pervis Estupiñán,DEF,Brighton,Bournemouth,90,0,1,1,0,25,0,0,0,0,0,0,4.9,31.0,15.7,2.0,True,6,3.0,3.0,0.0
Pervis Estupiñán,DEF,Brighton,Aston Villa,45,0,0,3,0,-8,0,0,1,0,0,0,2.0,2.0,1.1,17.0,False,-2,3.0,4.0,-1.0
Pervis Estupiñán,DEF,Brighton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Pervis Estupiñán,DEF,Brighton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Pervis Estupiñán,DEF,Brighton,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Pervis Estupiñán,DEF,Brighton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Pervis Estupiñán,DEF,Brighton,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Pervis Estupiñán,DEF,Brighton,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Pervis Estupiñán,DEF,Brighton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Pervis Estupiñán,DEF,Brighton,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
