name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Rúben Gato Alves Dias,DEF,Man City,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,2.0,3.0
Rúben Gato Alves Dias,DEF,Man City,Newcastle,90,0,0,0,1,28,0,0,0,0,0,0,1.3,10.6,1.9,0.0,True,7,5.0,3.0,2.0
Rúben Gato Alves Dias,DEF,Man City,Sheffield Utd,90,0,0,1,0,14,0,0,0,0,0,0,3.7,20.4,10.3,6.0,False,2,5.0,2.0,3.0
Rúben Gato Alves Dias,DEF,Man City,Fulham,90,0,0,1,0,12,0,0,0,0,0,0,2.4,22.0,1.9,0.0,True,2,5.0,3.0,2.0
Rúben Gato Alves Dias,DEF,Man City,West Ham,90,0,0,1,0,11,0,0,0,0,0,0,5.7,19.0,2.3,36.0,False,2,5.0,3.0,2.0
Rúben Gato Alves Dias,DEF,Man City,Nott'm Forest,90,0,0,0,1,26,0,0,0,0,0,0,2.5,22.2,2.3,0.0,True,6,5.0,3.0,2.0
Rúben Gato Alves Dias,DEF,Man City,Wolves,90,0,0,2,0,9,0,0,1,0,0,0,7.0,23.2,21.8,25.0,False,-1,5.0,3.0,2.0
Rúben Gato Alves Dias,DEF,Man City,Arsenal,90,0,0,1,0,10,0,0,0,0,0,0,1.3,10.4,2.5,0.0,False,2,5.0,5.0,0.0
Rúben Gato Alves Dias,DEF,Man City,Brighton,15,0,0,0,0,3,0,0,0,0,0,0,0.3,3.0,0.4,0.0,True,1,5.0,3.0,2.0
Rúben Gato Alves Dias,DEF,Man City,Man Utd,90,0,0,0,1,24,0,0,0,0,0,0,1.6,12.0,1.6,2.0,False,6,5.0,3.0,2.0
Rúben Gato Alves Dias,DEF,Man City,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,3.0,2.0
Rúben Gato Alves Dias,DEF,Man City,Chelsea,90,0,0,4,0,15,0,0,0,0,0,0,2.1,14.4,6.3,0.0,False,0,5.0,3.0,2.0
Rúben Gato Alves Dias,DEF,Man City,Liverpool,90,0,0,1,0,15,0,0,0,0,0,0,2.5,16.6,1.8,7.0,True,2,5.0,4.0,1.0
Rúben Gato Alves Dias,DEF,Man City,Spurs,90,0,0,3,0,16,0,0,0,0,0,0,3.4,20.4,11.8,2.0,True,1,5.0,4.0,1.0
Rúben Gato Alves Dias,DEF,Man City,Aston Villa,90,0,0,1,0,21,0,0,0,0,0,0,4.9,44.0,2.9,2.0,False,2,5.0,4.0,1.0
Rúben Gato Alves Dias,DEF,Man City,Luton,90,0,0,1,0,5,0,0,0,0,0,0,3.7,15.8,1.9,19.0,False,2,5.0,2.0,3.0
Rúben Gato Alves Dias,DEF,Man City,Crystal Palace,90,0,0,2,0,16,0,0,0,0,0,0,6.2,25.8,30.8,5.0,True,1,5.0,3.0,2.0
Rúben Gato Alves Dias,DEF,Man City,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,3.0,2.0
Rúben Gato Alves Dias,DEF,Man City,Sheffield Utd,22,0,0,0,0,9,0,0,0,0,0,0,0.8,4.2,1.8,2.0,True,1,5.0,2.0,3.0
Rúben Gato Alves Dias,DEF,Man City,Newcastle,90,0,0,2,0,17,0,0,0,0,0,0,3.5,27.4,3.7,4.0,False,1,5.0,3.0,2.0
Rúben Gato Alves Dias,DEF,Man City,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,2.0,3.0
Rúben Gato Alves Dias,DEF,Man City,Brentford,90,0,0,1,0,18,0,0,0,0,0,0,3.9,32.0,5.2,2.0,False,2,5.0,3.0,2.0
Rúben Gato Alves Dias,DEF,Man City,Everton,90,0,0,0,1,26,0,0,0,0,0,0,3.0,13.6,1.4,15.0,True,6,5.0,3.0,2.0
Rúben Gato Alves Dias,DEF,Man City,Chelsea,90,0,0,1,0,13,0,0,0,0,0,0,5.0,25.2,5.3,19.0,True,2,5.0,3.0,2.0
