name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Tawanda Chirewa,MID,Wolves,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Tawanda Chirewa,MID,Wolves,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Tawanda Chirewa,MID,Wolves,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Tawanda Chirewa,MID,Wolves,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Tawanda Chirewa,MID,Wolves,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Tawanda Chirewa,MID,Wolves,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Tawanda Chirewa,MID,Wolves,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Tawanda Chirewa,MID,Wolves,Brighton,2,0,0,0,0,3,0,0,0,0,0,0,0.6,5.2,0.3,0.0,False,1,3.0,3.0,0.0
Tawanda Chirewa,MID,Wolves,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Tawanda Chirewa,MID,Wolves,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Tawanda Chirewa,MID,Wolves,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Tawanda Chirewa,MID,Wolves,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Tawanda Chirewa,MID,Wolves,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Tawanda Chirewa,MID,Wolves,Newcastle,9,0,0,1,0,3,0,0,0,0,0,0,2.5,2.4,18.3,4.0,False,1,3.0,3.0,0.0
Tawanda Chirewa,MID,Wolves,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Tawanda Chirewa,MID,Wolves,Aston Villa,19,0,0,0,0,-2,1,0,0,0,0,0,0.2,0.0,0.1,4.0,False,0,3.0,4.0,-1.0
Tawanda Chirewa,MID,Wolves,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Tawanda Chirewa,MID,Wolves,West Ham,3,0,0,0,0,3,0,0,0,0,0,0,0.3,2.4,0.8,0.0,True,1,3.0,3.0,0.0
Tawanda Chirewa,MID,Wolves,Nott'm Forest,2,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.1,0.0,False,1,3.0,3.0,0.0
Tawanda Chirewa,MID,Wolves,Arsenal,74,0,0,1,0,4,0,0,0,0,0,0,1.7,7.0,1.3,9.0,True,2,3.0,5.0,-2.0
Tawanda Chirewa,MID,Wolves,Bournemouth,26,0,0,0,0,2,0,0,0,0,0,0,1.1,3.0,3.8,4.0,True,1,3.0,3.0,0.0
Tawanda Chirewa,MID,Wolves,Luton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Tawanda Chirewa,MID,Wolves,Man City,3,0,0,0,0,5,0,0,0,0,0,0,0.2,2.0,0.0,0.0,False,1,3.0,5.0,-2.0
Tawanda Chirewa,MID,Wolves,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Tawanda Chirewa,MID,Wolves,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
