name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Thiago Emiliano da Silva,DEF,Chelsea,Liverpool,90,0,0,1,0,19,0,0,0,0,0,0,5.3,32.8,11.7,8.0,True,2,3.0,4.0,-1.0
Thiago Emiliano da Silva,DEF,Chelsea,West Ham,90,0,0,3,0,16,0,0,0,0,0,0,3.7,27.8,4.3,5.0,False,1,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Luton,90,0,0,0,1,28,0,0,0,0,0,0,3.1,28.2,0.8,2.0,True,6,3.0,2.0,1.0
Thiago Emiliano da Silva,DEF,Chelsea,Nott'm Forest,90,0,0,1,0,18,0,0,0,0,0,0,6.1,29.4,14.1,17.0,True,2,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Bournemouth,90,0,0,0,1,26,0,0,0,0,0,0,1.1,10.2,1.1,0.0,False,6,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Aston Villa,90,0,0,1,0,23,0,0,0,0,0,0,5.4,32.2,21.4,0.0,True,2,3.0,4.0,-1.0
Thiago Emiliano da Silva,DEF,Chelsea,Fulham,90,0,0,0,1,30,0,0,0,0,0,0,2.5,24.8,0.2,0.0,False,8,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Burnley,90,0,0,1,0,9,1,0,0,0,0,0,1.8,16.8,1.5,0.0,False,1,3.0,2.0,1.0
Thiago Emiliano da Silva,DEF,Chelsea,Arsenal,90,0,0,2,0,13,1,0,0,0,0,0,2.0,19.4,0.5,0.0,True,0,3.0,5.0,-2.0
Thiago Emiliano da Silva,DEF,Chelsea,Brentford,90,0,0,2,0,16,0,0,0,0,0,0,3.3,18.6,5.8,9.0,True,1,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Spurs,90,0,0,1,0,14,0,0,0,0,0,0,1.7,12.2,0.9,4.0,False,2,3.0,4.0,-1.0
Thiago Emiliano da Silva,DEF,Chelsea,Man City,90,1,0,4,0,26,0,0,0,0,0,0,7.4,41.0,0.4,33.0,True,6,3.0,5.0,-2.0
Thiago Emiliano da Silva,DEF,Chelsea,Newcastle,90,0,0,4,0,13,0,0,0,0,0,0,1.4,13.0,0.5,0.0,False,0,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Brighton,90,0,0,2,0,23,0,0,0,0,0,0,3.0,28.8,0.7,0.0,True,2,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Man Utd,90,0,0,2,0,14,0,0,0,0,0,0,2.4,22.8,0.8,0.0,False,1,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Sheffield Utd,90,0,0,0,1,32,0,0,0,0,0,0,4.3,29.8,12.9,0.0,True,8,3.0,2.0,1.0
Thiago Emiliano da Silva,DEF,Chelsea,Wolves,90,0,0,2,0,15,0,0,0,0,0,0,2.2,20.2,1.3,0.0,False,1,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Crystal Palace,32,0,0,0,0,7,0,0,0,0,0,0,2.4,13.0,10.8,0.0,True,1,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Luton,90,0,0,2,0,18,0,0,0,0,0,0,3.3,33.0,0.3,0.0,False,1,3.0,2.0,1.0
Thiago Emiliano da Silva,DEF,Chelsea,Fulham,90,0,0,0,1,23,1,0,0,0,0,0,2.4,22.0,1.7,0.0,True,5,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Liverpool,90,0,0,4,0,16,0,0,0,0,0,0,2.6,25.6,0.4,0.0,False,0,3.0,4.0,-1.0
Thiago Emiliano da Silva,DEF,Chelsea,Wolves,90,1,0,4,0,27,0,0,0,0,0,0,9.6,56.0,2.8,37.0,True,8,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Crystal Palace,60,0,0,1,0,17,0,0,0,0,0,0,3.0,22.4,2.3,5.0,False,2,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Thiago Emiliano da Silva,DEF,Chelsea,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Thiago Emiliano da Silva,DEF,Chelsea,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Sheffield Utd,90,1,0,2,0,33,0,0,0,0,0,0,8.6,66.2,0.4,19.0,False,10,3.0,2.0,1.0
Thiago Emiliano da Silva,DEF,Chelsea,Everton,90,0,0,0,1,28,0,0,0,0,0,0,2.1,18.8,0.1,2.0,True,6,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Arsenal,12,0,0,0,0,3,0,0,0,0,0,0,0.2,1.0,0.5,0.0,False,1,3.0,5.0,-2.0
Thiago Emiliano da Silva,DEF,Chelsea,Aston Villa,89,0,0,2,0,11,1,0,0,0,0,0,3.6,17.6,13.1,5.0,False,0,3.0,4.0,-1.0
Thiago Emiliano da Silva,DEF,Chelsea,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Thiago Emiliano da Silva,DEF,Chelsea,West Ham,81,0,1,0,1,48,0,0,0,0,0,0,8.4,52.2,25.3,6.0,True,11,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Nott'm Forest,90,0,0,2,0,17,0,0,0,0,0,0,4.4,33.4,1.4,9.0,False,1,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Brighton,1,0,0,1,0,5,0,0,0,0,0,0,1.0,9.2,0.3,0.0,False,1,3.0,3.0,0.0
Thiago Emiliano da Silva,DEF,Chelsea,Bournemouth,90,0,0,1,0,16,0,0,0,0,0,0,2.3,18.6,0.4,4.0,True,2,3.0,3.0,0.0
