name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Vini de Souza Costa,MID,Sheffield Utd,Crystal Palace,10,0,0,0,0,2,0,0,0,0,0,0,0.5,4.6,0.3,0.0,True,1,2.0,3.0,-1.0
Vini de Souza Costa,MID,Sheffield Utd,Nott'm Forest,57,0,0,1,0,9,0,0,0,0,0,0,3.5,15.2,12.0,8.0,False,1,2.0,3.0,-1.0
Vini de Souza Costa,MID,Sheffield Utd,Man City,90,0,0,2,0,5,1,0,0,0,0,0,1.3,8.8,0.3,4.0,True,1,2.0,5.0,-3.0
Vini de Souza Costa,MID,Sheffield Utd,Everton,90,0,0,2,0,10,0,0,0,0,0,0,2.4,13.6,2.4,8.0,True,2,2.0,3.0,-1.0
Vini de Souza Costa,MID,Sheffield Utd,Spurs,90,0,0,2,0,14,0,0,0,0,0,0,2.2,21.2,1.2,0.0,False,2,2.0,4.0,-2.0
Vini de Souza Costa,MID,Sheffield Utd,Newcastle,90,0,0,8,0,11,0,0,0,0,0,0,3.3,24.0,2.3,7.0,True,2,2.0,3.0,-1.0
Vini de Souza Costa,MID,Sheffield Utd,West Ham,90,0,0,2,0,13,0,0,0,0,0,0,2.9,16.2,3.3,9.0,False,2,2.0,3.0,-1.0
Vini de Souza Costa,MID,Sheffield Utd,Fulham,90,0,0,3,0,18,0,0,0,0,0,0,1.8,15.4,2.9,0.0,False,3,2.0,3.0,-1.0
Vini de Souza Costa,MID,Sheffield Utd,Man Utd,90,0,0,2,0,4,1,0,0,0,0,0,2.2,20.2,2.2,0.0,True,1,2.0,3.0,-1.0
Vini de Souza Costa,MID,Sheffield Utd,Arsenal,90,0,0,5,0,15,0,0,0,0,0,0,2.1,15.0,2.3,4.0,False,2,2.0,5.0,-3.0
Vini de Souza Costa,MID,Sheffield Utd,Wolves,90,0,0,1,0,4,0,0,0,0,0,0,1.3,9.6,1.8,2.0,True,2,2.0,3.0,-1.0
Vini de Souza Costa,MID,Sheffield Utd,Brighton,51,0,0,1,0,2,0,0,0,0,0,0,0.9,8.4,0.3,0.0,False,1,2.0,3.0,-1.0
Vini de Souza Costa,MID,Sheffield Utd,Bournemouth,45,0,0,2,0,3,0,0,0,0,0,0,0.7,3.8,1.0,2.0,True,1,2.0,3.0,-1.0
Vini de Souza Costa,MID,Sheffield Utd,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Vini de Souza Costa,MID,Sheffield Utd,Liverpool,85,0,0,1,0,11,0,0,0,0,0,0,2.0,15.8,1.8,2.0,True,2,2.0,4.0,-2.0
