name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
William Saliba,DEF,Arsenal,Nott'm Forest,90,0,1,1,0,22,0,0,0,0,0,0,4.9,33.6,13.6,2.0,True,5,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Crystal Palace,90,0,0,0,1,29,0,0,0,0,0,0,2.9,27.6,1.2,0.0,False,8,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Fulham,90,0,0,2,0,14,0,0,0,0,0,0,3.9,17.6,14.5,7.0,True,1,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Man Utd,90,0,0,1,0,17,0,0,0,0,0,0,2.3,20.2,2.3,0.0,True,2,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Everton,90,0,0,0,1,27,0,0,0,0,0,0,2.7,25.6,1.2,0.0,False,6,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Spurs,90,0,0,2,0,11,0,0,0,0,0,0,2.3,21.2,1.3,0.0,True,1,5.0,4.0,1.0
William Saliba,DEF,Arsenal,Bournemouth,90,0,0,0,1,25,0,0,0,0,0,0,0.8,7.4,0.4,0.0,False,6,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Man City,90,0,0,0,1,26,0,0,0,0,0,0,1.5,14.0,1.3,0.0,True,7,5.0,5.0,0.0
William Saliba,DEF,Arsenal,Chelsea,90,0,0,2,0,14,0,0,0,0,0,0,1.2,10.2,2.1,0.0,False,1,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Sheffield Utd,90,0,0,0,1,27,0,0,0,0,0,0,2.1,12.4,8.3,0.0,True,7,5.0,2.0,3.0
William Saliba,DEF,Arsenal,Newcastle,90,0,0,1,0,11,0,0,0,0,0,0,1.7,12.4,2.1,2.0,False,2,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Burnley,90,1,0,1,0,27,0,0,0,0,0,0,8.6,47.6,5.5,33.0,True,9,5.0,2.0,3.0
William Saliba,DEF,Arsenal,Brentford,90,0,0,0,1,22,0,0,0,0,0,0,1.1,7.6,2.3,1.0,False,6,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Wolves,90,0,0,1,0,8,1,0,0,0,0,0,1.0,8.4,1.8,0.0,True,1,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Luton,90,0,0,3,0,14,0,0,0,0,0,0,1.7,15.4,1.1,0.0,False,1,5.0,2.0,3.0
William Saliba,DEF,Arsenal,Aston Villa,90,0,0,1,0,11,0,0,0,0,0,0,2.8,18.8,1.5,8.0,False,2,5.0,4.0,1.0
William Saliba,DEF,Arsenal,Brighton,90,0,0,0,1,29,0,0,0,0,0,0,2.3,18.8,2.3,2.0,True,7,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Liverpool,90,0,0,1,0,15,0,0,0,0,0,0,2.0,19.6,0.6,0.0,False,2,5.0,4.0,1.0
William Saliba,DEF,Arsenal,West Ham,90,0,0,2,0,16,0,0,0,0,0,0,5.1,19.8,23.0,8.0,True,1,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Fulham,90,0,0,2,0,11,1,0,0,0,0,0,1.8,13.4,2.8,2.0,False,0,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Crystal Palace,90,0,0,0,1,27,0,0,0,0,0,0,1.3,12.8,0.4,0.0,True,6,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Nott'm Forest,90,0,0,1,0,16,0,0,0,0,0,0,3.0,24.0,5.6,0.0,False,2,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Liverpool,90,0,0,1,0,7,1,0,0,0,0,0,0.6,6.0,0.1,0.0,True,1,5.0,4.0,1.0
William Saliba,DEF,Arsenal,West Ham,90,1,0,0,1,44,0,0,0,0,0,0,10.6,58.0,15.1,33.0,False,12,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Burnley,90,0,0,0,1,25,0,0,0,0,0,0,1.3,11.4,1.3,0.0,False,6,5.0,2.0,3.0
William Saliba,DEF,Arsenal,Newcastle,90,0,0,1,0,15,0,0,0,0,0,0,1.7,6.0,0.8,10.0,True,2,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Sheffield Utd,90,0,0,0,1,27,0,0,0,0,0,0,3.1,20.0,9.4,2.0,False,6,5.0,2.0,3.0
William Saliba,DEF,Arsenal,Brentford,90,0,0,1,0,10,0,0,0,0,0,0,2.4,19.0,2.8,2.0,True,2,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Man City,90,0,0,0,1,28,0,0,0,0,0,0,2.4,23.8,0.5,0.0,False,7,5.0,5.0,0.0
William Saliba,DEF,Arsenal,Luton,90,0,0,0,1,28,0,0,0,0,0,0,1.0,8.6,1.8,0.0,True,7,5.0,2.0,3.0
William Saliba,DEF,Arsenal,Brighton,90,0,0,0,1,24,1,0,0,0,0,0,0.9,7.0,2.3,0.0,False,5,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Aston Villa,90,0,0,2,0,13,0,0,0,0,0,0,1.9,17.6,1.2,0.0,True,1,5.0,4.0,1.0
William Saliba,DEF,Arsenal,Wolves,90,0,0,0,1,27,0,0,0,0,0,0,1.3,10.6,2.3,0.0,False,8,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Chelsea,90,0,0,0,1,28,0,0,0,0,0,0,1.6,14.8,0.8,0.0,True,6,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Spurs,90,0,0,2,0,14,0,0,0,0,0,0,2.4,23.2,0.7,0.0,False,1,5.0,4.0,1.0
William Saliba,DEF,Arsenal,Bournemouth,90,0,0,0,1,26,0,0,0,0,0,0,5.1,20.6,11.6,19.0,True,6,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Man Utd,90,0,0,0,1,30,0,0,0,0,0,0,3.7,26.8,1.0,9.0,False,9,5.0,3.0,2.0
William Saliba,DEF,Arsenal,Everton,90,0,0,1,0,16,0,0,0,0,0,0,2.1,15.4,5.2,0.0,True,2,5.0,3.0,2.0
