name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Willy Kambwala,DEF,Man Utd,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Willy Kambwala,DEF,Man Utd,West Ham,83,0,0,2,0,10,0,0,0,0,0,0,1.7,16.0,1.4,0.0,False,1,3.0,3.0,0.0
Willy Kambwala,DEF,Man Utd,Aston Villa,1,0,0,0,0,3,0,0,0,0,0,0,0.2,2.0,0.0,0.0,True,1,3.0,4.0,-1.0
Willy Kambwala,DEF,Man Utd,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Willy Kambwala,DEF,Man Utd,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Willy Kambwala,DEF,Man Utd,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Willy Kambwala,DEF,Man Utd,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Willy Kambwala,DEF,Man Utd,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Willy Kambwala,DEF,Man Utd,Luton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Willy Kambwala,DEF,Man Utd,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Willy Kambwala,DEF,Man Utd,Man City,21,0,0,2,0,3,0,0,0,0,0,0,0.0,0.4,0.0,0.0,False,0,3.0,5.0,-2.0
Willy Kambwala,DEF,Man Utd,Everton,1,0,0,0,0,2,0,0,0,0,0,0,0.0,0.4,0.0,0.0,True,1,3.0,3.0,0.0
Willy Kambwala,DEF,Man Utd,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Willy Kambwala,DEF,Man Utd,Chelsea,24,0,0,2,0,4,0,0,0,0,0,0,0.6,5.6,0.1,0.0,False,0,3.0,3.0,0.0
Willy Kambwala,DEF,Man Utd,Liverpool,90,0,0,2,0,8,1,0,0,0,0,0,1.0,9.8,0.1,0.0,True,0,3.0,4.0,-1.0
Willy Kambwala,DEF,Man Utd,Bournemouth,90,0,0,2,0,13,0,0,0,0,0,0,1.6,15.8,0.3,0.0,False,1,3.0,3.0,0.0
Willy Kambwala,DEF,Man Utd,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Willy Kambwala,DEF,Man Utd,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Willy Kambwala,DEF,Man Utd,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Willy Kambwala,DEF,Man Utd,Arsenal,15,0,0,0,0,5,0,0,0,0,0,0,0.4,3.8,0.5,0.0,True,1,3.0,5.0,-2.0
Willy Kambwala,DEF,Man Utd,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Willy Kambwala,DEF,Man Utd,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
