name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Andrew Robertson,DEF,Liverpool,Ipswich,78,0,0,0,1,24,0,0,0,0,0,0,3.3,12.0,17.1,4.0,False,6,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Brentford,90,0,0,0,1,29,0,0,0,0,0,0,12.1,22.0,47.1,52.0,True,6,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Man Utd,82,0,0,0,1,25,0,0,0,0,0,0,3.2,9.6,22.0,0.0,False,6,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Nott'm Forest,74,0,0,1,0,6,1,0,0,0,0,0,2.4,3.0,20.9,0.0,True,1,5.0,4.0,1.0
Andrew Robertson,DEF,Liverpool,Bournemouth,90,0,0,0,1,33,0,0,0,0,0,0,4.0,12.2,24.1,4.0,True,6,5.0,4.0,1.0
Andrew Robertson,DEF,Liverpool,Wolves,88,0,0,1,0,14,0,0,0,0,0,0,4.5,9.6,27.0,8.0,False,2,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Crystal Palace,11,0,0,0,0,3,0,0,0,0,0,0,0.2,1.8,0.6,0.0,False,1,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Chelsea,90,0,0,1,0,10,0,0,0,0,0,0,3.1,19.8,11.4,0.0,True,2,5.0,4.0,1.0
Andrew Robertson,DEF,Liverpool,Arsenal,62,0,0,2,0,2,0,0,0,0,0,0,0.5,4.6,0.5,0.0,False,1,5.0,4.0,1.0
Andrew Robertson,DEF,Liverpool,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Aston Villa,90,0,0,0,1,34,0,0,0,0,0,0,6.2,19.6,32.6,10.0,True,8,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Southampton,90,0,0,2,0,7,0,0,0,0,0,0,9.8,21.2,72.8,4.0,False,1,5.0,2.0,3.0
Andrew Robertson,DEF,Liverpool,Man City,90,0,0,0,1,22,0,0,0,0,0,0,2.9,10.6,14.8,4.0,True,6,5.0,4.0,1.0
Andrew Robertson,DEF,Liverpool,Newcastle,90,0,0,3,0,4,0,0,0,0,0,0,3.6,16.0,18.4,2.0,False,1,5.0,4.0,1.0
Andrew Robertson,DEF,Liverpool,Fulham,16,0,0,2,0,-13,0,1,0,0,0,0,0.0,0.0,0.3,0.0,True,-3,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Spurs,90,0,0,3,0,9,0,0,0,0,0,0,4.6,20.2,22.1,4.0,False,1,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Leicester,85,0,0,1,0,10,1,0,0,0,0,0,5.7,14.8,32.4,10.0,True,1,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,West Ham,73,0,0,0,1,27,0,0,0,0,0,0,3.0,13.2,11.7,5.0,False,6,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Man Utd,90,0,0,2,0,7,0,0,0,0,0,0,4.8,17.0,30.8,0.0,True,1,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Nott'm Forest,64,0,0,1,0,9,0,0,0,0,0,0,2.4,10.2,11.9,2.0,False,2,5.0,4.0,1.0
Andrew Robertson,DEF,Liverpool,Brentford,25,0,0,0,0,9,0,0,0,0,0,0,6.1,14.2,44.8,2.0,False,1,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Ipswich,90,0,0,1,0,13,0,0,0,0,0,0,6.1,18.6,38.2,4.0,True,2,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Bournemouth,90,0,0,0,1,29,0,0,0,0,0,0,3.2,15.6,16.7,0.0,False,7,5.0,4.0,1.0
Andrew Robertson,DEF,Liverpool,Everton,68,0,0,1,0,6,1,0,0,0,0,0,0.8,5.2,2.4,0.0,False,1,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Wolves,90,0,0,1,0,9,0,0,0,0,0,0,2.9,13.4,13.8,2.0,True,2,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Aston Villa,90,0,0,2,0,11,0,0,0,0,0,0,8.3,17.2,50.4,15.0,False,1,5.0,3.0,2.0
Andrew Robertson,DEF,Liverpool,Man City,73,0,0,0,1,18,0,0,0,0,0,0,2.9,10.8,12.1,6.0,False,6,5.0,4.0,1.0
