name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Ashley Young,DEF,Everton,Brighton,65,0,0,3,0,-10,0,1,0,0,0,0,2.5,9.8,15.2,0.0,True,-2,3.0,3.0,0.0
Ashley Young,DEF,Everton,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Ashley Young,DEF,Everton,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Ashley Young,DEF,Everton,Aston Villa,90,0,0,3,0,-4,1,0,0,0,0,0,1.5,14.6,0.6,0.0,False,0,3.0,3.0,0.0
Ashley Young,DEF,Everton,Leicester,90,0,1,1,0,27,0,0,0,0,0,0,6.3,32.6,30.1,0.0,False,6,3.0,3.0,0.0
Ashley Young,DEF,Everton,Crystal Palace,90,0,1,1,0,14,0,0,0,0,0,0,4.1,28.0,13.2,0.0,True,5,3.0,3.0,0.0
Ashley Young,DEF,Everton,Newcastle,90,0,0,0,1,21,0,0,0,0,0,0,2.8,14.2,13.6,0.0,True,6,3.0,4.0,-1.0
Ashley Young,DEF,Everton,Ipswich,90,0,0,0,1,27,0,0,0,0,0,0,5.4,24.2,23.0,7.0,False,6,3.0,3.0,0.0
Ashley Young,DEF,Everton,Fulham,90,0,1,1,0,23,0,0,0,0,0,0,4.7,32.4,12.3,2.0,True,6,3.0,3.0,0.0
Ashley Young,DEF,Everton,Southampton,90,0,0,1,0,6,0,0,0,0,0,0,4.8,13.2,32.4,2.0,False,2,3.0,2.0,1.0
Ashley Young,DEF,Everton,West Ham,90,0,0,0,1,24,1,0,0,0,0,0,6.0,22.0,33.9,4.0,False,5,3.0,3.0,0.0
Ashley Young,DEF,Everton,Brentford,90,0,0,0,1,36,0,0,0,0,0,0,7.4,25.0,49.0,0.0,True,9,3.0,3.0,0.0
Ashley Young,DEF,Everton,Man Utd,72,0,0,4,0,-8,1,0,0,0,0,0,0.7,5.6,1.2,0.0,False,-1,3.0,3.0,0.0
Ashley Young,DEF,Everton,Wolves,90,1,0,0,1,42,0,0,0,0,0,0,7.7,66.0,2.1,9.0,True,15,3.0,3.0,0.0
Ashley Young,DEF,Everton,Arsenal,90,0,0,0,1,19,1,0,0,0,0,0,2.0,19.0,0.6,0.0,False,5,3.0,4.0,-1.0
Ashley Young,DEF,Everton,Chelsea,72,0,0,0,1,17,1,0,0,0,0,0,2.2,14.0,0.5,7.0,True,5,3.0,4.0,-1.0
Ashley Young,DEF,Everton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Ashley Young,DEF,Everton,Nott'm Forest,67,0,0,2,0,-2,0,0,0,0,0,0,1.9,3.2,15.7,0.0,True,1,3.0,4.0,-1.0
Ashley Young,DEF,Everton,Bournemouth,90,0,0,1,0,7,0,0,0,0,0,0,1.4,6.4,3.5,4.0,False,2,3.0,4.0,-1.0
Ashley Young,DEF,Everton,Aston Villa,82,0,0,1,0,9,0,0,0,0,0,0,2.6,10.6,15.7,0.0,True,2,3.0,3.0,0.0
Ashley Young,DEF,Everton,Spurs,20,0,0,2,0,-5,0,0,0,0,0,0,0.5,4.4,0.6,0.0,True,0,3.0,3.0,0.0
Ashley Young,DEF,Everton,Brighton,12,0,0,0,0,2,0,0,0,0,0,0,0.2,2.0,0.0,0.0,False,1,3.0,3.0,0.0
