name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Matty Cash,DEF,Aston Villa,West Ham,81,0,0,1,0,7,0,0,0,0,0,0,2.3,9.0,12.4,2.0,False,2,3.0,3.0,0.0
Matty Cash,DEF,Aston Villa,Arsenal,15,0,0,0,0,3,0,0,0,0,0,0,0.3,0.6,0.0,2.0,True,1,3.0,4.0,-1.0
Matty Cash,DEF,Aston Villa,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Matty Cash,DEF,Aston Villa,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Matty Cash,DEF,Aston Villa,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Matty Cash,DEF,Aston Villa,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Matty Cash,DEF,Aston Villa,Man Utd,90,0,0,0,1,22,0,0,0,0,0,0,1.5,7.4,3.0,5.0,True,6,3.0,3.0,0.0
Matty Cash,DEF,Aston Villa,Fulham,90,0,0,1,0,8,0,0,0,0,0,0,1.1,9.8,0.8,0.0,False,2,3.0,3.0,0.0
Matty Cash,DEF,Aston Villa,Bournemouth,90,0,0,1,0,11,1,0,0,0,0,0,3.2,16.2,16.0,0.0,True,1,3.0,4.0,-1.0
Matty Cash,DEF,Aston Villa,Spurs,59,0,0,1,0,1,0,0,0,0,0,0,1.5,14.4,0.8,0.0,False,1,3.0,3.0,0.0
Matty Cash,DEF,Aston Villa,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Matty Cash,DEF,Aston Villa,Crystal Palace,45,0,0,0,0,10,0,0,0,0,0,0,1.6,8.0,3.7,4.0,True,1,3.0,3.0,0.0
Matty Cash,DEF,Aston Villa,Chelsea,90,0,0,3,0,-7,1,0,0,0,0,0,1.5,13.0,0.2,2.0,False,0,3.0,4.0,-1.0
Matty Cash,DEF,Aston Villa,Brentford,90,1,0,1,0,27,1,0,0,0,0,0,7.6,57.0,1.8,17.0,True,7,3.0,3.0,0.0
Matty Cash,DEF,Aston Villa,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Matty Cash,DEF,Aston Villa,Nott'm Forest,90,0,0,2,0,-3,0,0,0,0,0,0,5.7,11.2,13.2,33.0,False,1,3.0,4.0,-1.0
Matty Cash,DEF,Aston Villa,Man City,90,0,0,1,0,-5,1,0,0,0,0,0,0.6,1.2,0.8,4.0,True,1,3.0,4.0,-1.0
Matty Cash,DEF,Aston Villa,Newcastle,68,0,0,2,0,-4,1,0,0,0,0,0,1.6,9.6,0.7,6.0,False,0,3.0,4.0,-1.0
Matty Cash,DEF,Aston Villa,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Matty Cash,DEF,Aston Villa,Leicester,90,0,0,1,0,20,0,0,0,0,0,0,7.0,28.0,28.5,13.0,True,3,3.0,3.0,0.0
Matty Cash,DEF,Aston Villa,Everton,90,0,0,0,1,22,0,0,0,0,0,0,1.7,10.8,1.8,4.0,False,6,3.0,3.0,0.0
Matty Cash,DEF,Aston Villa,Arsenal,90,0,1,2,0,11,0,0,0,0,0,0,3.9,22.4,14.3,2.0,False,4,3.0,4.0,-1.0
Matty Cash,DEF,Aston Villa,West Ham,90,0,0,1,0,10,0,0,0,0,0,0,4.1,14.8,22.0,4.0,True,2,3.0,3.0,0.0
Matty Cash,DEF,Aston Villa,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Matty Cash,DEF,Aston Villa,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Matty Cash,DEF,Aston Villa,Liverpool,23,0,0,0,0,8,0,0,0,0,0,0,3.1,9.2,11.0,11.0,True,1,3.0,5.0,-2.0
Matty Cash,DEF,Aston Villa,Chelsea,69,0,0,1,0,1,0,0,0,0,0,0,0.5,1.0,1.7,2.0,True,2,3.0,4.0,-1.0
