name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Maxence Lacroix,DEF,Crystal Palace,Leicester,90,0,0,2,0,5,0,0,0,0,0,0,3.0,16.0,11.8,2.0,True,1,3.0,3.0,0.0
Maxence Lacroix,DEF,Crystal Palace,Man Utd,90,0,0,0,1,18,1,0,0,0,0,0,1.5,10.8,0.2,4.0,True,5,3.0,3.0,0.0
Maxence Lacroix,DEF,Crystal Palace,Everton,90,0,1,2,0,21,0,0,0,0,0,0,6.1,40.2,11.7,9.0,False,4,3.0,3.0,0.0
Maxence Lacroix,DEF,Crystal Palace,Liverpool,90,0,0,1,0,10,0,0,0,0,0,0,3.5,22.0,13.3,0.0,True,2,3.0,5.0,-2.0
Maxence Lacroix,DEF,Crystal Palace,Nott'm Forest,90,0,0,1,0,10,0,0,0,0,0,0,2.1,20.2,0.4,0.0,False,2,3.0,4.0,-1.0
Maxence Lacroix,DEF,Crystal Palace,Spurs,90,0,0,0,1,21,1,0,0,0,0,0,1.7,12.6,0.4,4.0,True,5,3.0,3.0,0.0
Maxence Lacroix,DEF,Crystal Palace,Wolves,90,0,0,2,0,6,0,0,0,0,0,0,1.2,11.8,0.5,0.0,False,1,3.0,3.0,0.0
Maxence Lacroix,DEF,Crystal Palace,Fulham,90,0,0,2,0,-1,1,0,0,0,0,0,1.9,17.0,0.6,1.0,True,0,3.0,3.0,0.0
Maxence Lacroix,DEF,Crystal Palace,Aston Villa,90,0,0,2,0,4,0,0,0,0,0,0,2.7,23.0,0.0,4.0,False,1,3.0,3.0,0.0
Maxence Lacroix,DEF,Crystal Palace,Newcastle,90,0,0,1,0,11,0,0,0,0,0,0,2.7,14.0,1.4,12.0,True,2,3.0,4.0,-1.0
Maxence Lacroix,DEF,Crystal Palace,Ipswich,90,0,0,0,1,29,0,0,0,0,0,0,2.1,11.2,0.4,9.0,False,8,3.0,3.0,0.0
Maxence Lacroix,DEF,Crystal Palace,Man City,90,1,0,2,0,19,0,0,0,0,0,0,8.8,55.2,0.0,33.0,True,7,3.0,4.0,-1.0
Maxence Lacroix,DEF,Crystal Palace,Brighton,90,0,0,1,0,13,0,0,0,0,0,0,2.4,23.6,0.2,0.0,False,2,3.0,3.0,0.0
Maxence Lacroix,DEF,Crystal Palace,Arsenal,90,0,0,5,0,-5,0,0,0,0,0,0,2.7,15.6,0.8,11.0,True,0,3.0,4.0,-1.0
Maxence Lacroix,DEF,Crystal Palace,Bournemouth,90,0,0,0,1,27,0,0,0,0,0,0,2.4,21.4,0.4,2.0,False,6,3.0,4.0,-1.0
Maxence Lacroix,DEF,Crystal Palace,Southampton,90,0,0,1,0,10,0,0,0,0,0,0,1.8,13.8,0.4,4.0,True,2,3.0,2.0,1.0
Maxence Lacroix,DEF,Crystal Palace,Chelsea,90,0,0,1,0,12,0,0,0,0,0,0,2.3,16.2,0.1,7.0,True,2,3.0,4.0,-1.0
Maxence Lacroix,DEF,Crystal Palace,Leicester,90,0,0,0,1,33,0,0,0,0,0,0,2.4,23.6,0.6,0.0,False,8,3.0,3.0,0.0
Maxence Lacroix,DEF,Crystal Palace,West Ham,90,0,0,0,1,31,0,0,0,0,0,0,5.4,20.2,0.6,33.0,False,7,3.0,3.0,0.0
Maxence Lacroix,DEF,Crystal Palace,Brentford,90,0,0,2,0,1,1,0,0,0,0,0,2.8,14.2,0.5,13.0,True,0,3.0,3.0,0.0
