name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Nathaniel Clyne,DEF,Crystal Palace,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Nathaniel Clyne,DEF,Crystal Palace,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Nathaniel Clyne,DEF,Crystal Palace,Chelsea,90,0,0,1,0,5,0,0,0,0,0,0,1.5,14.8,0.2,0.0,False,2,3.0,4.0,-1.0
Nathaniel Clyne,DEF,Crystal Palace,Leicester,63,0,0,2,0,10,0,0,0,0,0,0,1.5,11.2,1.8,2.0,True,1,3.0,3.0,0.0
Nathaniel Clyne,DEF,Crystal Palace,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Nathaniel Clyne,DEF,Crystal Palace,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Nathaniel Clyne,DEF,Crystal Palace,Liverpool,73,0,0,0,1,22,0,0,0,0,0,0,0.7,5.4,0.9,1.0,True,6,3.0,5.0,-2.0
Nathaniel Clyne,DEF,Crystal Palace,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Nathaniel Clyne,DEF,Crystal Palace,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Nathaniel Clyne,DEF,Crystal Palace,Wolves,6,0,0,0,0,1,0,0,0,0,0,0,0.2,2.0,0.0,0.0,False,1,3.0,3.0,0.0
Nathaniel Clyne,DEF,Crystal Palace,Fulham,61,0,0,1,0,3,0,0,0,0,0,0,1.2,8.4,3.5,0.0,True,2,3.0,3.0,0.0
Nathaniel Clyne,DEF,Crystal Palace,Aston Villa,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.3,0.0,False,1,3.0,3.0,0.0
Nathaniel Clyne,DEF,Crystal Palace,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Nathaniel Clyne,DEF,Crystal Palace,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Nathaniel Clyne,DEF,Crystal Palace,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Nathaniel Clyne,DEF,Crystal Palace,Brighton,5,0,0,1,0,1,0,0,0,0,0,0,0.2,2.0,0.0,0.0,False,1,3.0,3.0,0.0
Nathaniel Clyne,DEF,Crystal Palace,Arsenal,79,0,0,4,0,-11,1,0,0,0,0,0,3.9,8.0,29.3,2.0,True,-1,3.0,4.0,-1.0
Nathaniel Clyne,DEF,Crystal Palace,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Nathaniel Clyne,DEF,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Nathaniel Clyne,DEF,Crystal Palace,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Nathaniel Clyne,DEF,Crystal Palace,Leicester,11,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.5,0.0,False,1,3.0,3.0,0.0
Nathaniel Clyne,DEF,Crystal Palace,West Ham,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.1,0.0,False,1,3.0,3.0,0.0
Nathaniel Clyne,DEF,Crystal Palace,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
