name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Sugawara Yukinari,DEF,Southampton,Newcastle,45,0,0,1,0,6,0,0,0,0,0,0,2.3,6.0,15.1,2.0,False,1,2.0,4.0,-2.0
Sugawara Yukinari,DEF,Southampton,Nott'm Forest,71,0,0,1,0,13,0,0,0,0,0,0,2.5,17.8,6.1,1.0,True,2,2.0,4.0,-2.0
Sugawara Yukinari,DEF,Southampton,Brentford,90,1,0,3,0,21,0,0,0,0,0,0,11.7,58.6,31.8,27.0,False,7,2.0,3.0,-1.0
Sugawara Yukinari,DEF,Southampton,Man Utd,90,0,0,3,0,13,0,0,0,0,0,0,5.0,17.8,27.6,5.0,True,1,2.0,3.0,-1.0
Sugawara Yukinari,DEF,Southampton,Ipswich,90,0,0,1,0,9,0,0,0,0,0,0,3.6,19.6,12.8,4.0,True,2,2.0,3.0,-1.0
Sugawara Yukinari,DEF,Southampton,Bournemouth,90,0,0,3,0,0,1,0,0,0,0,0,2.4,10.4,11.5,2.0,False,0,2.0,4.0,-2.0
Sugawara Yukinari,DEF,Southampton,Arsenal,89,0,0,3,0,-5,0,0,0,0,0,0,2.3,6.8,14.4,2.0,False,1,2.0,4.0,-2.0
Sugawara Yukinari,DEF,Southampton,Leicester,61,0,0,0,1,25,1,0,0,0,0,0,2.9,12.0,12.9,4.0,True,5,2.0,3.0,-1.0
Sugawara Yukinari,DEF,Southampton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Sugawara Yukinari,DEF,Southampton,Everton,11,0,1,0,0,13,0,0,0,0,0,0,3.0,17.6,10.3,2.0,True,4,2.0,3.0,-1.0
Sugawara Yukinari,DEF,Southampton,Wolves,30,0,0,0,0,1,0,0,0,0,0,0,0.5,0.0,1.7,4.0,False,1,2.0,3.0,-1.0
Sugawara Yukinari,DEF,Southampton,Liverpool,13,0,0,1,0,-2,0,0,0,0,0,0,0.5,2.0,0.6,2.0,True,1,2.0,5.0,-3.0
Sugawara Yukinari,DEF,Southampton,Brighton,65,0,0,1,0,10,0,0,0,0,0,0,4.6,16.4,29.6,0.0,False,2,2.0,3.0,-1.0
Sugawara Yukinari,DEF,Southampton,Chelsea,18,0,0,2,0,-6,0,0,0,0,0,0,0.2,1.0,1.3,0.0,True,0,2.0,4.0,-2.0
Sugawara Yukinari,DEF,Southampton,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Sugawara Yukinari,DEF,Southampton,Spurs,28,0,0,0,0,8,0,0,0,0,0,0,1.5,8.6,1.1,5.0,True,1,2.0,3.0,-1.0
Sugawara Yukinari,DEF,Southampton,Fulham,79,0,0,0,1,21,1,0,0,0,0,0,2.3,5.4,11.8,6.0,False,5,2.0,3.0,-1.0
Sugawara Yukinari,DEF,Southampton,West Ham,60,0,0,1,0,14,0,0,0,0,0,0,6.3,21.0,34.7,7.0,True,2,2.0,3.0,-1.0
Sugawara Yukinari,DEF,Southampton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Sugawara Yukinari,DEF,Southampton,Brentford,45,0,0,4,0,-15,0,0,0,0,0,0,0.0,0.0,0.4,0.0,True,-1,2.0,3.0,-1.0
Sugawara Yukinari,DEF,Southampton,Man Utd,90,0,0,3,0,-4,0,0,0,0,0,0,3.5,14.0,16.8,4.0,False,1,2.0,3.0,-1.0
Sugawara Yukinari,DEF,Southampton,Nott'm Forest,56,0,0,3,0,-7,0,0,0,0,0,0,1.4,5.2,8.8,0.0,False,0,2.0,4.0,-2.0
Sugawara Yukinari,DEF,Southampton,Newcastle,30,0,0,0,0,2,0,0,0,0,0,0,0.8,4.4,1.3,2.0,True,1,2.0,4.0,-2.0
