name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Wesley Fofana,DEF,Chelsea,Man City,90,0,0,2,0,3,0,0,0,0,0,0,1.9,11.6,1.3,6.0,True,1,4.0,4.0,0.0
Wesley Fofana,DEF,Chelsea,Wolves,90,0,0,2,0,2,0,0,0,0,0,0,0.5,4.2,0.3,0.0,False,1,4.0,3.0,1.0
Wesley Fofana,DEF,Chelsea,Crystal Palace,90,0,0,1,0,19,1,0,0,0,0,0,5.0,24.2,23.4,2.0,True,1,4.0,3.0,1.0
Wesley Fofana,DEF,Chelsea,Bournemouth,90,0,0,0,1,28,1,0,0,0,0,0,4.1,25.6,11.8,4.0,False,7,4.0,4.0,0.0
Wesley Fofana,DEF,Chelsea,West Ham,56,0,0,0,0,0,1,0,0,0,0,0,1.8,7.2,10.3,0.0,False,0,4.0,3.0,1.0
Wesley Fofana,DEF,Chelsea,Brighton,90,0,0,2,0,7,1,0,0,0,0,0,1.5,12.6,0.5,2.0,True,0,4.0,3.0,1.0
Wesley Fofana,DEF,Chelsea,Nott'm Forest,90,0,0,1,0,8,1,0,0,0,0,0,2.8,24.4,3.3,0.0,True,1,4.0,4.0,0.0
Wesley Fofana,DEF,Chelsea,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,5.0,-1.0
Wesley Fofana,DEF,Chelsea,Newcastle,90,0,0,1,0,10,1,0,0,0,0,0,2.6,23.2,0.9,2.0,True,1,4.0,4.0,0.0
Wesley Fofana,DEF,Chelsea,Man Utd,90,0,0,1,0,16,0,0,0,0,0,0,2.5,20.4,0.8,4.0,False,2,4.0,3.0,1.0
Wesley Fofana,DEF,Chelsea,Arsenal,90,0,0,1,0,14,0,0,0,0,0,0,4.1,20.2,12.1,9.0,True,2,4.0,4.0,0.0
Wesley Fofana,DEF,Chelsea,Leicester,90,0,0,1,0,13,0,0,0,0,0,0,1.6,11.6,4.4,0.0,False,2,4.0,3.0,1.0
Wesley Fofana,DEF,Chelsea,Aston Villa,59,0,0,0,0,13,0,0,0,0,0,0,0.3,2.0,0.9,0.0,True,1,4.0,3.0,1.0
Wesley Fofana,DEF,Chelsea,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Wesley Fofana,DEF,Chelsea,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Wesley Fofana,DEF,Chelsea,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Wesley Fofana,DEF,Chelsea,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Wesley Fofana,DEF,Chelsea,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Wesley Fofana,DEF,Chelsea,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Wesley Fofana,DEF,Chelsea,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Wesley Fofana,DEF,Chelsea,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Wesley Fofana,DEF,Chelsea,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Wesley Fofana,DEF,Chelsea,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Wesley Fofana,DEF,Chelsea,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Wesley Fofana,DEF,Chelsea,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Wesley Fofana,DEF,Chelsea,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
