name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
João Pedro Junqueira de Jesus,FWD,Brighton,Everton,81,0,0,0,1,9,0,0,0,0,0,0,2.3,5.0,10.8,7.0,False,2,3.0,3.0,0.0
João Pedro Junqueira de Jesus,FWD,Brighton,Man Utd,90,1,0,1,0,36,0,0,0,0,0,0,11.5,45.6,16.4,53.0,True,8,3.0,3.0,0.0
João Pedro Junqueira de Jesus,FWD,Brighton,Arsenal,90,1,0,1,0,39,1,0,0,0,0,0,10.2,46.8,22.4,33.0,False,8,3.0,4.0,-1.0
João Pedro Junqueira de Jesus,FWD,Brighton,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
João Pedro Junqueira de Jesus,FWD,Brighton,Nott'm Forest,19,0,0,0,0,3,0,0,0,0,0,0,0.6,1.4,1.0,4.0,True,1,3.0,4.0,-1.0
João Pedro Junqueira de Jesus,FWD,Brighton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
João Pedro Junqueira de Jesus,FWD,Brighton,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
João Pedro Junqueira de Jesus,FWD,Brighton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
João Pedro Junqueira de Jesus,FWD,Brighton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
João Pedro Junqueira de Jesus,FWD,Brighton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
João Pedro Junqueira de Jesus,FWD,Brighton,Man City,25,1,1,0,0,38,0,0,0,0,0,0,9.1,52.4,15.3,23.0,True,11,3.0,4.0,-1.0
João Pedro Junqueira de Jesus,FWD,Brighton,Bournemouth,63,1,1,0,1,50,0,0,0,0,0,0,12.1,55.6,26.8,39.0,False,12,3.0,4.0,-1.0
João Pedro Junqueira de Jesus,FWD,Brighton,Southampton,71,0,0,1,0,12,0,0,0,0,0,0,5.0,7.6,12.7,30.0,True,2,3.0,2.0,1.0
João Pedro Junqueira de Jesus,FWD,Brighton,Fulham,79,0,1,2,0,20,0,0,0,0,0,0,6.5,22.6,12.7,30.0,False,5,3.0,3.0,0.0
João Pedro Junqueira de Jesus,FWD,Brighton,Leicester,70,0,0,0,1,7,0,0,0,0,0,0,2.5,1.6,11.8,12.0,False,2,3.0,3.0,0.0
João Pedro Junqueira de Jesus,FWD,Brighton,Crystal Palace,90,0,0,3,0,13,0,0,0,0,0,0,6.4,6.6,39.1,18.0,True,2,3.0,3.0,0.0
João Pedro Junqueira de Jesus,FWD,Brighton,West Ham,90,0,0,1,0,4,0,0,0,0,0,0,5.4,6.6,27.3,20.0,False,2,3.0,3.0,0.0
João Pedro Junqueira de Jesus,FWD,Brighton,Brentford,90,0,0,0,1,11,0,0,0,0,0,0,4.2,7.0,14.7,20.0,True,2,3.0,3.0,0.0
João Pedro Junqueira de Jesus,FWD,Brighton,Aston Villa,90,0,2,2,0,28,0,0,0,0,0,0,9.4,35.0,34.9,24.0,False,9,3.0,3.0,0.0
João Pedro Junqueira de Jesus,FWD,Brighton,Arsenal,90,1,0,1,0,38,0,0,0,0,0,0,6.7,37.4,2.7,27.0,True,9,3.0,4.0,-1.0
João Pedro Junqueira de Jesus,FWD,Brighton,Ipswich,77,0,0,0,1,4,1,0,0,0,0,0,5.4,6.0,4.8,43.0,False,1,3.0,3.0,0.0
João Pedro Junqueira de Jesus,FWD,Brighton,Man Utd,90,0,0,1,0,5,0,0,0,0,0,0,1.6,3.0,3.4,10.0,False,2,3.0,3.0,0.0
João Pedro Junqueira de Jesus,FWD,Brighton,Everton,90,0,0,1,0,1,1,0,0,0,0,0,3.7,2.0,5.6,29.0,True,1,3.0,3.0,0.0
João Pedro Junqueira de Jesus,FWD,Brighton,Nott'm Forest,45,0,0,3,0,10,0,0,0,0,0,0,4.0,5.6,29.3,5.0,False,1,3.0,4.0,-1.0
João Pedro Junqueira de Jesus,FWD,Brighton,Chelsea,17,0,0,0,0,-8,0,0,0,0,0,0,0.5,0.0,3.8,7.0,True,1,3.0,4.0,-1.0
João Pedro Junqueira de Jesus,FWD,Brighton,Southampton,90,1,1,0,1,51,0,0,0,0,0,0,10.8,52.6,26.5,29.0,False,12,3.0,2.0,1.0
