name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Norberto Bercique Gomes Betuncal,FWD,Everton,Brighton,14,0,0,1,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,3.0,3.0,0.0
Norberto Bercique Gomes Betuncal,FWD,Everton,Spurs,18,0,0,1,0,0,0,0,0,0,0,0,0.1,1.0,0.0,0.0,False,1,3.0,3.0,0.0
Norberto Bercique Gomes Betuncal,FWD,Everton,Bournemouth,2,0,0,2,0,3,0,0,0,0,0,0,0.1,0.2,0.3,0.0,True,1,3.0,4.0,-1.0
Norberto Bercique Gomes Betuncal,FWD,Everton,Aston Villa,9,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3.0,3.0,0.0
Norberto Bercique Gomes Betuncal,FWD,Everton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Norberto Bercique Gomes Betuncal,FWD,Everton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Norberto Bercique Gomes Betuncal,FWD,Everton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Norberto Bercique Gomes Betuncal,FWD,Everton,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Norberto Bercique Gomes Betuncal,FWD,Everton,Fulham,9,1,0,0,0,30,0,0,0,0,0,0,9.2,35.0,0.0,57.0,True,7,3.0,3.0,0.0
Norberto Bercique Gomes Betuncal,FWD,Everton,Southampton,28,0,0,1,0,1,0,0,0,0,0,0,0.6,0.0,0.0,7.0,False,1,3.0,2.0,1.0
Norberto Bercique Gomes Betuncal,FWD,Everton,West Ham,15,0,0,0,0,5,0,0,0,0,0,0,0.7,5.0,0.0,2.0,False,1,3.0,3.0,0.0
Norberto Bercique Gomes Betuncal,FWD,Everton,Brentford,18,0,0,0,0,0,0,0,0,0,0,0,3.3,0.0,0.5,32.0,True,1,3.0,3.0,0.0
Norberto Bercique Gomes Betuncal,FWD,Everton,Man Utd,66,0,0,4,0,2,0,0,0,0,0,0,1.1,0.0,1.3,14.0,False,2,3.0,3.0,0.0
Norberto Bercique Gomes Betuncal,FWD,Everton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Norberto Bercique Gomes Betuncal,FWD,Everton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Norberto Bercique Gomes Betuncal,FWD,Everton,Chelsea,17,0,0,0,0,-1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Norberto Bercique Gomes Betuncal,FWD,Everton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Norberto Bercique Gomes Betuncal,FWD,Everton,Nott'm Forest,15,0,0,0,0,8,0,0,0,0,0,0,2.4,5.0,0.3,19.0,True,1,3.0,4.0,-1.0
Norberto Bercique Gomes Betuncal,FWD,Everton,Bournemouth,9,0,0,0,0,5,0,0,0,0,0,0,0.2,2.0,0.0,0.0,False,1,3.0,4.0,-1.0
Norberto Bercique Gomes Betuncal,FWD,Everton,Aston Villa,7,0,0,0,0,1,0,0,0,0,0,0,0.1,0.0,0.0,2.0,True,1,3.0,3.0,0.0
Norberto Bercique Gomes Betuncal,FWD,Everton,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Norberto Bercique Gomes Betuncal,FWD,Everton,Brighton,77,0,0,0,1,1,0,0,0,0,0,0,1.2,1.2,0.8,10.0,False,2,3.0,3.0,0.0
