name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Bernd Leno,GK,Fulham,Man Utd,90,0,0,1,0,12,0,0,0,4,0,0,3.3,33.0,0.0,0.0,False,3,3.0,3.0,0.0
Bernd Leno,GK,Fulham,Leicester,90,0,0,1,0,14,0,0,0,3,0,0,2.1,21.2,0.0,0.0,True,3,3.0,3.0,0.0
Bernd Leno,GK,Fulham,Ipswich,90,0,0,1,0,14,0,0,0,3,0,0,2.8,27.8,0.0,0.0,False,3,3.0,3.0,0.0
Bernd Leno,GK,Fulham,West Ham,90,0,0,1,0,12,0,0,0,2,0,0,1.9,19.0,0.0,0.0,True,2,3.0,3.0,0.0
Bernd Leno,GK,Fulham,Newcastle,90,0,0,1,0,8,1,0,0,4,0,0,2.6,26.2,0.0,0.0,True,2,3.0,4.0,-1.0
Bernd Leno,GK,Fulham,Nott'm Forest,90,0,0,0,1,23,1,0,0,1,0,0,0.8,8.0,0.0,0.0,False,5,3.0,4.0,-1.0
Bernd Leno,GK,Fulham,Man City,90,0,0,3,0,3,0,0,0,4,0,0,2.9,28.8,0.0,0.0,False,2,3.0,4.0,-1.0
Bernd Leno,GK,Fulham,Aston Villa,90,0,1,3,0,14,0,0,0,4,0,0,5.9,49.2,10.0,0.0,True,5,3.0,3.0,0.0
Bernd Leno,GK,Fulham,Everton,90,0,0,1,0,22,0,0,0,4,0,0,3.8,38.2,0.0,0.0,False,3,3.0,3.0,0.0
Bernd Leno,GK,Fulham,Brentford,90,0,0,1,0,11,0,0,0,1,0,0,1.3,13.0,0.0,0.0,True,2,3.0,3.0,0.0
Bernd Leno,GK,Fulham,Crystal Palace,90,0,0,0,1,34,0,0,0,4,0,0,3.1,31.4,0.0,0.0,False,9,3.0,3.0,0.0
Bernd Leno,GK,Fulham,Wolves,90,0,0,4,0,-4,0,0,0,1,0,0,0.7,7.2,0.0,0.0,True,0,3.0,3.0,0.0
Bernd Leno,GK,Fulham,Spurs,90,0,0,1,0,10,0,0,0,2,0,0,2.0,20.4,0.0,0.0,False,2,3.0,3.0,0.0
Bernd Leno,GK,Fulham,Brighton,90,0,0,1,0,7,0,0,0,2,0,0,2.1,21.0,0.0,0.0,True,2,3.0,3.0,0.0
Bernd Leno,GK,Fulham,Arsenal,90,0,0,1,0,12,0,0,0,3,0,0,2.4,24.2,0.0,0.0,True,3,3.0,4.0,-1.0
Bernd Leno,GK,Fulham,Liverpool,90,0,0,2,0,6,0,0,0,2,0,0,2.5,25.2,0.0,0.0,False,1,3.0,5.0,-2.0
Bernd Leno,GK,Fulham,Southampton,90,0,0,0,1,22,0,0,0,1,0,0,1.2,11.6,0.0,0.0,True,6,3.0,2.0,1.0
Bernd Leno,GK,Fulham,Chelsea,90,0,0,1,0,23,0,0,0,7,0,0,5.2,51.8,0.0,0.0,False,4,3.0,4.0,-1.0
Bernd Leno,GK,Fulham,Bournemouth,90,0,0,2,0,20,0,0,0,6,0,0,5.0,50.0,0.0,0.0,True,3,3.0,4.0,-1.0
Bernd Leno,GK,Fulham,Ipswich,90,0,0,2,0,7,0,0,0,1,0,0,0.9,9.0,0.0,0.0,True,1,3.0,3.0,0.0
Bernd Leno,GK,Fulham,West Ham,90,0,0,3,0,-8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3.0,3.0,0.0
Bernd Leno,GK,Fulham,Leicester,90,0,0,0,1,30,0,0,0,5,0,0,3.5,35.0,0.0,0.0,False,7,3.0,3.0,0.0
Bernd Leno,GK,Fulham,Man Utd,90,0,0,1,0,4,0,0,0,0,0,0,0.3,3.0,0.0,0.0,True,2,3.0,3.0,0.0
Bernd Leno,GK,Fulham,Newcastle,90,0,0,1,0,12,1,0,0,3,0,0,3.8,27.8,10.0,0.0,False,2,3.0,4.0,-1.0
Bernd Leno,GK,Fulham,Nott'm Forest,90,0,0,1,0,11,0,0,0,1,0,0,1.4,13.8,0.0,0.0,True,2,3.0,4.0,-1.0
Bernd Leno,GK,Fulham,Crystal Palace,90,0,0,2,0,11,0,0,0,4,0,0,2.9,29.2,0.0,0.0,True,2,3.0,3.0,0.0
