name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
David Raya Martin,GK,Arsenal,Wolves,90,0,0,0,1,28,0,0,0,3,0,0,2.8,28.0,0.0,0.0,True,8,4.0,3.0,1.0
David Raya Martin,GK,Arsenal,Aston Villa,90,0,0,0,1,27,0,0,0,3,0,0,2.8,28.2,0.0,0.0,False,10,4.0,3.0,1.0
David Raya Martin,GK,Arsenal,Brighton,90,0,0,1,0,8,1,0,0,3,0,0,3.4,33.6,0.0,0.0,True,2,4.0,3.0,1.0
David Raya Martin,GK,Arsenal,Spurs,90,0,0,0,1,33,0,0,0,5,0,0,4.1,41.0,0.0,0.0,False,9,4.0,3.0,1.0
David Raya Martin,GK,Arsenal,Man City,90,0,0,2,0,21,0,0,0,9,0,0,6.3,63.0,0.0,0.0,False,4,4.0,4.0,0.0
David Raya Martin,GK,Arsenal,Leicester,90,0,0,2,0,1,0,0,0,1,0,0,1.1,10.8,0.0,0.0,True,1,4.0,3.0,1.0
David Raya Martin,GK,Arsenal,Southampton,90,0,0,1,0,6,0,0,0,1,0,0,0.8,8.0,0.0,0.0,True,2,4.0,2.0,2.0
David Raya Martin,GK,Arsenal,Bournemouth,90,0,0,2,0,0,0,0,0,2,0,0,1.2,11.8,0.0,0.0,False,1,4.0,4.0,0.0
David Raya Martin,GK,Arsenal,Liverpool,90,0,0,2,0,2,1,0,0,2,0,0,2.0,19.6,0.0,0.0,True,0,4.0,5.0,-1.0
David Raya Martin,GK,Arsenal,Newcastle,90,0,0,1,0,11,0,0,0,3,0,0,2.3,22.8,0.0,0.0,False,3,4.0,4.0,0.0
David Raya Martin,GK,Arsenal,Chelsea,90,0,0,1,0,17,0,0,0,2,0,0,2.0,20.2,0.0,0.0,False,2,4.0,4.0,0.0
David Raya Martin,GK,Arsenal,Nott'm Forest,90,0,0,0,1,22,0,0,0,0,0,0,0.5,5.2,0.0,0.0,True,6,4.0,4.0,0.0
David Raya Martin,GK,Arsenal,West Ham,90,0,0,2,0,6,0,0,0,3,0,0,2.4,23.8,0.0,0.0,False,2,4.0,3.0,1.0
David Raya Martin,GK,Arsenal,Man Utd,90,0,0,0,1,25,0,0,0,2,0,0,2.0,20.0,0.0,0.0,True,6,4.0,3.0,1.0
David Raya Martin,GK,Arsenal,Fulham,90,0,0,1,0,5,0,0,0,1,0,0,1.1,11.2,0.0,0.0,False,2,4.0,3.0,1.0
David Raya Martin,GK,Arsenal,Everton,90,0,0,0,1,21,0,0,0,0,0,0,0.4,4.2,0.0,0.0,True,6,4.0,3.0,1.0
David Raya Martin,GK,Arsenal,Crystal Palace,90,0,0,1,0,13,0,0,0,5,0,0,3.6,36.2,0.0,0.0,False,3,4.0,3.0,1.0
David Raya Martin,GK,Arsenal,Ipswich,90,0,0,0,1,19,0,0,0,0,0,0,0.2,2.4,0.0,0.0,True,6,4.0,3.0,1.0
David Raya Martin,GK,Arsenal,Brentford,90,0,0,1,0,7,0,0,0,1,0,0,1.1,11.0,0.0,0.0,False,2,4.0,3.0,1.0
David Raya Martin,GK,Arsenal,Brighton,90,0,0,1,0,16,0,0,0,3,0,0,2.5,24.6,0.0,0.0,False,3,4.0,3.0,1.0
David Raya Martin,GK,Arsenal,Spurs,90,0,0,1,0,8,0,0,0,1,0,0,1.2,12.2,0.0,0.0,True,2,4.0,3.0,1.0
David Raya Martin,GK,Arsenal,Aston Villa,90,0,0,2,0,4,0,0,0,2,0,0,1.5,15.0,0.0,0.0,True,1,4.0,3.0,1.0
David Raya Martin,GK,Arsenal,Wolves,90,0,0,0,1,28,0,0,0,4,0,0,2.4,24.0,0.0,0.0,False,9,4.0,3.0,1.0
David Raya Martin,GK,Arsenal,Man City,90,0,0,1,0,11,0,0,0,3,0,0,2.6,25.8,0.0,0.0,True,3,4.0,4.0,0.0
David Raya Martin,GK,Arsenal,Leicester,90,0,0,0,1,30,0,0,0,2,0,0,1.6,16.2,0.0,0.0,False,7,4.0,3.0,1.0
David Raya Martin,GK,Arsenal,West Ham,90,0,0,1,0,13,0,0,0,1,0,0,1.7,16.6,0.3,0.0,True,2,4.0,3.0,1.0
