name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
José Malheiro de Sá,GK,Wolves,Arsenal,90,0,0,2,0,10,0,0,0,4,0,0,3.1,31.2,0.0,0.0,False,2,3.0,4.0,-1.0
José Malheiro de Sá,GK,Wolves,Chelsea,90,0,0,6,0,-11,0,0,0,2,0,0,3.2,21.8,10.0,0.0,True,-1,3.0,4.0,-1.0
José Malheiro de Sá,GK,Wolves,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
José Malheiro de Sá,GK,Wolves,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
José Malheiro de Sá,GK,Wolves,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
José Malheiro de Sá,GK,Wolves,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Man City,90,0,0,2,0,13,0,0,0,5,0,0,3.0,29.6,0.0,0.0,True,2,3.0,4.0,-1.0
José Malheiro de Sá,GK,Wolves,Brighton,90,0,0,2,0,6,0,0,0,4,0,0,1.9,19.2,0.0,0.0,False,2,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Crystal Palace,90,0,0,2,0,11,0,0,0,4,0,0,3.6,36.0,0.0,0.0,True,2,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Southampton,90,0,0,0,1,20,0,0,0,0,0,0,0.1,1.4,0.0,0.0,True,6,3.0,2.0,1.0
José Malheiro de Sá,GK,Wolves,Fulham,90,0,0,1,0,9,0,0,0,2,0,0,1.2,12.2,0.0,0.0,False,2,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Bournemouth,90,0,0,4,0,-10,1,0,0,4,0,0,1.9,18.6,0.0,0.0,True,0,3.0,4.0,-1.0
José Malheiro de Sá,GK,Wolves,Everton,90,0,0,4,0,-2,0,0,0,2,0,0,1.9,19.4,0.0,0.0,False,0,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Leicester,90,0,0,0,1,35,0,0,0,4,0,0,3.3,33.4,0.0,0.0,False,7,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Man Utd,90,0,0,0,1,30,0,0,0,4,0,0,3.2,32.0,0.0,0.0,True,8,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Spurs,90,0,0,2,0,12,0,0,0,1,0,1,3.3,32.8,0.0,0.0,False,6,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Nott'm Forest,90,0,0,3,0,1,0,0,0,0,0,0,0.8,7.6,0.0,0.0,True,1,3.0,4.0,-1.0
José Malheiro de Sá,GK,Wolves,Newcastle,90,0,0,3,0,2,0,0,0,2,0,0,1.6,16.4,0.0,0.0,False,1,3.0,4.0,-1.0
José Malheiro de Sá,GK,Wolves,Chelsea,90,0,0,3,0,2,0,0,0,3,0,0,2.3,22.6,0.0,0.0,False,2,3.0,4.0,-1.0
José Malheiro de Sá,GK,Wolves,Arsenal,90,0,0,1,0,9,0,0,0,2,0,0,3.0,20.4,10.0,0.0,True,2,3.0,4.0,-1.0
José Malheiro de Sá,GK,Wolves,Aston Villa,90,0,0,0,1,27,0,0,0,3,0,0,1.7,17.4,0.0,0.0,True,7,3.0,3.0,0.0
José Malheiro de Sá,GK,Wolves,Liverpool,90,0,0,2,0,-2,0,0,0,1,0,0,0.6,5.6,0.0,0.0,False,1,3.0,5.0,-2.0
José Malheiro de Sá,GK,Wolves,Bournemouth,90,0,0,0,1,28,0,0,0,3,0,0,2.9,29.0,0.0,0.0,False,9,3.0,4.0,-1.0
