name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Mads Hermansen,GK,Leicester,Spurs,90,0,0,1,0,15,0,0,0,5,0,0,4.2,41.6,0.0,0.0,True,3,3.0,3.0,0.0
Mads Hermansen,GK,Leicester,Fulham,90,0,0,2,0,11,0,0,0,4,0,0,3.7,37.0,0.0,0.0,False,2,3.0,3.0,0.0
Mads Hermansen,GK,Leicester,Aston Villa,90,0,0,2,0,10,0,0,0,3,0,0,2.8,28.0,0.1,0.0,True,2,3.0,3.0,0.0
Mads Hermansen,GK,Leicester,Crystal Palace,90,0,0,2,0,7,0,0,0,2,0,0,2.3,22.6,0.0,0.0,False,1,3.0,3.0,0.0
Mads Hermansen,GK,Leicester,Everton,90,0,0,1,0,12,0,0,0,4,0,0,3.6,36.0,0.1,0.0,True,3,3.0,3.0,0.0
Mads Hermansen,GK,Leicester,Arsenal,90,0,0,4,0,19,0,0,0,13,0,0,9.0,89.6,0.0,0.0,False,4,3.0,4.0,-1.0
Mads Hermansen,GK,Leicester,Bournemouth,90,0,0,0,1,24,0,0,0,2,0,0,1.7,17.2,0.0,0.0,True,6,3.0,4.0,-1.0
Mads Hermansen,GK,Leicester,Southampton,90,0,0,2,0,13,0,0,0,6,0,0,4.7,47.4,0.0,0.0,False,3,3.0,2.0,1.0
Mads Hermansen,GK,Leicester,Nott'm Forest,90,0,0,3,0,5,0,0,0,2,0,0,1.9,18.6,0.0,0.0,True,1,3.0,4.0,-1.0
Mads Hermansen,GK,Leicester,Ipswich,90,0,0,1,0,6,0,0,0,1,0,0,0.8,7.6,0.0,0.0,False,2,3.0,3.0,0.0
Mads Hermansen,GK,Leicester,Man Utd,90,0,0,3,0,-2,0,0,0,1,0,0,1.1,10.6,0.0,0.0,False,1,3.0,3.0,0.0
Mads Hermansen,GK,Leicester,Chelsea,90,0,0,2,0,8,0,0,0,4,0,0,3.5,35.4,0.0,0.0,True,2,3.0,4.0,-1.0
Mads Hermansen,GK,Leicester,Brentford,90,0,0,4,0,-2,0,0,0,2,0,0,1.5,15.4,0.0,0.0,False,0,3.0,3.0,0.0
Mads Hermansen,GK,Leicester,West Ham,90,0,0,1,0,19,0,0,0,7,0,0,5.3,53.4,0.0,0.0,True,4,3.0,3.0,0.0
Mads Hermansen,GK,Leicester,Brighton,90,0,0,2,0,10,0,0,0,5,0,0,3.0,29.8,0.0,0.0,True,2,3.0,3.0,0.0
Mads Hermansen,GK,Leicester,Newcastle,45,0,0,1,0,8,0,0,0,4,0,0,2.4,24.2,0.0,0.0,False,2,3.0,4.0,-1.0
Mads Hermansen,GK,Leicester,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Mads Hermansen,GK,Leicester,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Mads Hermansen,GK,Leicester,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Mads Hermansen,GK,Leicester,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Mads Hermansen,GK,Leicester,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Mads Hermansen,GK,Leicester,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Mads Hermansen,GK,Leicester,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
