name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Archie Gray,MID,Spurs,Leicester,12,0,0,0,0,1,0,0,0,0,0,0,0.8,6.6,1.5,0.0,False,1,3.0,3.0,0.0
Archie Gray,MID,Spurs,Everton,18,0,0,0,0,4,0,0,0,0,0,0,0.2,0.6,1.1,0.0,True,1,3.0,3.0,0.0
Archie Gray,MID,Spurs,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Archie Gray,MID,Spurs,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Archie Gray,MID,Spurs,Brentford,2,0,0,0,0,2,0,0,0,0,0,0,0.0,0.2,0.0,0.0,True,1,3.0,3.0,0.0
Archie Gray,MID,Spurs,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Archie Gray,MID,Spurs,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Archie Gray,MID,Spurs,West Ham,2,0,0,0,0,3,0,0,0,0,0,0,0.2,1.6,0.3,0.0,True,1,3.0,3.0,0.0
Archie Gray,MID,Spurs,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Archie Gray,MID,Spurs,Aston Villa,8,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.4,0.0,True,1,3.0,3.0,0.0
Archie Gray,MID,Spurs,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Archie Gray,MID,Spurs,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Archie Gray,MID,Spurs,Fulham,10,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.6,0.0,True,1,3.0,3.0,0.0
Archie Gray,MID,Spurs,Bournemouth,90,0,0,1,0,17,0,0,0,0,0,0,3.1,21.0,2.9,7.0,False,2,3.0,4.0,-1.0
Archie Gray,MID,Spurs,Chelsea,11,0,0,1,0,3,0,0,0,0,0,0,0.2,1.8,0.1,0.0,True,1,3.0,4.0,-1.0
Archie Gray,MID,Spurs,Southampton,90,0,0,0,1,15,0,0,0,0,0,0,2.5,23.6,1.8,0.0,False,3,3.0,2.0,1.0
Archie Gray,MID,Spurs,Liverpool,90,0,0,6,0,19,0,0,0,0,0,0,1.9,18.6,0.6,0.0,True,2,3.0,5.0,-2.0
Archie Gray,MID,Spurs,Nott'm Forest,90,0,0,1,0,13,0,0,0,0,0,0,1.2,10.6,1.7,0.0,False,2,3.0,4.0,-1.0
Archie Gray,MID,Spurs,Wolves,90,0,0,2,0,17,0,0,0,0,0,0,1.7,15.2,1.3,0.0,True,2,3.0,3.0,0.0
Archie Gray,MID,Spurs,Newcastle,90,0,0,2,0,12,0,0,0,0,0,0,1.6,15.4,0.4,0.0,True,2,3.0,4.0,-1.0
Archie Gray,MID,Spurs,Arsenal,90,0,0,2,0,12,0,0,0,0,0,0,1.7,16.6,0.3,0.0,False,2,3.0,4.0,-1.0
Archie Gray,MID,Spurs,Everton,90,0,0,3,0,7,0,0,1,0,0,0,1.2,10.6,0.9,0.0,False,0,3.0,3.0,0.0
Archie Gray,MID,Spurs,Leicester,90,0,0,2,0,10,0,0,0,0,0,0,1.2,4.0,3.8,4.0,True,2,3.0,3.0,0.0
Archie Gray,MID,Spurs,Brentford,90,0,0,0,1,15,0,0,0,0,0,0,1.9,18.4,0.8,0.0,False,3,3.0,3.0,0.0
Archie Gray,MID,Spurs,Man Utd,12,0,0,0,0,3,0,0,0,0,0,0,0.2,2.0,0.0,0.0,True,1,3.0,3.0,0.0
Archie Gray,MID,Spurs,Ipswich,90,0,0,1,0,16,0,0,0,0,0,0,2.4,12.6,10.9,0.0,False,2,3.0,3.0,0.0
