name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Callum Hudson-Odoi,MID,Nott'm Forest,Bournemouth,71,0,0,0,1,13,0,0,0,0,0,0,8.2,12.2,41.7,28.0,True,3,4.0,4.0,0.0
Callum Hudson-Odoi,MID,Nott'm Forest,Southampton,90,0,0,0,1,24,0,0,0,0,0,0,9.6,21.0,53.9,21.0,False,3,4.0,2.0,2.0
Callum Hudson-Odoi,MID,Nott'm Forest,Wolves,79,0,0,1,0,9,0,0,0,0,0,0,2.0,3.6,2.8,14.0,True,2,4.0,3.0,1.0
Callum Hudson-Odoi,MID,Nott'm Forest,Liverpool,36,1,0,0,0,27,0,0,0,0,0,0,4.8,35.0,2.0,11.0,False,7,4.0,5.0,-1.0
Callum Hudson-Odoi,MID,Nott'm Forest,Brighton,90,0,1,2,0,18,1,0,0,0,0,0,3.5,8.4,11.6,15.0,False,4,4.0,3.0,1.0
Callum Hudson-Odoi,MID,Nott'm Forest,Fulham,33,0,0,0,0,3,0,0,0,0,0,0,2.6,2.6,15.8,8.0,True,1,4.0,3.0,1.0
Callum Hudson-Odoi,MID,Nott'm Forest,Chelsea,81,0,0,1,0,14,0,0,0,0,0,0,5.9,12.0,41.4,6.0,False,2,4.0,4.0,0.0
Callum Hudson-Odoi,MID,Nott'm Forest,Crystal Palace,83,0,0,0,1,16,0,0,0,0,0,0,4.1,6.0,23.8,11.0,True,3,4.0,3.0,1.0
Callum Hudson-Odoi,MID,Nott'm Forest,Leicester,75,0,0,1,0,14,0,0,0,0,0,0,4.9,16.8,15.1,17.0,False,2,4.0,3.0,1.0
Callum Hudson-Odoi,MID,Nott'm Forest,West Ham,88,1,0,0,1,39,0,0,0,0,0,0,13.2,44.4,49.7,38.0,True,10,4.0,3.0,1.0
Callum Hudson-Odoi,MID,Nott'm Forest,Newcastle,58,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,2.6,0.0,True,1,4.0,4.0,0.0
Callum Hudson-Odoi,MID,Nott'm Forest,Arsenal,90,0,0,3,0,8,0,0,0,0,0,0,2.6,8.0,8.3,10.0,False,2,4.0,4.0,0.0
Callum Hudson-Odoi,MID,Nott'm Forest,Ipswich,87,0,0,0,1,7,0,0,0,0,0,0,5.4,7.6,25.3,21.0,True,3,4.0,3.0,1.0
Callum Hudson-Odoi,MID,Nott'm Forest,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Callum Hudson-Odoi,MID,Nott'm Forest,Man Utd,89,0,1,2,0,16,0,0,0,0,0,0,4.9,24.2,24.8,0.0,False,5,4.0,3.0,1.0
Callum Hudson-Odoi,MID,Nott'm Forest,Aston Villa,90,0,0,1,0,13,0,0,0,0,0,0,6.1,8.8,43.2,9.0,True,2,4.0,3.0,1.0
Callum Hudson-Odoi,MID,Nott'm Forest,Brentford,90,0,0,0,1,16,0,0,0,0,0,0,7.1,14.6,49.6,7.0,False,3,4.0,3.0,1.0
Callum Hudson-Odoi,MID,Nott'm Forest,Spurs,86,0,0,0,1,10,0,0,0,0,0,0,4.1,7.8,23.5,10.0,True,3,4.0,3.0,1.0
Callum Hudson-Odoi,MID,Nott'm Forest,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Callum Hudson-Odoi,MID,Nott'm Forest,Wolves,90,0,1,0,1,27,0,0,0,0,0,0,6.0,21.4,28.6,10.0,False,6,4.0,3.0,1.0
Callum Hudson-Odoi,MID,Nott'm Forest,Liverpool,82,0,0,1,0,10,0,0,0,0,0,0,3.2,7.4,3.4,21.0,True,2,4.0,5.0,-1.0
Callum Hudson-Odoi,MID,Nott'm Forest,Southampton,37,1,0,0,0,27,0,0,0,0,0,0,6.5,38.6,17.4,9.0,True,6,4.0,2.0,2.0
Callum Hudson-Odoi,MID,Nott'm Forest,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Callum Hudson-Odoi,MID,Nott'm Forest,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Callum Hudson-Odoi,MID,Nott'm Forest,Fulham,22,0,0,0,0,7,0,0,0,0,0,0,3.7,7.8,12.3,17.0,False,1,4.0,3.0,1.0
Callum Hudson-Odoi,MID,Nott'm Forest,Newcastle,90,1,0,4,0,31,0,0,0,0,0,0,7.1,42.0,12.8,16.0,False,8,4.0,4.0,0.0
