name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Dejan Kulusevski,MID,Spurs,Leicester,11,0,0,0,0,0,0,0,0,0,0,0,2.6,2.4,1.3,22.0,False,1,3.0,3.0,0.0
Dejan Kulusevski,MID,Spurs,Everton,66,0,1,0,1,21,0,0,0,0,0,0,8.2,25.6,48.8,8.0,True,6,3.0,3.0,0.0
Dejan Kulusevski,MID,Spurs,Newcastle,90,0,0,2,0,8,0,0,0,0,0,0,8.1,12.8,43.3,25.0,False,2,3.0,4.0,-1.0
Dejan Kulusevski,MID,Spurs,Arsenal,90,0,0,1,0,2,1,0,0,0,0,0,5.4,10.6,12.6,31.0,True,1,3.0,4.0,-1.0
Dejan Kulusevski,MID,Spurs,Brentford,90,0,0,1,0,9,0,0,0,0,0,0,9.9,13.0,38.2,48.0,True,2,3.0,3.0,0.0
Dejan Kulusevski,MID,Spurs,Man Utd,90,1,0,0,1,47,0,0,0,0,0,0,20.8,62.6,102.8,43.0,False,11,3.0,3.0,0.0
Dejan Kulusevski,MID,Spurs,Brighton,90,0,0,3,0,3,1,0,0,0,0,0,4.2,9.8,15.5,17.0,False,1,3.0,3.0,0.0
Dejan Kulusevski,MID,Spurs,West Ham,90,1,0,1,0,35,0,0,0,0,0,0,10.2,42.6,24.8,35.0,True,9,3.0,3.0,0.0
Dejan Kulusevski,MID,Spurs,Crystal Palace,61,0,0,1,0,1,1,0,0,0,0,0,5.0,2.0,12.7,35.0,False,1,3.0,3.0,0.0
Dejan Kulusevski,MID,Spurs,Aston Villa,90,0,1,1,0,18,0,0,0,0,0,0,7.7,34.4,36.4,6.0,True,5,3.0,3.0,0.0
Dejan Kulusevski,MID,Spurs,Ipswich,90,0,0,2,0,12,0,0,0,0,0,0,6.0,12.2,40.0,8.0,True,2,3.0,3.0,0.0
Dejan Kulusevski,MID,Spurs,Man City,90,0,1,0,1,30,0,0,0,0,0,0,9.4,33.0,36.1,25.0,False,6,3.0,4.0,-1.0
Dejan Kulusevski,MID,Spurs,Fulham,22,0,0,0,0,3,0,0,0,0,0,0,0.2,1.6,0.8,0.0,True,1,3.0,3.0,0.0
Dejan Kulusevski,MID,Spurs,Bournemouth,90,0,0,1,0,9,0,0,0,0,0,0,8.6,15.6,26.8,44.0,False,2,3.0,4.0,-1.0
Dejan Kulusevski,MID,Spurs,Chelsea,78,1,0,3,0,23,0,0,0,0,0,0,5.9,34.4,1.3,23.0,True,7,3.0,4.0,-1.0
Dejan Kulusevski,MID,Spurs,Southampton,90,1,0,0,1,35,0,0,0,0,0,0,12.3,41.8,30.5,51.0,False,8,3.0,2.0,1.0
Dejan Kulusevski,MID,Spurs,Liverpool,90,1,0,6,0,28,0,0,0,0,0,0,9.7,39.2,14.1,44.0,True,7,3.0,5.0,-2.0
Dejan Kulusevski,MID,Spurs,Nott'm Forest,90,0,0,1,0,3,0,0,0,0,0,0,4.7,4.6,28.9,13.0,False,2,3.0,4.0,-1.0
Dejan Kulusevski,MID,Spurs,Wolves,90,0,1,2,0,19,0,0,0,0,0,0,9.1,27.8,47.4,16.0,True,5,3.0,3.0,0.0
Dejan Kulusevski,MID,Spurs,Newcastle,90,0,0,2,0,8,0,0,0,0,0,0,9.2,22.4,49.0,21.0,True,2,3.0,4.0,-1.0
Dejan Kulusevski,MID,Spurs,Arsenal,90,0,0,2,0,9,0,0,0,0,0,0,11.2,20.4,50.8,41.0,False,2,3.0,4.0,-1.0
Dejan Kulusevski,MID,Spurs,Everton,90,1,0,3,0,36,0,0,0,0,0,0,12.3,46.2,57.9,19.0,False,9,3.0,3.0,0.0
Dejan Kulusevski,MID,Spurs,Leicester,90,0,0,2,0,8,0,0,0,0,0,0,6.9,13.6,32.5,23.0,True,2,3.0,3.0,0.0
