name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Harry Winks,MID,Leicester,Spurs,90,0,0,1,0,17,0,0,0,0,0,0,3.5,18.6,15.9,0.0,True,2,3.0,3.0,0.0
Harry Winks,MID,Leicester,Fulham,90,0,0,2,0,14,0,0,0,0,0,0,2.8,8.4,19.7,0.0,False,2,3.0,3.0,0.0
Harry Winks,MID,Leicester,Aston Villa,90,0,0,2,0,12,1,0,0,0,0,0,1.9,14.2,4.8,0.0,True,1,3.0,3.0,0.0
Harry Winks,MID,Leicester,Crystal Palace,90,0,0,2,0,13,0,0,0,0,0,0,1.3,9.6,3.0,0.0,False,2,3.0,3.0,0.0
Harry Winks,MID,Leicester,Everton,90,0,0,1,0,16,0,0,0,0,0,0,6.9,19.2,48.4,1.0,True,2,3.0,3.0,0.0
Harry Winks,MID,Leicester,Arsenal,90,0,0,4,0,7,0,0,0,0,0,0,2.5,12.8,12.1,0.0,False,2,3.0,4.0,-1.0
Harry Winks,MID,Leicester,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Harry Winks,MID,Leicester,Southampton,45,0,1,0,0,19,1,0,0,0,0,0,7.1,26.2,44.8,0.0,False,3,3.0,2.0,1.0
Harry Winks,MID,Leicester,Nott'm Forest,90,0,1,3,0,23,1,0,0,0,0,0,7.3,29.4,40.6,3.0,True,4,3.0,4.0,-1.0
Harry Winks,MID,Leicester,Ipswich,90,0,0,1,0,17,0,0,0,0,0,0,3.4,8.0,16.3,10.0,False,2,3.0,3.0,0.0
Harry Winks,MID,Leicester,Man Utd,90,0,0,3,0,21,0,0,0,0,0,0,3.3,21.4,4.1,7.0,False,2,3.0,3.0,0.0
Harry Winks,MID,Leicester,Chelsea,10,0,0,0,0,1,0,0,0,0,0,0,0.0,0.2,0.0,0.0,True,1,3.0,4.0,-1.0
Harry Winks,MID,Leicester,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Harry Winks,MID,Leicester,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Harry Winks,MID,Leicester,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Harry Winks,MID,Leicester,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Harry Winks,MID,Leicester,Wolves,45,0,0,0,0,13,0,0,0,0,0,0,3.2,11.4,20.5,0.0,True,1,3.0,3.0,0.0
Harry Winks,MID,Leicester,Liverpool,64,0,0,2,0,5,0,0,0,0,0,0,1.1,8.2,2.3,0.0,False,2,3.0,5.0,-2.0
Harry Winks,MID,Leicester,Man City,84,0,0,2,0,12,0,0,0,0,0,0,1.4,5.6,8.0,0.0,True,2,3.0,4.0,-1.0
Harry Winks,MID,Leicester,Aston Villa,90,0,0,2,0,17,0,0,0,0,0,0,2.3,11.6,11.8,0.0,False,2,3.0,3.0,0.0
Harry Winks,MID,Leicester,Crystal Palace,65,0,0,1,0,18,0,0,0,0,0,0,2.5,12.6,10.7,2.0,True,2,3.0,3.0,0.0
Harry Winks,MID,Leicester,Fulham,64,0,0,1,0,11,0,0,0,0,0,0,1.7,8.4,1.4,7.0,True,2,3.0,3.0,0.0
Harry Winks,MID,Leicester,Spurs,90,0,0,1,0,12,1,0,0,0,0,0,3.5,17.4,17.9,0.0,False,1,3.0,3.0,0.0
Harry Winks,MID,Leicester,Everton,90,0,0,4,0,9,0,0,0,0,0,0,1.6,9.2,6.9,0.0,False,2,3.0,3.0,0.0
Harry Winks,MID,Leicester,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Harry Winks,MID,Leicester,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
