name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Jack Harrison,MID,Everton,Brighton,84,0,0,2,0,9,0,0,0,0,0,0,5.8,9.8,16.3,32.0,True,2,3.0,3.0,0.0
Jack Harrison,MID,Everton,Spurs,56,0,0,2,0,1,0,0,0,0,0,0,1.0,0.0,0.3,12.0,False,1,3.0,3.0,0.0
Jack Harrison,MID,Everton,Bournemouth,90,0,0,3,0,26,0,0,0,0,0,0,9.7,25.4,59.7,12.0,True,2,3.0,4.0,-1.0
Jack Harrison,MID,Everton,Aston Villa,63,0,0,2,0,9,0,0,0,0,0,0,1.2,6.2,1.9,4.0,False,2,3.0,3.0,0.0
Jack Harrison,MID,Everton,Leicester,29,0,0,1,0,2,0,0,0,0,0,0,1.9,6.2,10.5,2.0,False,1,3.0,3.0,0.0
Jack Harrison,MID,Everton,Crystal Palace,45,0,1,0,0,9,0,0,0,0,0,0,0.5,2.4,2.3,0.0,True,4,3.0,3.0,0.0
Jack Harrison,MID,Everton,Newcastle,67,0,0,0,1,4,0,0,0,0,0,0,1.6,3.8,3.8,8.0,True,3,3.0,4.0,-1.0
Jack Harrison,MID,Everton,Ipswich,90,0,0,0,1,15,0,0,0,0,0,0,4.6,16.8,14.9,14.0,False,3,3.0,3.0,0.0
Jack Harrison,MID,Everton,Fulham,67,0,0,1,0,2,0,0,0,0,0,0,2.0,0.0,14.8,6.0,True,2,3.0,3.0,0.0
Jack Harrison,MID,Everton,Southampton,28,0,0,1,0,-3,0,0,0,0,0,0,0.2,0.0,0.5,5.0,False,1,3.0,2.0,1.0
Jack Harrison,MID,Everton,West Ham,4,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3.0,3.0,0.0
Jack Harrison,MID,Everton,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Jack Harrison,MID,Everton,Man Utd,23,0,0,0,0,1,0,0,0,0,0,0,0.5,0.0,5.0,0.0,False,1,3.0,3.0,0.0
Jack Harrison,MID,Everton,Wolves,16,0,0,0,0,-3,0,0,0,0,0,0,1.5,0.0,0.0,17.0,True,1,3.0,3.0,0.0
Jack Harrison,MID,Everton,Arsenal,65,0,0,0,1,6,0,0,0,0,0,0,0.6,5.2,0.3,0.0,False,3,3.0,4.0,-1.0
Jack Harrison,MID,Everton,Chelsea,73,0,0,0,1,11,0,0,0,0,0,0,3.1,12.8,1.0,17.0,True,3,3.0,4.0,-1.0
Jack Harrison,MID,Everton,Man City,90,0,0,1,0,8,0,0,0,0,0,0,7.1,12.4,47.8,11.0,False,2,3.0,4.0,-1.0
Jack Harrison,MID,Everton,Nott'm Forest,45,0,0,1,0,4,0,0,0,0,0,0,1.8,1.0,11.2,6.0,True,1,3.0,4.0,-1.0
Jack Harrison,MID,Everton,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Jack Harrison,MID,Everton,Aston Villa,58,0,0,1,0,2,0,0,0,0,0,0,2.3,8.0,14.7,0.0,True,1,3.0,3.0,0.0
Jack Harrison,MID,Everton,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Jack Harrison,MID,Everton,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Jack Harrison,MID,Everton,Leicester,2,0,0,0,0,3,0,0,0,0,0,0,1.0,3.2,0.0,7.0,True,1,3.0,3.0,0.0
Jack Harrison,MID,Everton,Liverpool,65,0,0,1,0,12,0,0,0,0,0,0,4.0,11.4,17.5,11.0,True,2,3.0,5.0,-2.0
Jack Harrison,MID,Everton,Crystal Palace,90,0,0,1,0,10,0,0,0,0,0,0,3.0,10.0,16.1,4.0,False,2,3.0,3.0,0.0
Jack Harrison,MID,Everton,Man Utd,90,0,1,2,0,18,0,0,0,0,0,0,8.6,14.4,45.3,26.0,True,5,3.0,3.0,0.0
