name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Jarrod Bowen,MID,West Ham,Aston Villa,72,0,0,1,0,3,0,0,0,0,0,0,2.3,4.6,16.8,2.0,True,2,3.0,3.0,0.0
Jarrod Bowen,MID,West Ham,Crystal Palace,90,1,0,0,1,26,0,0,0,0,0,0,13.1,47.2,63.1,21.0,False,8,3.0,3.0,0.0
Jarrod Bowen,MID,West Ham,Man City,85,0,1,3,0,20,0,0,0,0,0,0,6.3,12.8,26.1,24.0,True,5,3.0,4.0,-1.0
Jarrod Bowen,MID,West Ham,Fulham,90,0,1,1,0,14,0,0,0,0,0,0,8.4,33.8,23.5,27.0,False,5,3.0,3.0,0.0
Jarrod Bowen,MID,West Ham,Chelsea,90,0,0,3,0,14,0,0,0,0,0,0,5.9,9.4,20.5,29.0,True,2,3.0,4.0,-1.0
Jarrod Bowen,MID,West Ham,Brentford,90,0,0,1,0,9,0,0,0,0,0,0,8.4,14.4,40.6,29.0,False,2,3.0,3.0,0.0
Jarrod Bowen,MID,West Ham,Ipswich,90,1,1,1,0,46,0,0,0,0,0,0,20.4,64.2,60.9,79.0,True,12,3.0,3.0,0.0
Jarrod Bowen,MID,West Ham,Spurs,90,0,0,4,0,12,0,0,0,0,0,0,4.6,15.6,16.9,13.0,False,2,3.0,3.0,0.0
Jarrod Bowen,MID,West Ham,Man Utd,90,1,0,1,0,25,0,0,0,0,0,0,10.3,40.6,30.3,32.0,True,7,3.0,3.0,0.0
Jarrod Bowen,MID,West Ham,Nott'm Forest,90,0,0,3,0,15,0,0,0,0,0,0,4.1,14.0,17.3,10.0,False,2,3.0,4.0,-1.0
Jarrod Bowen,MID,West Ham,Everton,90,0,0,0,1,13,0,0,0,0,0,0,6.7,17.2,16.1,34.0,True,3,3.0,3.0,0.0
Jarrod Bowen,MID,West Ham,Newcastle,90,0,1,0,1,34,0,0,0,0,0,0,10.0,37.8,39.4,23.0,False,7,3.0,4.0,-1.0
Jarrod Bowen,MID,West Ham,Arsenal,90,0,0,5,0,6,0,0,0,0,0,0,0.5,0.8,1.0,3.0,True,2,3.0,4.0,-1.0
Jarrod Bowen,MID,West Ham,Leicester,90,0,0,3,0,22,0,0,0,0,0,0,15.8,27.4,67.1,63.0,False,2,3.0,3.0,0.0
Jarrod Bowen,MID,West Ham,Wolves,90,1,1,1,0,36,1,0,0,0,0,0,15.7,66.4,38.3,52.0,True,12,3.0,3.0,0.0
Jarrod Bowen,MID,West Ham,Bournemouth,90,0,0,1,0,4,0,0,0,0,0,0,4.9,3.4,22.8,23.0,False,2,3.0,4.0,-1.0
Jarrod Bowen,MID,West Ham,Brighton,90,0,1,1,0,23,0,0,0,0,0,0,9.4,16.4,7.8,70.0,True,6,3.0,3.0,0.0
Jarrod Bowen,MID,West Ham,Southampton,90,1,0,0,1,25,0,0,0,0,0,0,10.8,30.0,17.3,61.0,False,8,3.0,2.0,1.0
Jarrod Bowen,MID,West Ham,Liverpool,59,0,0,4,0,2,0,0,0,0,0,0,1.2,0.0,0.8,13.0,True,1,3.0,5.0,-2.0
Jarrod Bowen,MID,West Ham,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Jarrod Bowen,MID,West Ham,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Jarrod Bowen,MID,West Ham,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Jarrod Bowen,MID,West Ham,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Jarrod Bowen,MID,West Ham,Chelsea,90,1,0,2,0,36,0,0,0,0,0,0,12.6,49.8,21.6,55.0,False,10,3.0,4.0,-1.0
Jarrod Bowen,MID,West Ham,Brentford,90,0,0,1,0,9,0,0,0,0,0,0,3.8,10.2,15.9,12.0,True,2,3.0,3.0,0.0
Jarrod Bowen,MID,West Ham,Arsenal,81,1,0,0,1,28,0,0,0,0,0,0,7.4,35.6,1.7,37.0,False,10,3.0,4.0,-1.0
