name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Jean-Ricner Bellegarde,MID,Wolves,Arsenal,56,0,0,1,0,2,0,0,0,0,0,0,0.0,0.0,1.3,1.0,False,1,3.0,4.0,-1.0
Jean-Ricner Bellegarde,MID,Wolves,Chelsea,67,0,0,5,0,4,0,0,0,0,0,0,0.5,2.4,0.8,2.0,True,2,3.0,4.0,-1.0
Jean-Ricner Bellegarde,MID,Wolves,Nott'm Forest,74,1,0,1,0,19,1,0,0,0,0,0,4.3,32.0,1.8,9.0,False,6,3.0,4.0,-1.0
Jean-Ricner Bellegarde,MID,Wolves,Newcastle,70,0,0,0,1,5,0,0,0,0,0,0,2.2,5.4,12.9,4.0,True,3,3.0,4.0,-1.0
Jean-Ricner Bellegarde,MID,Wolves,Aston Villa,70,0,0,0,1,7,0,0,0,0,0,0,3.0,3.2,23.1,4.0,False,3,3.0,3.0,0.0
Jean-Ricner Bellegarde,MID,Wolves,Liverpool,52,0,0,1,0,8,0,0,0,0,0,0,5.2,9.2,19.8,23.0,True,1,3.0,5.0,-2.0
Jean-Ricner Bellegarde,MID,Wolves,Brentford,13,0,1,1,0,13,0,0,0,0,0,0,3.4,17.2,10.6,6.0,False,4,3.0,3.0,0.0
Jean-Ricner Bellegarde,MID,Wolves,Man City,1,0,0,1,0,4,0,0,0,0,0,0,0.7,7.0,0.0,0.0,True,1,3.0,4.0,-1.0
Jean-Ricner Bellegarde,MID,Wolves,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Jean-Ricner Bellegarde,MID,Wolves,Crystal Palace,27,0,0,1,0,6,0,0,0,0,0,0,2.1,6.2,14.8,0.0,True,1,3.0,3.0,0.0
Jean-Ricner Bellegarde,MID,Wolves,Southampton,45,0,0,0,0,0,1,0,0,0,0,0,0.5,0.0,0.8,8.0,True,0,3.0,2.0,1.0
Jean-Ricner Bellegarde,MID,Wolves,Fulham,86,0,0,1,0,6,0,0,0,0,0,0,1.2,5.2,2.5,4.0,False,2,3.0,3.0,0.0
Jean-Ricner Bellegarde,MID,Wolves,Bournemouth,63,0,1,3,0,18,0,0,0,0,0,0,4.0,20.0,18.0,2.0,True,5,3.0,4.0,-1.0
Jean-Ricner Bellegarde,MID,Wolves,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Jean-Ricner Bellegarde,MID,Wolves,West Ham,28,0,0,1,0,2,0,0,0,0,0,0,1.5,3.2,0.3,11.0,False,1,3.0,3.0,0.0
Jean-Ricner Bellegarde,MID,Wolves,Ipswich,71,0,0,1,0,8,0,0,0,0,0,0,5.2,9.4,34.3,8.0,True,2,3.0,3.0,0.0
Jean-Ricner Bellegarde,MID,Wolves,Leicester,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,3.0,3.0,0.0
Jean-Ricner Bellegarde,MID,Wolves,Man Utd,1,0,0,0,0,4,0,0,0,0,0,0,0.3,3.0,0.0,0.0,True,1,3.0,3.0,0.0
Jean-Ricner Bellegarde,MID,Wolves,Spurs,45,0,0,2,0,-3,1,0,0,0,0,0,0.6,3.2,2.3,0.0,False,0,3.0,3.0,0.0
Jean-Ricner Bellegarde,MID,Wolves,Nott'm Forest,31,0,0,1,0,4,0,0,0,0,0,0,1.0,0.8,3.3,6.0,True,1,3.0,4.0,-1.0
Jean-Ricner Bellegarde,MID,Wolves,Newcastle,21,0,0,1,0,5,0,0,0,0,0,0,2.9,8.0,15.1,6.0,False,1,3.0,4.0,-1.0
Jean-Ricner Bellegarde,MID,Wolves,Chelsea,16,0,0,0,0,2,0,0,0,0,0,0,0.2,1.4,0.8,0.0,False,1,3.0,4.0,-1.0
Jean-Ricner Bellegarde,MID,Wolves,Arsenal,15,0,0,0,0,3,0,0,0,0,0,0,0.6,2.6,1.3,2.0,True,1,3.0,4.0,-1.0
