name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Mitoma Kaoru,MID,Brighton,Everton,88,1,0,0,1,27,0,0,0,0,0,0,13.2,48.2,4.1,80.0,False,8,3.0,3.0,0.0
Mitoma Kaoru,MID,Brighton,Man Utd,89,0,1,1,0,20,0,0,0,0,0,0,3.6,16.6,13.5,6.0,True,6,3.0,3.0,0.0
Mitoma Kaoru,MID,Brighton,Arsenal,84,0,0,1,0,13,0,0,0,0,0,0,4.5,5.8,27.0,12.0,False,2,3.0,4.0,-1.0
Mitoma Kaoru,MID,Brighton,Ipswich,90,0,0,0,1,3,0,0,0,0,0,0,7.8,11.4,6.6,60.0,True,3,3.0,3.0,0.0
Mitoma Kaoru,MID,Brighton,Nott'm Forest,90,0,1,2,0,21,0,0,0,0,0,0,5.8,15.6,34.7,8.0,True,5,3.0,4.0,-1.0
Mitoma Kaoru,MID,Brighton,Chelsea,90,0,0,4,0,18,0,0,0,0,0,0,5.9,12.8,27.8,18.0,False,2,3.0,4.0,-1.0
Mitoma Kaoru,MID,Brighton,Spurs,90,0,1,2,0,27,0,0,0,0,0,0,10.0,36.4,40.4,23.0,True,5,3.0,3.0,0.0
Mitoma Kaoru,MID,Brighton,Newcastle,30,0,0,0,0,5,0,0,0,0,0,0,3.0,5.2,3.7,21.0,False,1,3.0,4.0,-1.0
Mitoma Kaoru,MID,Brighton,Wolves,88,0,0,1,0,6,0,0,0,0,0,0,8.1,7.0,16.1,58.0,True,2,3.0,3.0,0.0
Mitoma Kaoru,MID,Brighton,Liverpool,86,0,0,2,0,9,0,0,0,0,0,0,5.8,7.8,31.5,19.0,False,2,3.0,5.0,-2.0
Mitoma Kaoru,MID,Brighton,Man City,89,0,0,1,0,9,0,0,0,0,0,0,5.6,11.6,17.0,27.0,True,2,3.0,4.0,-1.0
Mitoma Kaoru,MID,Brighton,Bournemouth,90,1,0,1,0,28,0,0,0,0,0,0,6.2,35.4,3.1,23.0,False,9,3.0,4.0,-1.0
Mitoma Kaoru,MID,Brighton,Southampton,90,1,0,1,0,33,0,0,0,0,0,0,10.9,42.8,40.0,26.0,True,10,3.0,2.0,1.0
Mitoma Kaoru,MID,Brighton,Fulham,90,0,0,3,0,13,0,0,0,0,0,0,3.3,7.4,23.7,2.0,False,2,3.0,3.0,0.0
Mitoma Kaoru,MID,Brighton,Leicester,88,0,0,1,0,6,0,0,0,0,0,0,5.5,13.2,32.1,10.0,False,2,3.0,3.0,0.0
Mitoma Kaoru,MID,Brighton,Crystal Palace,90,0,0,3,0,20,0,0,0,0,0,0,10.6,18.6,46.8,41.0,True,2,3.0,3.0,0.0
Mitoma Kaoru,MID,Brighton,West Ham,84,0,0,1,0,12,0,0,0,0,0,0,5.1,11.0,4.0,36.0,False,2,3.0,3.0,0.0
Mitoma Kaoru,MID,Brighton,Brentford,66,0,0,0,1,12,0,0,0,0,0,0,4.8,5.0,27.3,16.0,True,3,3.0,3.0,0.0
Mitoma Kaoru,MID,Brighton,Aston Villa,32,0,0,0,0,3,0,0,0,0,0,0,2.2,2.6,11.6,8.0,False,1,3.0,3.0,0.0
Mitoma Kaoru,MID,Brighton,Arsenal,28,0,0,0,0,7,0,0,0,0,0,0,0.9,3.6,1.3,4.0,True,1,3.0,4.0,-1.0
Mitoma Kaoru,MID,Brighton,Ipswich,90,1,0,0,1,31,0,0,0,0,0,0,9.5,41.0,23.8,30.0,False,10,3.0,3.0,0.0
Mitoma Kaoru,MID,Brighton,Man Utd,90,1,1,1,0,38,0,0,0,0,0,0,12.3,58.8,24.8,39.0,False,12,3.0,3.0,0.0
Mitoma Kaoru,MID,Brighton,Everton,90,0,0,1,0,1,0,0,0,0,0,0,2.9,0.0,11.3,18.0,True,2,3.0,3.0,0.0
