name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Paris Maghoma,MID,Brentford,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Paris Maghoma,MID,Brentford,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Paris Maghoma,MID,Brentford,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Paris Maghoma,MID,Brentford,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Paris Maghoma,MID,Brentford,Aston Villa,26,0,0,0,0,4,0,0,0,0,0,0,0.6,6.0,0.4,0.0,False,1,3.0,3.0,0.0
Paris Maghoma,MID,Brentford,Newcastle,1,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,1,3.0,4.0,-1.0
Paris Maghoma,MID,Brentford,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Paris Maghoma,MID,Brentford,Nott'm Forest,23,0,0,0,0,4,0,0,0,0,0,0,0.9,5.0,1.8,2.0,True,1,3.0,4.0,-1.0
Paris Maghoma,MID,Brentford,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Paris Maghoma,MID,Brentford,Arsenal,15,0,0,0,0,2,0,0,0,0,0,0,0.1,0.0,1.2,0.0,True,1,3.0,4.0,-1.0
Paris Maghoma,MID,Brentford,Southampton,9,0,0,0,0,7,0,0,0,0,0,0,0.7,4.4,0.8,2.0,False,1,3.0,2.0,1.0
Paris Maghoma,MID,Brentford,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Paris Maghoma,MID,Brentford,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
Paris Maghoma,MID,Brentford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
