name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Thomas Partey,MID,Arsenal,Wolves,90,0,0,0,1,16,0,0,0,0,0,0,5.9,14.4,43.6,1.0,True,3,4.0,3.0,1.0
Thomas Partey,MID,Arsenal,Aston Villa,90,1,0,0,1,27,0,0,0,0,0,0,5.5,39.4,7.5,8.0,False,11,4.0,3.0,1.0
Thomas Partey,MID,Arsenal,Brighton,90,0,0,1,0,8,1,0,0,0,0,0,1.8,17.0,0.6,0.0,True,1,4.0,3.0,1.0
Thomas Partey,MID,Arsenal,Spurs,90,0,0,0,1,12,0,0,0,0,0,0,2.3,20.0,2.8,0.0,False,3,4.0,3.0,1.0
Thomas Partey,MID,Arsenal,Man City,90,0,0,2,0,11,1,0,0,0,0,0,1.8,14.0,2.3,2.0,False,1,4.0,4.0,0.0
Thomas Partey,MID,Arsenal,Leicester,84,0,0,2,0,20,0,0,0,0,0,0,4.2,13.6,23.9,4.0,True,2,4.0,3.0,1.0
Thomas Partey,MID,Arsenal,Southampton,83,0,0,1,0,25,0,0,0,0,0,0,4.9,22.8,12.7,13.0,True,2,4.0,2.0,2.0
Thomas Partey,MID,Arsenal,Bournemouth,90,0,0,2,0,9,0,0,0,0,0,0,0.9,2.6,5.3,1.0,False,2,4.0,4.0,0.0
Thomas Partey,MID,Arsenal,Liverpool,90,0,0,2,0,18,0,0,0,0,0,0,3.0,24.8,4.8,0.0,True,2,4.0,5.0,-1.0
Thomas Partey,MID,Arsenal,Newcastle,85,0,0,1,0,17,0,0,0,0,0,0,4.7,19.2,25.8,2.0,False,2,4.0,4.0,0.0
Thomas Partey,MID,Arsenal,Chelsea,90,0,0,1,0,11,0,0,0,0,0,0,2.2,9.4,5.7,7.0,False,2,4.0,4.0,0.0
Thomas Partey,MID,Arsenal,Nott'm Forest,45,1,0,0,0,36,0,0,0,0,0,0,5.2,42.6,1.1,8.0,True,8,4.0,4.0,0.0
Thomas Partey,MID,Arsenal,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Thomas Partey,MID,Arsenal,Man Utd,90,0,1,0,1,27,0,0,0,0,0,0,8.4,25.0,17.6,41.0,True,6,4.0,3.0,1.0
Thomas Partey,MID,Arsenal,Fulham,90,0,0,1,0,8,0,0,0,0,0,0,2.2,6.0,8.5,7.0,False,2,4.0,3.0,1.0
Thomas Partey,MID,Arsenal,Everton,21,0,0,0,0,12,0,0,0,0,0,0,1.1,7.0,2.2,2.0,True,1,4.0,3.0,1.0
Thomas Partey,MID,Arsenal,Crystal Palace,90,0,1,1,0,22,0,0,0,0,0,0,4.1,24.0,13.3,4.0,False,5,4.0,3.0,1.0
Thomas Partey,MID,Arsenal,Ipswich,3,0,0,0,0,3,0,0,0,0,0,0,0.5,5.0,0.3,0.0,True,1,4.0,3.0,1.0
Thomas Partey,MID,Arsenal,Brentford,90,0,1,1,0,26,0,0,0,0,0,0,4.3,23.0,5.8,14.0,False,5,4.0,3.0,1.0
Thomas Partey,MID,Arsenal,Brighton,90,0,0,1,0,10,0,0,0,0,0,0,1.9,10.6,2.0,6.0,False,2,4.0,3.0,1.0
Thomas Partey,MID,Arsenal,Spurs,90,0,0,1,0,16,0,0,0,0,0,0,3.6,16.2,18.2,2.0,True,2,4.0,3.0,1.0
Thomas Partey,MID,Arsenal,Aston Villa,90,0,0,2,0,17,0,0,0,0,0,0,5.1,13.0,33.8,4.0,True,2,4.0,3.0,1.0
Thomas Partey,MID,Arsenal,Wolves,90,0,0,0,1,14,0,0,0,0,0,0,2.2,13.4,5.3,3.0,False,3,4.0,3.0,1.0
Thomas Partey,MID,Arsenal,Man City,90,1,0,1,0,38,0,0,0,0,0,0,7.3,53.6,12.8,7.0,True,8,4.0,4.0,0.0
Thomas Partey,MID,Arsenal,Leicester,74,0,0,0,1,13,0,0,0,0,0,0,1.4,7.6,3.2,3.0,False,3,4.0,3.0,1.0
Thomas Partey,MID,Arsenal,West Ham,90,0,0,1,0,16,1,0,0,0,0,0,5.0,21.6,28.1,0.0,True,1,4.0,3.0,1.0
