name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Will Hughes,MID,Crystal Palace,Brentford,83,0,0,2,0,10,0,0,0,0,0,0,3.2,14.2,14.0,4.0,False,2,3.0,3.0,0.0
Will Hughes,MID,Crystal Palace,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Will Hughes,MID,Crystal Palace,Chelsea,49,0,0,1,0,-3,1,0,0,0,0,0,0.3,0.2,0.8,2.0,False,0,3.0,4.0,-1.0
Will Hughes,MID,Crystal Palace,Leicester,45,0,0,1,0,9,0,0,0,0,0,0,1.2,8.0,3.6,0.0,True,1,3.0,3.0,0.0
Will Hughes,MID,Crystal Palace,Man Utd,24,0,0,0,0,-1,1,0,0,0,0,0,2.0,2.6,0.4,17.0,True,0,3.0,3.0,0.0
Will Hughes,MID,Crystal Palace,Everton,2,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.1,0.0,False,1,3.0,3.0,0.0
Will Hughes,MID,Crystal Palace,Liverpool,30,0,0,0,0,-2,1,0,0,0,0,0,0.0,0.0,0.7,1.0,True,0,3.0,5.0,-2.0
Will Hughes,MID,Crystal Palace,Nott'm Forest,73,0,0,1,0,14,0,0,0,0,0,0,7.4,23.8,44.7,5.0,False,2,3.0,4.0,-1.0
Will Hughes,MID,Crystal Palace,Spurs,68,0,0,0,1,10,1,0,0,0,0,0,6.3,16.4,45.8,1.0,True,2,3.0,3.0,0.0
Will Hughes,MID,Crystal Palace,Wolves,79,0,0,2,0,5,1,0,0,0,0,0,1.1,0.6,5.8,5.0,False,1,3.0,3.0,0.0
Will Hughes,MID,Crystal Palace,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Will Hughes,MID,Crystal Palace,Aston Villa,89,0,0,2,0,7,0,0,0,0,0,0,3.9,10.6,26.3,2.0,False,2,3.0,3.0,0.0
Will Hughes,MID,Crystal Palace,Newcastle,76,0,0,1,0,15,0,0,0,0,0,0,3.9,14.6,20.8,4.0,True,2,3.0,4.0,-1.0
Will Hughes,MID,Crystal Palace,Ipswich,90,0,0,0,1,12,1,0,0,0,0,0,2.7,14.4,12.9,0.0,False,2,3.0,3.0,0.0
Will Hughes,MID,Crystal Palace,Man City,90,0,2,2,0,36,0,0,0,0,0,0,9.8,51.2,40.3,6.0,True,11,3.0,4.0,-1.0
Will Hughes,MID,Crystal Palace,Brighton,84,0,0,0,1,3,0,0,0,0,0,0,2.5,8.8,15.8,0.0,False,3,3.0,3.0,0.0
Will Hughes,MID,Crystal Palace,Arsenal,67,0,0,4,0,14,0,0,0,0,0,0,4.5,7.8,30.7,6.0,True,2,3.0,4.0,-1.0
Will Hughes,MID,Crystal Palace,Bournemouth,52,0,0,0,0,8,0,0,0,0,0,0,4.6,20.0,23.5,2.0,False,1,3.0,4.0,-1.0
Will Hughes,MID,Crystal Palace,Southampton,85,0,1,1,0,19,1,0,0,0,0,0,4.0,23.0,17.0,0.0,True,4,3.0,2.0,1.0
Will Hughes,MID,Crystal Palace,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Will Hughes,MID,Crystal Palace,Leicester,61,0,0,0,1,17,0,0,0,0,0,0,1.1,6.6,2.9,1.0,False,3,3.0,3.0,0.0
Will Hughes,MID,Crystal Palace,West Ham,89,0,0,0,1,13,0,0,0,0,0,0,2.5,9.4,13.2,2.0,False,3,3.0,3.0,0.0
Will Hughes,MID,Crystal Palace,Brentford,82,0,0,2,0,13,0,0,0,0,0,0,2.7,8.2,12.3,6.0,True,2,3.0,3.0,0.0
