name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Cheick Doucouré,MID,Crystal Palace,Brentford,6,0,0,0,0,4,0,0,0,0,0,0,0.3,0.4,2.8,0.0,False,1,3.0,3.0,0.0
Cheick Doucouré,MID,Crystal Palace,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Cheick Doucouré,MID,Crystal Palace,Chelsea,40,0,1,0,0,14,0,0,0,0,0,0,1.5,9.6,0.3,5.0,False,4,3.0,4.0,-1.0
Cheick Doucouré,MID,Crystal Palace,Leicester,45,0,0,1,0,2,0,0,0,0,0,0,1.1,7.6,2.8,1.0,True,1,3.0,3.0,0.0
Cheick Doucouré,MID,Crystal Palace,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Cheick Doucouré,MID,Crystal Palace,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Cheick Doucouré,MID,Crystal Palace,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
Cheick Doucouré,MID,Crystal Palace,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Cheick Doucouré,MID,Crystal Palace,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Cheick Doucouré,MID,Crystal Palace,Wolves,10,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.2,0.0,False,1,3.0,3.0,0.0
Cheick Doucouré,MID,Crystal Palace,Fulham,28,0,0,1,0,1,0,0,0,0,0,0,0.2,0.4,0.7,1.0,True,1,3.0,3.0,0.0
Cheick Doucouré,MID,Crystal Palace,Aston Villa,63,0,0,1,0,11,0,0,0,0,0,0,0.6,4.8,0.8,0.0,False,2,3.0,3.0,0.0
Cheick Doucouré,MID,Crystal Palace,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Cheick Doucouré,MID,Crystal Palace,Ipswich,45,0,0,0,0,0,1,0,0,0,0,0,1.1,0.6,1.3,9.0,False,0,3.0,3.0,0.0
Cheick Doucouré,MID,Crystal Palace,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Cheick Doucouré,MID,Crystal Palace,Brighton,5,0,0,1,0,3,0,0,0,0,0,0,0.5,0.2,0.0,5.0,False,1,3.0,3.0,0.0
Cheick Doucouré,MID,Crystal Palace,Arsenal,22,0,0,1,0,2,0,0,0,0,0,0,0.6,4.8,1.1,0.0,True,1,3.0,4.0,-1.0
Cheick Doucouré,MID,Crystal Palace,Bournemouth,37,0,0,0,0,7,0,0,0,0,0,0,2.3,10.2,12.3,0.0,False,1,3.0,4.0,-1.0
Cheick Doucouré,MID,Crystal Palace,Southampton,4,0,0,0,0,5,0,0,0,0,0,0,0.3,3.2,0.1,0.0,True,1,3.0,2.0,1.0
Cheick Doucouré,MID,Crystal Palace,Chelsea,68,0,0,1,0,11,0,0,0,0,0,0,1.2,8.8,0.8,2.0,True,2,3.0,4.0,-1.0
Cheick Doucouré,MID,Crystal Palace,Leicester,70,0,0,0,1,9,0,0,0,0,0,0,1.1,8.0,2.5,0.0,False,3,3.0,3.0,0.0
Cheick Doucouré,MID,Crystal Palace,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Cheick Doucouré,MID,Crystal Palace,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
