name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Edson Álvarez Velázquez,MID,West Ham,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Edson Álvarez Velázquez,MID,West Ham,Crystal Palace,12,0,0,0,0,2,0,0,0,0,0,0,0.9,4.4,3.2,1.0,False,1,3.0,3.0,0.0
Edson Álvarez Velázquez,MID,West Ham,Man City,76,0,0,2,0,13,0,0,0,0,0,0,1.9,7.4,11.9,0.0,True,2,3.0,4.0,-1.0
Edson Álvarez Velázquez,MID,West Ham,Fulham,81,0,0,1,0,9,1,0,0,0,0,0,2.7,13.8,12.8,0.0,False,1,3.0,3.0,0.0
Edson Álvarez Velázquez,MID,West Ham,Chelsea,53,0,0,3,0,6,1,0,0,0,0,0,2.0,2.2,12.7,5.0,True,0,3.0,4.0,-1.0
Edson Álvarez Velázquez,MID,West Ham,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Edson Álvarez Velázquez,MID,West Ham,Ipswich,20,0,0,0,0,4,0,0,0,0,0,0,2.1,8.4,12.5,0.0,True,1,3.0,3.0,0.0
Edson Álvarez Velázquez,MID,West Ham,Spurs,29,0,0,0,0,1,0,0,0,0,0,0,0.5,0.0,1.4,4.0,False,1,3.0,3.0,0.0
Edson Álvarez Velázquez,MID,West Ham,Man Utd,90,0,0,1,0,16,0,0,0,0,0,0,2.3,17.8,2.9,2.0,True,2,3.0,3.0,0.0
Edson Álvarez Velázquez,MID,West Ham,Nott'm Forest,46,0,0,3,0,-7,0,1,0,0,0,0,0.0,0.0,1.3,0.0,False,-2,3.0,4.0,-1.0
Edson Álvarez Velázquez,MID,West Ham,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Edson Álvarez Velázquez,MID,West Ham,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Edson Álvarez Velázquez,MID,West Ham,Arsenal,45,0,0,0,0,5,0,0,0,0,0,0,1.4,7.8,4.0,2.0,True,1,3.0,4.0,-1.0
Edson Álvarez Velázquez,MID,West Ham,Leicester,90,0,0,3,0,15,1,0,0,0,0,0,6.0,23.6,30.7,6.0,False,1,3.0,3.0,0.0
Edson Álvarez Velázquez,MID,West Ham,Wolves,87,0,0,1,0,8,0,0,0,0,0,0,2.2,17.2,4.3,0.0,True,2,3.0,3.0,0.0
Edson Álvarez Velázquez,MID,West Ham,Bournemouth,74,0,0,0,1,9,1,0,0,0,0,0,1.4,10.4,1.8,2.0,False,2,3.0,4.0,-1.0
Edson Álvarez Velázquez,MID,West Ham,Brighton,89,0,0,1,0,17,0,0,0,0,0,0,3.2,23.8,1.0,7.0,True,2,3.0,3.0,0.0
Edson Álvarez Velázquez,MID,West Ham,Southampton,45,0,0,0,0,5,0,0,0,0,0,0,1.8,5.4,11.0,2.0,False,1,3.0,2.0,1.0
Edson Álvarez Velázquez,MID,West Ham,Liverpool,45,0,0,3,0,3,0,0,0,0,0,0,0.3,2.4,0.4,0.0,True,1,3.0,5.0,-2.0
Edson Álvarez Velázquez,MID,West Ham,Man City,86,0,0,4,0,13,0,0,0,0,0,0,3.7,5.6,29.7,2.0,False,2,3.0,4.0,-1.0
Edson Álvarez Velázquez,MID,West Ham,Fulham,90,0,0,2,0,19,0,0,0,0,0,0,2.0,18.4,1.5,0.0,True,2,3.0,3.0,0.0
Edson Álvarez Velázquez,MID,West Ham,Crystal Palace,82,0,0,1,0,9,1,0,0,0,0,0,1.2,4.4,4.6,3.0,True,1,3.0,3.0,0.0
Edson Álvarez Velázquez,MID,West Ham,Aston Villa,88,0,1,1,0,14,1,0,0,0,0,0,5.5,33.2,16.4,5.0,False,4,3.0,3.0,0.0
