name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Ferdi Kadioglu,DEF,Brighton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Ferdi Kadioglu,DEF,Brighton,Ipswich,23,0,0,0,0,5,0,0,0,0,0,0,3.2,8.8,21.5,2.0,True,1,3.0,3.0,0.0
Ferdi Kadioglu,DEF,Brighton,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Ferdi Kadioglu,DEF,Brighton,Chelsea,70,0,0,4,0,-2,0,0,0,0,0,0,3.9,18.0,17.2,4.0,False,0,3.0,4.0,-1.0
Ferdi Kadioglu,DEF,Brighton,Spurs,45,0,0,2,0,-1,0,0,0,0,0,0,3.1,9.8,19.3,2.0,True,0,3.0,3.0,0.0
Ferdi Kadioglu,DEF,Brighton,Newcastle,90,0,0,0,1,27,0,0,0,0,0,0,2.8,20.4,2.3,5.0,False,6,3.0,4.0,-1.0
Ferdi Kadioglu,DEF,Brighton,Wolves,71,0,0,0,1,18,0,0,0,0,0,0,1.0,2.8,2.8,4.0,True,6,3.0,3.0,0.0
Ferdi Kadioglu,DEF,Brighton,Liverpool,86,1,0,2,0,12,1,0,0,0,0,0,10.0,56.6,20.6,23.0,False,6,3.0,5.0,-2.0
Ferdi Kadioglu,DEF,Brighton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Ferdi Kadioglu,DEF,Brighton,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Ferdi Kadioglu,DEF,Brighton,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Ferdi Kadioglu,DEF,Brighton,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Ferdi Kadioglu,DEF,Brighton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Ferdi Kadioglu,DEF,Brighton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Ferdi Kadioglu,DEF,Brighton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Ferdi Kadioglu,DEF,Brighton,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Ferdi Kadioglu,DEF,Brighton,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Ferdi Kadioglu,DEF,Brighton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Ferdi Kadioglu,DEF,Brighton,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Ferdi Kadioglu,DEF,Brighton,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Ferdi Kadioglu,DEF,Brighton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
