name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Hwang Hee-chan,MID,Wolves,Arsenal,90,0,0,2,0,14,0,0,0,0,0,0,2.6,6.0,16.3,4.0,False,2,3.0,4.0,-1.0
Hwang Hee-chan,MID,Wolves,Chelsea,58,0,0,4,0,3,0,0,0,0,0,0,0.6,3.4,1.0,2.0,True,1,3.0,4.0,-1.0
Hwang Hee-chan,MID,Wolves,Nott'm Forest,30,0,0,0,0,3,0,0,0,0,0,0,1.7,4.4,10.6,2.0,False,1,3.0,4.0,-1.0
Hwang Hee-chan,MID,Wolves,Newcastle,19,0,0,2,0,3,0,0,0,0,0,0,0.8,2.4,5.3,0.0,True,1,3.0,4.0,-1.0
Hwang Hee-chan,MID,Wolves,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Hwang Hee-chan,MID,Wolves,Liverpool,22,0,0,0,0,3,0,0,0,0,0,0,0.3,0.2,0.6,2.0,True,1,3.0,5.0,-2.0
Hwang Hee-chan,MID,Wolves,Brentford,33,0,0,1,0,2,0,0,0,0,0,0,0.2,0.0,2.3,0.0,False,1,3.0,3.0,0.0
Hwang Hee-chan,MID,Wolves,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Hwang Hee-chan,MID,Wolves,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Hwang Hee-chan,MID,Wolves,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Hwang Hee-chan,MID,Wolves,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Hwang Hee-chan,MID,Wolves,Fulham,1,0,0,0,0,3,0,0,0,0,0,0,0.1,0.0,1.0,0.0,False,1,3.0,3.0,0.0
Hwang Hee-chan,MID,Wolves,Bournemouth,8,0,0,0,0,2,0,0,0,0,0,0,0.1,0.6,0.5,0.0,True,1,3.0,4.0,-1.0
Hwang Hee-chan,MID,Wolves,Everton,33,0,0,1,0,7,0,0,0,0,0,0,0.7,4.4,3.0,0.0,False,1,3.0,3.0,0.0
Hwang Hee-chan,MID,Wolves,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Hwang Hee-chan,MID,Wolves,Ipswich,18,0,0,1,0,3,0,0,0,0,0,0,0.1,0.0,0.5,0.0,True,1,3.0,3.0,0.0
Hwang Hee-chan,MID,Wolves,Leicester,16,0,0,0,0,2,0,0,0,0,0,0,0.1,0.4,0.1,0.0,False,1,3.0,3.0,0.0
Hwang Hee-chan,MID,Wolves,Man Utd,16,1,0,0,0,23,0,0,0,0,0,0,5.5,34.8,0.9,19.0,True,6,3.0,3.0,0.0
Hwang Hee-chan,MID,Wolves,Spurs,77,1,0,2,0,24,0,0,0,0,0,0,5.0,33.4,3.9,13.0,False,7,3.0,3.0,0.0
Hwang Hee-chan,MID,Wolves,Nott'm Forest,74,0,0,2,0,3,0,0,0,0,0,0,2.4,2.2,6.9,15.0,True,2,3.0,4.0,-1.0
Hwang Hee-chan,MID,Wolves,Newcastle,45,0,0,1,0,3,0,0,0,0,0,0,0.8,0.0,1.0,8.0,False,1,3.0,4.0,-1.0
Hwang Hee-chan,MID,Wolves,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Hwang Hee-chan,MID,Wolves,Arsenal,58,0,0,1,0,12,0,0,0,0,0,0,4.3,17.4,12.3,13.0,True,1,3.0,4.0,-1.0
Hwang Hee-chan,MID,Wolves,Aston Villa,11,0,1,0,0,11,0,0,0,0,0,0,0.3,0.0,3.5,0.0,True,4,3.0,3.0,0.0
Hwang Hee-chan,MID,Wolves,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Hwang Hee-chan,MID,Wolves,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
