name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Jacob Ramsey,MID,Aston Villa,West Ham,28,0,1,0,0,18,0,0,0,0,0,0,3.8,18.4,12.3,7.0,False,4,3.0,3.0,0.0
Jacob Ramsey,MID,Aston Villa,Arsenal,25,0,0,2,0,7,0,0,0,0,0,0,4.2,7.2,11.4,23.0,True,1,3.0,4.0,-1.0
Jacob Ramsey,MID,Aston Villa,Leicester,63,0,0,1,0,13,0,0,0,0,0,0,4.1,11.2,12.6,17.0,False,2,3.0,3.0,0.0
Jacob Ramsey,MID,Aston Villa,Everton,68,0,0,2,0,7,0,0,0,0,0,0,2.1,3.0,7.6,10.0,True,2,3.0,3.0,0.0
Jacob Ramsey,MID,Aston Villa,Wolves,61,0,0,1,0,10,0,0,0,0,0,0,1.2,2.6,7.2,2.0,True,2,3.0,3.0,0.0
Jacob Ramsey,MID,Aston Villa,Ipswich,90,0,0,2,0,14,0,0,0,0,0,0,3.1,7.4,17.4,6.0,False,2,3.0,3.0,0.0
Jacob Ramsey,MID,Aston Villa,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Jacob Ramsey,MID,Aston Villa,Fulham,82,0,1,1,0,22,0,0,0,0,0,0,7.6,23.0,27.6,25.0,False,5,3.0,3.0,0.0
Jacob Ramsey,MID,Aston Villa,Bournemouth,90,0,0,1,0,10,1,0,0,0,0,0,4.6,12.0,23.8,10.0,True,1,3.0,4.0,-1.0
Jacob Ramsey,MID,Aston Villa,Spurs,80,0,0,3,0,13,0,0,0,0,0,0,2.0,14.6,1.3,4.0,False,2,3.0,3.0,0.0
Jacob Ramsey,MID,Aston Villa,Liverpool,45,0,0,1,0,4,0,0,0,0,0,0,1.0,0.0,0.9,9.0,False,1,3.0,5.0,-2.0
Jacob Ramsey,MID,Aston Villa,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Jacob Ramsey,MID,Aston Villa,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Jacob Ramsey,MID,Aston Villa,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Jacob Ramsey,MID,Aston Villa,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Jacob Ramsey,MID,Aston Villa,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Jacob Ramsey,MID,Aston Villa,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Jacob Ramsey,MID,Aston Villa,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Jacob Ramsey,MID,Aston Villa,Brighton,13,0,0,1,0,3,0,0,0,0,0,0,0.3,2.0,0.6,0.0,True,1,3.0,3.0,0.0
Jacob Ramsey,MID,Aston Villa,Leicester,71,0,0,1,0,12,0,0,0,0,0,0,2.4,2.8,15.1,6.0,True,2,3.0,3.0,0.0
Jacob Ramsey,MID,Aston Villa,Everton,81,0,0,0,1,6,0,0,0,0,0,0,2.3,7.2,2.1,14.0,False,3,3.0,3.0,0.0
Jacob Ramsey,MID,Aston Villa,Arsenal,84,0,0,2,0,2,0,0,0,0,0,0,1.1,5.2,1.3,4.0,False,2,3.0,4.0,-1.0
Jacob Ramsey,MID,Aston Villa,West Ham,72,1,0,1,0,32,0,0,0,0,0,0,9.5,47.4,26.9,21.0,True,10,3.0,3.0,0.0
