name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Jaden Philogene,MID,Aston Villa,West Ham,16,0,0,0,0,1,1,0,0,0,0,0,0.5,0.0,1.5,4.0,False,0,3.0,3.0,0.0
Jaden Philogene,MID,Aston Villa,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Jaden Philogene,MID,Aston Villa,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Jaden Philogene,MID,Aston Villa,Everton,1,0,0,0,0,5,0,0,0,0,0,0,0.1,1.0,0.0,0.0,True,1,3.0,3.0,0.0
Jaden Philogene,MID,Aston Villa,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Jaden Philogene,MID,Aston Villa,Ipswich,26,0,0,1,0,4,0,0,0,0,0,0,0.3,2.6,0.8,0.0,False,1,3.0,3.0,0.0
Jaden Philogene,MID,Aston Villa,Man Utd,90,0,0,0,1,7,0,0,0,0,0,0,1.3,3.6,1.8,8.0,True,3,3.0,3.0,0.0
Jaden Philogene,MID,Aston Villa,Fulham,29,0,0,0,0,-8,0,1,0,0,0,0,0.0,0.0,0.0,1.0,False,-2,3.0,3.0,0.0
Jaden Philogene,MID,Aston Villa,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Jaden Philogene,MID,Aston Villa,Spurs,9,0,0,1,0,1,0,0,0,0,0,0,0.1,0.0,0.8,2.0,False,1,3.0,3.0,0.0
Jaden Philogene,MID,Aston Villa,Liverpool,25,0,0,1,0,-3,0,0,0,0,0,0,0.8,0.0,0.4,11.0,False,1,3.0,5.0,-2.0
Jaden Philogene,MID,Aston Villa,Crystal Palace,8,0,0,0,0,2,0,0,0,0,0,0,0.2,0.0,0.3,2.0,True,1,3.0,3.0,0.0
Jaden Philogene,MID,Aston Villa,Chelsea,65,0,0,2,0,3,1,0,0,0,0,0,2.9,8.4,10.6,10.0,False,1,3.0,4.0,-1.0
Jaden Philogene,MID,Aston Villa,Brentford,25,0,0,0,0,3,0,0,0,0,0,0,0.2,1.2,0.6,0.0,True,1,3.0,3.0,0.0
Jaden Philogene,MID,Aston Villa,Southampton,31,0,0,0,0,3,0,0,0,0,0,0,1.0,0.6,1.9,7.0,True,1,3.0,2.0,1.0
Jaden Philogene,MID,Aston Villa,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Jaden Philogene,MID,Aston Villa,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Jaden Philogene,MID,Aston Villa,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Jaden Philogene,MID,Aston Villa,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Jaden Philogene,MID,Aston Villa,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Jaden Philogene,MID,Aston Villa,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Jaden Philogene,MID,Aston Villa,Man City,26,0,0,1,0,3,0,0,0,0,0,0,0.2,0.0,2.1,0.0,True,1,3.0,4.0,-1.0
Jaden Philogene,MID,Aston Villa,Liverpool,78,0,0,4,0,6,0,0,0,0,0,0,1.7,8.6,4.8,4.0,False,2,3.0,5.0,-2.0
Jaden Philogene,MID,Aston Villa,Southampton,28,0,0,1,0,3,0,0,0,0,0,0,1.3,4.4,5.0,4.0,True,1,3.0,2.0,1.0
Jaden Philogene,MID,Aston Villa,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Jaden Philogene,MID,Aston Villa,Spurs,90,0,0,4,0,4,0,0,0,0,0,0,6.3,18.8,26.2,18.0,True,2,3.0,3.0,0.0
