name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Jesper Lindstrøm,MID,Everton,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Jesper Lindstrøm,MID,Everton,Spurs,33,0,0,2,0,4,0,0,0,0,0,0,3.0,9.0,4.4,17.0,False,1,3.0,3.0,0.0
Jesper Lindstrøm,MID,Everton,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Jesper Lindstrøm,MID,Everton,Aston Villa,9,0,0,0,0,1,0,0,0,0,0,0,0.2,0.6,0.9,0.0,False,1,3.0,3.0,0.0
Jesper Lindstrøm,MID,Everton,Leicester,60,0,0,0,1,10,0,0,0,0,0,0,5.5,10.2,11.9,33.0,False,3,3.0,3.0,0.0
Jesper Lindstrøm,MID,Everton,Crystal Palace,45,0,0,1,0,5,0,0,0,0,0,0,4.2,12.2,29.9,0.0,True,1,3.0,3.0,0.0
Jesper Lindstrøm,MID,Everton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Jesper Lindstrøm,MID,Everton,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Jesper Lindstrøm,MID,Everton,Fulham,22,0,0,0,0,4,0,0,0,0,0,0,1.0,3.2,0.2,7.0,True,1,3.0,3.0,0.0
Jesper Lindstrøm,MID,Everton,Southampton,87,0,0,1,0,21,0,0,0,0,0,0,7.8,22.2,34.0,22.0,False,2,3.0,2.0,1.0
Jesper Lindstrøm,MID,Everton,West Ham,90,0,0,0,1,8,0,0,0,0,0,0,8.6,16.6,40.1,29.0,False,3,3.0,3.0,0.0
Jesper Lindstrøm,MID,Everton,Brentford,71,0,0,0,1,2,0,0,0,0,0,0,3.8,6.6,23.8,8.0,True,3,3.0,3.0,0.0
Jesper Lindstrøm,MID,Everton,Man Utd,66,0,0,4,0,9,0,0,0,0,0,0,2.6,7.2,1.8,17.0,False,2,3.0,3.0,0.0
Jesper Lindstrøm,MID,Everton,Wolves,7,0,0,0,0,5,0,0,0,0,0,0,1.7,3.8,11.0,2.0,True,1,3.0,3.0,0.0
Jesper Lindstrøm,MID,Everton,Arsenal,24,0,0,0,0,9,0,0,0,0,0,0,1.1,7.0,4.0,0.0,False,1,3.0,4.0,-1.0
Jesper Lindstrøm,MID,Everton,Chelsea,16,0,0,0,0,3,0,0,0,0,0,0,0.9,6.0,0.8,2.0,True,1,3.0,4.0,-1.0
Jesper Lindstrøm,MID,Everton,Man City,9,0,0,0,0,4,0,0,0,0,0,0,1.4,3.4,4.3,6.0,False,1,3.0,4.0,-1.0
Jesper Lindstrøm,MID,Everton,Nott'm Forest,45,0,0,1,0,4,0,0,0,0,0,0,2.9,6.2,17.8,5.0,True,1,3.0,4.0,-1.0
Jesper Lindstrøm,MID,Everton,Bournemouth,45,0,0,0,0,2,0,0,0,0,0,0,1.1,1.4,2.3,7.0,False,1,3.0,4.0,-1.0
Jesper Lindstrøm,MID,Everton,Aston Villa,31,0,0,0,0,3,0,0,0,0,0,0,2.2,1.6,11.1,9.0,True,1,3.0,3.0,0.0
Jesper Lindstrøm,MID,Everton,Spurs,69,0,0,0,1,32,0,0,0,0,0,0,9.8,27.8,59.4,11.0,True,3,3.0,3.0,0.0
Jesper Lindstrøm,MID,Everton,Brighton,61,0,0,0,1,1,1,0,0,0,0,0,0.8,7.6,0.3,0.0,False,2,3.0,3.0,0.0
Jesper Lindstrøm,MID,Everton,Leicester,74,0,0,0,1,6,0,0,0,0,0,0,3.2,4.6,4.2,23.0,True,3,3.0,3.0,0.0
Jesper Lindstrøm,MID,Everton,Liverpool,76,0,0,2,0,2,1,0,0,0,0,0,0.6,5.0,1.2,0.0,True,1,3.0,5.0,-2.0
Jesper Lindstrøm,MID,Everton,Crystal Palace,78,0,0,1,0,6,0,0,0,0,0,0,6.1,15.6,18.1,27.0,False,2,3.0,3.0,0.0
Jesper Lindstrøm,MID,Everton,Man Utd,53,0,0,0,0,-1,0,0,0,0,0,0,0.2,0.0,1.0,2.0,True,1,3.0,3.0,0.0
