name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Kasey McAteer,MID,Leicester,Spurs,4,0,0,0,0,3,0,0,0,0,0,0,0.8,4.2,0.1,4.0,True,1,3.0,3.0,0.0
Kasey McAteer,MID,Leicester,Fulham,5,0,0,0,0,1,0,0,0,0,0,0,0.1,1.0,0.3,0.0,False,1,3.0,3.0,0.0
Kasey McAteer,MID,Leicester,Aston Villa,1,0,0,0,0,2,0,0,0,0,0,0,0.2,0.0,0.1,2.0,True,1,3.0,3.0,0.0
Kasey McAteer,MID,Leicester,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Kasey McAteer,MID,Leicester,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Kasey McAteer,MID,Leicester,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Kasey McAteer,MID,Leicester,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Kasey McAteer,MID,Leicester,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Kasey McAteer,MID,Leicester,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Kasey McAteer,MID,Leicester,Ipswich,19,0,0,0,0,5,0,0,0,0,0,0,1.1,4.4,1.4,5.0,False,1,3.0,3.0,0.0
Kasey McAteer,MID,Leicester,Man Utd,7,0,0,0,0,2,0,0,0,0,0,0,0.1,0.2,1.0,0.0,False,1,3.0,3.0,0.0
Kasey McAteer,MID,Leicester,Chelsea,70,0,0,1,0,5,0,0,0,0,0,0,0.4,0.0,1.8,4.0,True,2,3.0,4.0,-1.0
Kasey McAteer,MID,Leicester,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Kasey McAteer,MID,Leicester,West Ham,73,0,1,0,1,22,0,0,0,0,0,0,7.7,36.8,15.1,25.0,True,6,3.0,3.0,0.0
Kasey McAteer,MID,Leicester,Brighton,61,0,0,1,0,5,0,0,0,0,0,0,1.5,1.2,11.8,2.0,True,2,3.0,3.0,0.0
Kasey McAteer,MID,Leicester,Newcastle,90,0,0,4,0,8,0,0,0,0,0,0,3.0,4.8,2.3,23.0,False,2,3.0,4.0,-1.0
Kasey McAteer,MID,Leicester,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Kasey McAteer,MID,Leicester,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Kasey McAteer,MID,Leicester,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Kasey McAteer,MID,Leicester,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Kasey McAteer,MID,Leicester,Crystal Palace,24,0,0,1,0,10,0,0,0,0,0,0,4.5,7.4,35.3,2.0,True,1,3.0,3.0,0.0
Kasey McAteer,MID,Leicester,Fulham,26,0,0,1,0,3,1,0,0,0,0,0,0.8,5.4,0.8,2.0,True,0,3.0,3.0,0.0
Kasey McAteer,MID,Leicester,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
