name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Leandro Trossard,MID,Arsenal,Wolves,10,0,0,0,0,2,0,0,0,0,0,0,0.5,4.2,0.3,0.0,True,1,4.0,3.0,1.0
Leandro Trossard,MID,Arsenal,Aston Villa,25,1,0,0,0,25,0,0,0,0,0,0,6.0,33.6,0.5,26.0,False,7,4.0,3.0,1.0
Leandro Trossard,MID,Arsenal,Brighton,58,0,0,1,0,11,0,0,0,0,0,0,4.6,9.4,15.2,21.0,True,1,4.0,3.0,1.0
Leandro Trossard,MID,Arsenal,Spurs,79,0,0,0,1,13,0,0,0,0,0,0,3.6,9.4,21.2,5.0,False,3,4.0,3.0,1.0
Leandro Trossard,MID,Arsenal,Man City,52,0,0,2,0,-10,0,1,0,0,0,0,0.0,0.0,0.0,4.0,False,-2,4.0,4.0,0.0
Leandro Trossard,MID,Arsenal,Leicester,90,1,1,2,0,38,0,0,0,0,0,0,13.8,45.2,31.8,61.0,True,12,4.0,3.0,1.0
Leandro Trossard,MID,Arsenal,Southampton,30,0,0,0,0,8,0,0,0,0,0,0,6.1,10.0,42.7,8.0,True,1,4.0,2.0,2.0
Leandro Trossard,MID,Arsenal,Bournemouth,63,0,0,0,1,5,0,0,0,0,0,0,1.1,7.8,0.8,2.0,False,3,4.0,4.0,0.0
Leandro Trossard,MID,Arsenal,Liverpool,90,0,0,2,0,7,0,0,0,0,0,0,1.3,6.0,2.6,4.0,True,2,4.0,5.0,-1.0
Leandro Trossard,MID,Arsenal,Newcastle,70,0,0,1,0,7,0,0,0,0,0,0,2.0,2.0,4.4,14.0,False,2,4.0,4.0,0.0
Leandro Trossard,MID,Arsenal,Chelsea,19,0,0,0,0,1,0,0,0,0,0,0,2.4,1.4,11.3,11.0,False,1,4.0,4.0,0.0
Leandro Trossard,MID,Arsenal,Nott'm Forest,90,0,0,0,1,16,0,0,0,0,0,0,7.9,15.0,18.1,46.0,True,3,4.0,4.0,0.0
Leandro Trossard,MID,Arsenal,West Ham,84,1,1,2,0,40,0,0,0,0,0,0,12.4,55.8,29.3,39.0,False,12,4.0,3.0,1.0
Leandro Trossard,MID,Arsenal,Man Utd,19,0,0,0,0,3,0,0,0,0,0,0,2.0,3.0,4.0,13.0,True,1,4.0,3.0,1.0
Leandro Trossard,MID,Arsenal,Fulham,59,0,0,1,0,10,0,0,0,0,0,0,5.0,9.0,17.8,23.0,False,1,4.0,3.0,1.0
Leandro Trossard,MID,Arsenal,Everton,16,0,0,0,0,4,0,0,0,0,0,0,2.6,6.6,19.2,0.0,True,1,4.0,3.0,1.0
Leandro Trossard,MID,Arsenal,Crystal Palace,66,0,0,0,1,9,0,0,0,0,0,0,3.6,10.0,16.3,10.0,False,3,4.0,3.0,1.0
Leandro Trossard,MID,Arsenal,Ipswich,90,0,1,0,1,31,0,0,0,0,0,0,7.9,28.8,30.1,20.0,True,6,4.0,3.0,1.0
Leandro Trossard,MID,Arsenal,Brentford,12,0,0,0,0,2,0,0,0,0,0,0,0.1,0.2,0.3,0.0,False,1,4.0,3.0,1.0
Leandro Trossard,MID,Arsenal,Brighton,90,0,0,1,0,13,0,0,0,0,0,0,1.8,2.8,4.9,10.0,False,2,4.0,3.0,1.0
Leandro Trossard,MID,Arsenal,Spurs,76,1,0,1,0,26,0,0,0,0,0,0,8.6,34.2,13.5,38.0,True,9,4.0,3.0,1.0
Leandro Trossard,MID,Arsenal,Aston Villa,90,0,2,2,0,37,1,0,0,0,0,0,13.7,48.2,46.1,43.0,True,10,4.0,3.0,1.0
Leandro Trossard,MID,Arsenal,Wolves,90,0,0,0,1,18,0,0,0,0,0,0,4.8,12.6,31.7,4.0,False,3,4.0,3.0,1.0
