name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Leif Davis,DEF,Ipswich,Liverpool,90,0,0,2,0,-1,0,0,0,0,0,0,2.1,14.8,6.1,0.0,True,1,3.0,5.0,-2.0
Leif Davis,DEF,Ipswich,Man City,90,0,0,4,0,-9,0,0,0,0,0,0,1.0,5.4,0.4,4.0,False,0,3.0,4.0,-1.0
Leif Davis,DEF,Ipswich,Fulham,90,0,1,1,0,31,0,0,0,0,0,0,7.9,30.6,44.6,4.0,True,7,3.0,3.0,0.0
Leif Davis,DEF,Ipswich,Brighton,90,0,0,0,1,23,0,0,0,0,0,0,4.0,21.0,13.8,5.0,False,6,3.0,3.0,0.0
Leif Davis,DEF,Ipswich,Southampton,90,0,0,1,0,11,0,0,0,0,0,0,7.1,14.6,36.9,19.0,False,2,3.0,2.0,1.0
Leif Davis,DEF,Ipswich,Aston Villa,90,0,0,2,0,22,0,0,0,0,0,0,11.4,22.0,88.1,4.0,True,2,3.0,3.0,0.0
Leif Davis,DEF,Ipswich,West Ham,90,0,0,4,0,6,0,0,0,0,0,0,5.7,14.6,42.2,0.0,False,0,3.0,3.0,0.0
Leif Davis,DEF,Ipswich,Everton,90,0,0,2,0,9,0,0,0,0,0,0,5.4,12.8,41.0,0.0,True,1,3.0,3.0,0.0
Leif Davis,DEF,Ipswich,Brentford,90,0,1,4,0,5,1,0,0,0,0,0,6.1,23.4,32.8,5.0,False,2,3.0,3.0,0.0
Leif Davis,DEF,Ipswich,Leicester,90,1,0,1,0,24,0,0,0,0,0,0,11.6,56.0,40.6,19.0,True,10,3.0,3.0,0.0
Leif Davis,DEF,Ipswich,Spurs,90,0,0,1,0,6,1,0,0,0,0,0,5.1,15.0,29.1,7.0,False,1,3.0,3.0,0.0
Leif Davis,DEF,Ipswich,Man Utd,90,0,0,1,0,3,0,0,0,0,0,0,2.1,3.6,15.8,2.0,True,2,3.0,3.0,0.0
Leif Davis,DEF,Ipswich,Nott'm Forest,90,0,0,1,0,10,0,0,0,0,0,0,6.4,16.0,39.9,8.0,False,2,3.0,4.0,-1.0
Leif Davis,DEF,Ipswich,Crystal Palace,90,0,0,1,0,15,0,0,0,0,0,0,6.6,17.4,48.8,0.0,True,2,3.0,3.0,0.0
Leif Davis,DEF,Ipswich,Bournemouth,90,0,0,2,0,7,0,0,0,0,0,0,4.3,13.8,25.5,4.0,True,1,3.0,4.0,-1.0
Leif Davis,DEF,Ipswich,Wolves,90,0,0,1,0,9,0,0,0,0,0,0,3.3,11.4,6.5,15.0,False,2,3.0,3.0,0.0
Leif Davis,DEF,Ipswich,Newcastle,90,0,0,4,0,-1,0,0,0,0,0,0,2.9,11.8,17.1,0.0,True,0,3.0,4.0,-1.0
Leif Davis,DEF,Ipswich,Arsenal,90,0,0,1,0,-1,1,0,0,0,0,0,2.1,15.6,1.8,4.0,False,1,3.0,4.0,-1.0
Leif Davis,DEF,Ipswich,Chelsea,90,0,0,0,1,17,1,0,0,0,0,0,2.5,13.0,8.3,4.0,True,5,3.0,4.0,-1.0
Leif Davis,DEF,Ipswich,Fulham,90,0,0,2,0,-4,1,0,0,0,0,0,4.8,8.6,29.7,10.0,False,0,3.0,3.0,0.0
Leif Davis,DEF,Ipswich,Brighton,90,0,0,2,0,10,0,0,0,0,0,0,3.5,14.4,20.5,0.0,True,1,3.0,3.0,0.0
Leif Davis,DEF,Ipswich,Man City,90,0,0,6,0,-15,0,0,0,0,0,0,2.6,8.0,13.8,4.0,True,-1,3.0,4.0,-1.0
Leif Davis,DEF,Ipswich,Liverpool,45,0,0,3,0,-3,0,0,0,0,0,0,1.6,15.8,0.5,0.0,False,0,3.0,5.0,-2.0
Leif Davis,DEF,Ipswich,Southampton,87,0,0,2,0,0,0,0,0,0,0,0,3.9,10.0,23.3,6.0,True,1,3.0,2.0,1.0
Leif Davis,DEF,Ipswich,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Leif Davis,DEF,Ipswich,Spurs,90,0,0,4,0,3,0,0,0,0,0,0,5.9,22.4,36.9,0.0,True,0,3.0,3.0,0.0
