name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Micky van de Ven,DEF,Spurs,Leicester,90,0,0,1,0,12,0,0,0,0,0,0,1.8,15.0,3.3,0.0,False,2,3.0,3.0,0.0
Micky van de Ven,DEF,Spurs,Everton,90,0,1,0,1,39,0,0,0,0,0,0,4.2,30.4,11.2,0.0,True,9,3.0,3.0,0.0
Micky van de Ven,DEF,Spurs,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Micky van de Ven,DEF,Spurs,Arsenal,90,0,0,1,0,10,1,0,0,0,0,0,4.0,19.6,3.2,17.0,True,1,3.0,4.0,-1.0
Micky van de Ven,DEF,Spurs,Brentford,90,0,0,1,0,5,1,0,0,0,0,0,1.5,11.2,2.0,2.0,True,1,3.0,3.0,0.0
Micky van de Ven,DEF,Spurs,Man Utd,80,0,1,0,1,37,0,0,0,0,0,0,5.0,26.8,11.8,11.0,False,11,3.0,3.0,0.0
Micky van de Ven,DEF,Spurs,Brighton,90,0,0,3,0,5,0,0,0,0,0,0,1.6,14.2,1.3,0.0,False,1,3.0,3.0,0.0
Micky van de Ven,DEF,Spurs,West Ham,90,0,0,1,0,14,1,0,0,0,0,0,2.6,23.4,2.7,0.0,True,1,3.0,3.0,0.0
Micky van de Ven,DEF,Spurs,Crystal Palace,90,0,0,1,0,6,1,0,0,0,0,0,1.4,7.4,0.8,6.0,False,1,3.0,3.0,0.0
Micky van de Ven,DEF,Spurs,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Micky van de Ven,DEF,Spurs,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Micky van de Ven,DEF,Spurs,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Micky van de Ven,DEF,Spurs,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Micky van de Ven,DEF,Spurs,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Micky van de Ven,DEF,Spurs,Chelsea,78,0,0,3,0,0,0,0,0,0,0,0,1.7,13.0,0.3,4.0,True,1,3.0,4.0,-1.0
Micky van de Ven,DEF,Spurs,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Micky van de Ven,DEF,Spurs,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
Micky van de Ven,DEF,Spurs,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Micky van de Ven,DEF,Spurs,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Micky van de Ven,DEF,Spurs,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Micky van de Ven,DEF,Spurs,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Micky van de Ven,DEF,Spurs,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Micky van de Ven,DEF,Spurs,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
