name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Morgan Rogers,MID,Aston Villa,West Ham,90,0,0,1,0,14,0,0,0,0,0,0,5.7,17.8,23.3,16.0,False,2,3.0,3.0,0.0
Morgan Rogers,MID,Aston Villa,Arsenal,90,0,0,2,0,16,0,0,0,0,0,0,5.3,14.4,23.4,15.0,True,2,3.0,4.0,-1.0
Morgan Rogers,MID,Aston Villa,Leicester,90,0,0,1,0,9,0,0,0,0,0,0,2.3,7.4,15.1,0.0,False,2,3.0,3.0,0.0
Morgan Rogers,MID,Aston Villa,Everton,90,0,0,2,0,3,0,0,0,0,0,0,8.9,21.2,12.4,55.0,True,2,3.0,3.0,0.0
Morgan Rogers,MID,Aston Villa,Wolves,90,0,2,1,0,34,1,0,0,0,0,0,9.4,42.2,35.3,16.0,True,10,3.0,3.0,0.0
Morgan Rogers,MID,Aston Villa,Ipswich,63,1,0,1,0,14,0,0,0,0,0,0,6.3,29.6,2.5,31.0,False,7,3.0,3.0,0.0
Morgan Rogers,MID,Aston Villa,Man Utd,90,0,0,0,1,4,0,0,0,0,0,0,2.8,1.4,14.1,12.0,True,3,3.0,3.0,0.0
Morgan Rogers,MID,Aston Villa,Fulham,82,1,0,1,0,18,1,0,0,0,0,0,7.2,33.8,15.3,23.0,False,6,3.0,3.0,0.0
Morgan Rogers,MID,Aston Villa,Bournemouth,56,0,0,0,0,-2,0,0,0,0,0,0,1.9,0.6,12.6,6.0,True,1,3.0,4.0,-1.0
Morgan Rogers,MID,Aston Villa,Spurs,68,1,0,1,0,33,0,0,0,0,0,0,9.4,38.6,20.9,34.0,False,9,3.0,3.0,0.0
Morgan Rogers,MID,Aston Villa,Liverpool,90,0,0,2,0,-1,1,0,0,0,0,0,4.1,4.0,28.8,8.0,False,1,3.0,5.0,-2.0
Morgan Rogers,MID,Aston Villa,Crystal Palace,81,0,0,2,0,5,0,0,0,0,0,0,4.7,8.2,19.1,20.0,True,2,3.0,3.0,0.0
Morgan Rogers,MID,Aston Villa,Chelsea,65,0,0,2,0,7,0,0,0,0,0,0,0.4,1.2,3.2,0.0,False,2,3.0,4.0,-1.0
Morgan Rogers,MID,Aston Villa,Brentford,86,1,0,1,0,34,0,0,0,0,0,0,10.4,42.8,39.7,21.0,True,8,3.0,3.0,0.0
Morgan Rogers,MID,Aston Villa,Southampton,90,0,0,0,1,7,1,0,0,0,0,0,7.8,14.0,50.3,14.0,True,2,3.0,2.0,1.0
Morgan Rogers,MID,Aston Villa,Nott'm Forest,90,0,0,2,0,7,0,0,0,0,0,0,3.5,4.8,12.9,17.0,False,2,3.0,4.0,-1.0
Morgan Rogers,MID,Aston Villa,Man City,90,1,1,0,1,50,0,0,0,0,0,0,12.6,60.0,30.6,35.0,True,14,3.0,4.0,-1.0
Morgan Rogers,MID,Aston Villa,Newcastle,68,0,0,2,0,9,0,0,0,0,0,0,0.6,3.4,0.4,2.0,False,2,3.0,4.0,-1.0
Morgan Rogers,MID,Aston Villa,Brighton,90,1,1,2,0,34,1,0,0,0,0,0,9.4,39.4,14.8,40.0,True,11,3.0,3.0,0.0
Morgan Rogers,MID,Aston Villa,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Morgan Rogers,MID,Aston Villa,Everton,90,0,1,0,1,16,0,0,0,0,0,0,5.3,26.0,13.4,14.0,False,6,3.0,3.0,0.0
Morgan Rogers,MID,Aston Villa,Arsenal,90,0,0,2,0,-4,1,0,0,0,0,0,1.4,3.2,11.2,0.0,False,1,3.0,4.0,-1.0
Morgan Rogers,MID,Aston Villa,West Ham,71,0,0,1,0,0,1,0,0,0,0,0,2.4,2.4,7.8,14.0,True,1,3.0,3.0,0.0
Morgan Rogers,MID,Aston Villa,Wolves,90,0,0,2,0,-2,1,0,0,0,0,0,3.7,4.6,21.3,11.0,False,1,3.0,3.0,0.0
Morgan Rogers,MID,Aston Villa,Ipswich,90,0,0,1,0,6,0,0,0,0,0,0,13.5,13.6,44.8,77.0,True,2,3.0,3.0,0.0
Morgan Rogers,MID,Aston Villa,Liverpool,90,0,0,2,0,10,0,0,0,0,0,0,3.1,11.6,7.2,12.0,True,2,3.0,5.0,-2.0
Morgan Rogers,MID,Aston Villa,Chelsea,77,0,0,1,0,10,0,0,0,0,0,0,3.5,8.4,16.9,10.0,True,2,3.0,4.0,-1.0
