name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Pedro Porro,DEF,Spurs,Leicester,90,1,0,1,0,28,0,0,0,0,0,0,13.0,50.0,59.3,21.0,False,9,3.0,3.0,0.0
Pedro Porro,DEF,Spurs,Everton,90,0,0,0,1,23,0,0,0,0,0,0,4.8,25.2,21.5,1.0,True,6,3.0,3.0,0.0
Pedro Porro,DEF,Spurs,Newcastle,90,0,0,2,0,4,0,0,0,0,0,0,5.5,16.0,15.9,23.0,False,1,3.0,4.0,-1.0
Pedro Porro,DEF,Spurs,Arsenal,90,0,0,1,0,18,0,0,0,0,0,0,9.7,38.0,57.1,2.0,True,2,3.0,4.0,-1.0
Pedro Porro,DEF,Spurs,Brentford,87,0,0,1,0,13,0,0,0,0,0,0,2.8,14.2,7.9,6.0,True,2,3.0,3.0,0.0
Pedro Porro,DEF,Spurs,Man Utd,90,0,0,0,1,30,1,0,0,0,0,0,6.7,22.2,27.7,17.0,False,5,3.0,3.0,0.0
Pedro Porro,DEF,Spurs,Brighton,90,0,0,3,0,4,0,0,0,0,0,0,4.3,24.6,16.0,2.0,False,1,3.0,3.0,0.0
Pedro Porro,DEF,Spurs,West Ham,90,0,0,1,0,10,0,0,0,0,0,0,7.9,16.0,43.5,19.0,True,2,3.0,3.0,0.0
Pedro Porro,DEF,Spurs,Crystal Palace,90,0,0,1,0,10,0,0,0,0,0,0,4.1,14.8,23.1,3.0,False,2,3.0,3.0,0.0
Pedro Porro,DEF,Spurs,Aston Villa,90,0,0,1,0,5,1,0,0,0,0,0,1.8,5.0,4.6,8.0,True,1,3.0,3.0,0.0
Pedro Porro,DEF,Spurs,Ipswich,90,0,1,2,0,16,0,0,0,0,0,0,10.0,37.0,58.9,4.0,True,4,3.0,3.0,0.0
Pedro Porro,DEF,Spurs,Man City,90,1,0,0,1,42,0,0,0,0,0,0,8.3,60.2,6.1,17.0,False,14,3.0,4.0,-1.0
Pedro Porro,DEF,Spurs,Fulham,90,0,0,1,0,11,0,0,0,0,0,0,3.2,8.6,19.4,4.0,True,2,3.0,3.0,0.0
Pedro Porro,DEF,Spurs,Bournemouth,28,0,0,0,0,5,0,0,0,0,0,0,2.0,11.4,1.3,7.0,False,1,3.0,4.0,-1.0
Pedro Porro,DEF,Spurs,Chelsea,90,0,1,4,0,12,0,0,0,0,0,0,7.2,38.0,29.7,4.0,True,3,3.0,4.0,-1.0
Pedro Porro,DEF,Spurs,Southampton,62,0,0,0,1,22,0,0,0,0,0,0,1.8,4.4,13.3,0.0,False,6,3.0,2.0,1.0
Pedro Porro,DEF,Spurs,Liverpool,90,0,0,6,0,-12,0,0,0,0,0,0,4.9,17.2,31.8,0.0,True,-1,3.0,5.0,-2.0
Pedro Porro,DEF,Spurs,Nott'm Forest,9,0,0,0,0,4,0,0,0,0,0,0,1.4,2.4,11.8,0.0,False,1,3.0,4.0,-1.0
Pedro Porro,DEF,Spurs,Wolves,90,0,1,2,0,19,0,0,0,0,0,0,7.6,39.6,34.7,2.0,True,4,3.0,3.0,0.0
Pedro Porro,DEF,Spurs,Newcastle,90,0,1,2,0,27,0,0,0,0,0,0,7.9,41.8,32.3,5.0,True,4,3.0,4.0,-1.0
Pedro Porro,DEF,Spurs,Arsenal,90,0,0,2,0,4,0,0,0,0,0,0,3.5,11.6,16.8,7.0,False,1,3.0,4.0,-1.0
Pedro Porro,DEF,Spurs,Everton,90,0,0,3,0,1,0,0,0,0,0,0,2.1,16.0,5.1,0.0,False,1,3.0,3.0,0.0
Pedro Porro,DEF,Spurs,Leicester,90,0,1,2,0,32,0,0,0,0,0,0,11.1,46.8,40.3,24.0,True,6,3.0,3.0,0.0
Pedro Porro,DEF,Spurs,Brentford,90,0,0,0,1,21,0,0,0,0,0,0,3.9,32.0,4.2,3.0,False,6,3.0,3.0,0.0
Pedro Porro,DEF,Spurs,Man Utd,90,0,0,0,1,25,0,0,0,0,0,0,8.0,25.4,50.3,4.0,True,6,3.0,3.0,0.0
Pedro Porro,DEF,Spurs,Ipswich,25,0,0,0,0,4,0,0,0,0,0,0,0.8,6.8,0.8,0.0,False,1,3.0,3.0,0.0
