name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Raheem Sterling,MID,Chelsea,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Raheem Sterling,MID,Chelsea,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Spurs,10,0,0,0,0,2,0,0,0,0,0,0,0.2,0.0,0.0,2.0,False,1,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Raheem Sterling,MID,Chelsea,Leicester,16,0,0,0,0,4,0,0,0,0,0,0,0.8,1.2,2.3,4.0,True,1,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Southampton,59,0,0,1,0,2,0,0,0,0,0,0,4.5,3.6,12.8,29.0,True,1,4.0,2.0,2.0
Raheem Sterling,MID,Chelsea,Bournemouth,36,0,0,0,0,2,0,0,0,0,0,0,1.2,0.0,0.8,12.0,False,1,4.0,4.0,0.0
Raheem Sterling,MID,Chelsea,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,5.0,-1.0
Raheem Sterling,MID,Chelsea,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Raheem Sterling,MID,Chelsea,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Raheem Sterling,MID,Chelsea,Nott'm Forest,7,0,1,0,0,14,0,0,0,0,0,0,3.2,19.0,10.8,2.0,True,4,4.0,4.0,0.0
Raheem Sterling,MID,Chelsea,West Ham,16,0,0,0,0,0,0,0,0,0,0,0,1.4,0.0,11.1,5.0,False,1,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Spurs,60,0,0,1,0,4,0,0,0,0,0,0,3.6,11.2,4.4,20.0,True,2,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Aston Villa,8,0,0,0,0,1,1,0,0,0,0,0,0.9,0.4,3.4,5.0,True,0,4.0,3.0,1.0
Raheem Sterling,MID,Chelsea,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
