name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Reiss Nelson,MID,Arsenal,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Reiss Nelson,MID,Arsenal,Aston Villa,2,0,0,0,0,3,0,0,0,0,0,0,0.2,2.0,0.0,0.0,False,1,4.0,3.0,1.0
Reiss Nelson,MID,Arsenal,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Reiss Nelson,MID,Arsenal,West Ham,24,0,0,1,0,2,1,0,0,0,0,0,3.7,7.6,1.7,28.0,True,0,4.0,3.0,1.0
Reiss Nelson,MID,Arsenal,Newcastle,16,1,0,0,0,27,0,0,0,0,0,0,7.1,38.0,12.0,21.0,True,7,4.0,4.0,0.0
Reiss Nelson,MID,Arsenal,Nott'm Forest,21,0,0,0,0,3,0,0,0,0,0,0,0.8,0.2,1.1,7.0,False,1,4.0,4.0,0.0
Reiss Nelson,MID,Arsenal,Man City,13,0,1,1,0,15,0,0,0,0,0,0,3.0,16.2,11.5,2.0,False,4,4.0,4.0,0.0
Reiss Nelson,MID,Arsenal,Aston Villa,22,0,0,1,0,6,0,0,0,0,0,0,3.9,6.8,30.5,2.0,True,1,4.0,3.0,1.0
Reiss Nelson,MID,Arsenal,Everton,22,0,0,1,0,6,0,0,0,0,0,0,2.6,5.4,16.3,4.0,False,1,4.0,3.0,1.0
Reiss Nelson,MID,Arsenal,Brentford,81,0,0,1,0,16,0,0,0,0,0,0,12.3,13.8,45.5,64.0,True,2,4.0,3.0,1.0
Reiss Nelson,MID,Arsenal,Crystal Palace,81,0,0,0,1,17,0,0,0,0,0,0,9.7,10.8,40.0,46.0,False,3,4.0,3.0,1.0
Reiss Nelson,MID,Arsenal,Wolves,70,0,0,2,0,17,0,0,0,0,0,0,3.2,8.8,14.8,8.0,True,2,4.0,3.0,1.0
Reiss Nelson,MID,Arsenal,Spurs,61,0,0,1,0,23,0,0,0,0,0,0,7.3,16.2,45.5,11.0,False,3,4.0,3.0,1.0
Reiss Nelson,MID,Arsenal,Brighton,70,0,0,1,0,8,0,0,0,0,0,0,1.3,5.8,5.0,2.0,True,2,4.0,3.0,1.0
Reiss Nelson,MID,Arsenal,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Reiss Nelson,MID,Arsenal,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,5.0,-1.0
Reiss Nelson,MID,Arsenal,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Reiss Nelson,MID,Arsenal,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,4.0,0.0
Reiss Nelson,MID,Arsenal,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Reiss Nelson,MID,Arsenal,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
Reiss Nelson,MID,Arsenal,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Reiss Nelson,MID,Arsenal,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,3.0,1.0
Reiss Nelson,MID,Arsenal,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,3.0,1.0
