name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Tim Iroegbunam,MID,Everton,Brighton,90,0,0,3,0,6,0,0,0,0,0,0,3.1,18.8,2.5,10.0,True,2,3.0,3.0,0.0
Tim Iroegbunam,MID,Everton,Spurs,90,0,0,4,0,2,0,0,0,0,0,0,0.5,0.0,0.8,4.0,False,2,3.0,3.0,0.0
Tim Iroegbunam,MID,Everton,Bournemouth,90,0,0,3,0,9,1,0,0,0,0,0,5.1,13.2,22.7,15.0,True,1,3.0,4.0,-1.0
Tim Iroegbunam,MID,Everton,Aston Villa,80,0,0,3,0,7,1,0,0,0,0,0,0.8,7.4,0.6,0.0,False,1,3.0,3.0,0.0
Tim Iroegbunam,MID,Everton,Leicester,9,0,0,0,0,2,0,0,0,0,0,0,0.5,4.2,0.3,0.0,False,1,3.0,3.0,0.0
Tim Iroegbunam,MID,Everton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Tim Iroegbunam,MID,Everton,Newcastle,22,0,0,0,0,3,0,0,0,0,0,0,0.4,3.4,0.2,0.0,True,1,3.0,4.0,-1.0
Tim Iroegbunam,MID,Everton,Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Tim Iroegbunam,MID,Everton,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Tim Iroegbunam,MID,Everton,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Tim Iroegbunam,MID,Everton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Tim Iroegbunam,MID,Everton,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Tim Iroegbunam,MID,Everton,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Tim Iroegbunam,MID,Everton,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Tim Iroegbunam,MID,Everton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Tim Iroegbunam,MID,Everton,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Tim Iroegbunam,MID,Everton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Tim Iroegbunam,MID,Everton,Nott'm Forest,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Tim Iroegbunam,MID,Everton,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Tim Iroegbunam,MID,Everton,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Tim Iroegbunam,MID,Everton,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Tim Iroegbunam,MID,Everton,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
