name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Trent Alexander-Arnold,DEF,Liverpool,Ipswich,76,0,0,0,1,31,0,0,0,0,0,0,5.6,9.0,43.7,3.0,False,8,5.0,3.0,2.0
Trent Alexander-Arnold,DEF,Liverpool,Brentford,71,0,0,0,1,29,0,0,0,0,0,0,7.8,20.4,46.0,12.0,True,6,5.0,3.0,2.0
Trent Alexander-Arnold,DEF,Liverpool,Man Utd,75,0,0,0,1,17,0,0,0,0,0,0,1.4,8.4,5.4,0.0,False,6,5.0,3.0,2.0
Trent Alexander-Arnold,DEF,Liverpool,Nott'm Forest,90,0,0,1,0,1,1,0,0,0,0,0,8.9,23.4,62.0,4.0,True,1,5.0,4.0,1.0
Trent Alexander-Arnold,DEF,Liverpool,Bournemouth,90,0,1,0,1,39,0,0,0,0,0,0,6.3,35.2,26.0,2.0,True,11,5.0,4.0,1.0
Trent Alexander-Arnold,DEF,Liverpool,Wolves,90,0,0,1,0,5,1,0,0,0,0,0,3.8,9.0,16.8,12.0,False,1,5.0,3.0,2.0
Trent Alexander-Arnold,DEF,Liverpool,Crystal Palace,90,0,0,0,1,31,0,0,0,0,0,0,6.7,16.8,38.6,12.0,False,8,5.0,3.0,2.0
Trent Alexander-Arnold,DEF,Liverpool,Chelsea,80,0,0,1,0,13,0,0,0,0,0,0,2.2,21.4,1.0,0.0,True,2,5.0,4.0,1.0
Trent Alexander-Arnold,DEF,Liverpool,Arsenal,90,0,0,2,0,3,0,0,0,0,0,0,3.9,10.2,25.7,3.0,False,1,5.0,4.0,1.0
Trent Alexander-Arnold,DEF,Liverpool,Brighton,90,0,0,1,0,26,0,0,0,0,0,0,6.5,34.4,27.0,4.0,True,2,5.0,3.0,2.0
Trent Alexander-Arnold,DEF,Liverpool,Aston Villa,24,0,0,0,0,6,0,0,0,0,0,0,1.6,4.4,11.3,0.0,True,1,5.0,3.0,2.0
Trent Alexander-Arnold,DEF,Liverpool,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,5.0,2.0,3.0
Trent Alexander-Arnold,DEF,Liverpool,Man City,72,0,0,0,1,32,0,0,0,0,0,0,4.3,12.0,24.8,6.0,True,8,5.0,4.0,1.0
Trent Alexander-Arnold,DEF,Liverpool,Newcastle,23,0,2,1,0,19,1,0,0,0,0,0,7.4,37.0,32.5,4.0,False,6,5.0,4.0,1.0
Trent Alexander-Arnold,DEF,Liverpool,Fulham,78,0,0,2,0,7,0,0,0,0,0,0,3.7,20.0,17.3,0.0,True,1,5.0,3.0,2.0
Trent Alexander-Arnold,DEF,Liverpool,Spurs,90,0,1,3,0,30,0,0,0,0,0,0,13.5,60.8,63.1,11.0,False,4,5.0,3.0,2.0
Trent Alexander-Arnold,DEF,Liverpool,Leicester,90,0,0,1,0,12,0,0,0,0,0,0,9.6,23.2,58.8,14.0,True,2,5.0,3.0,2.0
Trent Alexander-Arnold,DEF,Liverpool,West Ham,90,1,0,0,1,51,0,0,0,0,0,0,11.3,61.2,44.9,7.0,False,15,5.0,3.0,2.0
Trent Alexander-Arnold,DEF,Liverpool,Man Utd,85,0,0,2,0,0,1,0,0,0,0,0,3.6,13.8,15.3,7.0,True,0,5.0,3.0,2.0
Trent Alexander-Arnold,DEF,Liverpool,Nott'm Forest,90,0,0,1,0,9,0,0,0,0,0,0,4.0,20.0,13.3,7.0,False,2,5.0,4.0,1.0
Trent Alexander-Arnold,DEF,Liverpool,Brentford,90,0,1,0,1,46,0,0,0,0,0,0,13.7,44.2,77.0,16.0,False,11,5.0,3.0,2.0
Trent Alexander-Arnold,DEF,Liverpool,Ipswich,90,0,1,1,0,21,0,0,0,0,0,0,6.8,27.6,27.4,13.0,True,5,5.0,3.0,2.0
Trent Alexander-Arnold,DEF,Liverpool,Bournemouth,69,0,0,0,1,25,0,0,0,0,0,0,5.8,12.6,21.9,23.0,False,6,5.0,4.0,1.0
Trent Alexander-Arnold,DEF,Liverpool,Everton,29,0,0,1,0,-2,0,0,0,0,0,0,1.0,9.6,0.8,0.0,False,1,5.0,3.0,2.0
Trent Alexander-Arnold,DEF,Liverpool,Wolves,63,0,0,0,1,17,0,0,0,0,0,0,1.6,7.6,3.3,5.0,True,6,5.0,3.0,2.0
Trent Alexander-Arnold,DEF,Liverpool,Aston Villa,65,1,0,2,0,25,0,0,0,0,0,0,11.9,53.0,49.3,17.0,False,7,5.0,3.0,2.0
Trent Alexander-Arnold,DEF,Liverpool,Man City,90,0,0,0,1,25,0,0,0,0,0,0,2.3,20.2,1.2,2.0,False,6,5.0,4.0,1.0
