name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Wes Burns,MID,Ipswich,Liverpool,56,0,0,0,0,-2,1,0,0,0,0,0,0.0,0.0,1.8,2.0,True,0,3.0,5.0,-2.0
Wes Burns,MID,Ipswich,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Wes Burns,MID,Ipswich,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Wes Burns,MID,Ipswich,Brighton,58,0,0,0,0,4,0,0,0,0,0,0,0.6,1.6,4.0,0.0,False,1,3.0,3.0,0.0
Wes Burns,MID,Ipswich,Southampton,73,0,0,1,0,18,0,0,0,0,0,0,4.4,10.8,27.2,6.0,False,2,3.0,2.0,1.0
Wes Burns,MID,Ipswich,Aston Villa,21,0,0,0,0,3,0,0,0,0,0,0,0.6,1.2,0.1,5.0,True,1,3.0,3.0,0.0
Wes Burns,MID,Ipswich,West Ham,72,0,0,4,0,11,0,0,0,0,0,0,2.4,4.6,15.8,4.0,False,2,3.0,3.0,0.0
Wes Burns,MID,Ipswich,Everton,62,0,0,2,0,5,0,0,0,0,0,0,1.0,0.0,11.7,2.0,True,2,3.0,3.0,0.0
Wes Burns,MID,Ipswich,Brentford,55,0,0,4,0,10,0,0,0,0,0,0,1.5,8.2,0.8,6.0,False,1,3.0,3.0,0.0
Wes Burns,MID,Ipswich,Leicester,9,0,0,1,0,5,0,0,0,0,0,0,0.2,2.0,0.0,0.0,True,1,3.0,3.0,0.0
Wes Burns,MID,Ipswich,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Wes Burns,MID,Ipswich,Man Utd,81,0,1,1,0,19,0,0,0,0,0,0,6.2,23.0,36.7,2.0,True,5,3.0,3.0,0.0
Wes Burns,MID,Ipswich,Nott'm Forest,16,0,0,0,0,4,0,0,0,0,0,0,0.4,3.0,0.9,0.0,False,1,3.0,4.0,-1.0
Wes Burns,MID,Ipswich,Crystal Palace,65,0,0,1,0,11,0,0,0,0,0,0,3.2,13.0,15.0,4.0,True,2,3.0,3.0,0.0
Wes Burns,MID,Ipswich,Bournemouth,1,0,0,1,0,3,0,0,0,0,0,0,0.2,2.2,0.0,0.0,True,1,3.0,4.0,-1.0
Wes Burns,MID,Ipswich,Wolves,83,0,0,1,0,12,0,0,0,0,0,0,4.8,9.8,16.7,21.0,False,2,3.0,3.0,0.0
Wes Burns,MID,Ipswich,Newcastle,77,0,0,4,0,5,0,0,0,0,0,0,1.2,0.4,5.3,6.0,True,2,3.0,4.0,-1.0
Wes Burns,MID,Ipswich,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Wes Burns,MID,Ipswich,Chelsea,85,0,0,0,1,17,0,0,0,0,0,0,1.9,18.8,0.6,0.0,True,3,3.0,4.0,-1.0
Wes Burns,MID,Ipswich,Fulham,10,0,0,1,0,3,0,0,0,0,0,0,0.3,2.6,0.4,0.0,False,1,3.0,3.0,0.0
Wes Burns,MID,Ipswich,Brighton,70,0,0,1,0,12,0,0,0,0,0,0,2.9,10.4,10.5,8.0,True,2,3.0,3.0,0.0
Wes Burns,MID,Ipswich,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Wes Burns,MID,Ipswich,Liverpool,28,0,0,1,0,4,0,0,0,0,0,0,0.0,0.0,1.0,0.0,False,1,3.0,5.0,-2.0
Wes Burns,MID,Ipswich,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Wes Burns,MID,Ipswich,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Wes Burns,MID,Ipswich,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
